鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段1~30號,21.88,住,,,1070510,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060112,171.24,3,2,2,有,無,26600000,175794,升降機械,27.89,1400000,(1)新屋管委會尚未成立委由物業公司管理(2)車位價款140萬土地款910000房屋款490000,RPQOMLLLNHNFFAA47CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段31~60號,42.24,住,,,1070419,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0920527,219.9,4,2,2,有,有,30880000,140427,坡道平面,36.68,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,RPPOMLNLNHNFFAA57CA
中正區,房地(土地+建物),臺北市中正區和平西路一段151~180號,18.58,住,,,1070406,土地1建物1車位0,一層，騎樓，停車場,八層,廠辦,商業用,鋼筋混凝土造,,105.05,0,0,0,無,無,15700000,149467,,0.0,0,,RPPNMLPLNHNFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段127巷1~30號,48.65,住,,,1070417,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800115,188.67,4,2,2,有,有,24380000,129220,坡道平面,0.0,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。車位面積無法概算。,RPUNMLPLNHNFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路五段236巷3弄31~60號,53.93,住,,,1070407,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,195.34,4,2,2,有,有,32180000,164738,坡道平面,0.0,0,,RPUNMLQLNHNFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區久康街24巷1~30號,14.06,商,,,1070421,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970902,183.76,3,2,2,有,有,24400000,132782,坡道平面,38.64,0,含增建或未登記建物。,RPTNMLLMNHNFFAA77CA
中正區,房地(土地+建物),臺北市中正區三元街211~240號,21.9,住,,,1070326,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.57,3,2,2,有,有,19000000,160243,,0.0,0,,RPXNMLLKOHNFFAA08CA
中正區,建物,臺北市中正區汀州路一段125巷1~30號,0.0,,,,1070402,土地0建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700814,32.62,2,1,1,有,無,1480000,45371,,0.0,0,,RPQOMLLKOHNFFAA47CA
中正區,建物,臺北市中正區汀州路一段131巷1~30號,0.0,,,,1070402,土地0建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700814,28.08,0,1,1,有,無,2220000,79060,,0.0,0,,SPQOMLLKOHNFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段145巷1~30號,32.33,住,,,1070505,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061113,140.88,3,2,2,有,無,20850000,157412,升降機械,19.86,1800000,,RPTOMLMKOHNFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段61~90號,32.1,住,,,1070315,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900531,197.32,3,2,2,有,有,24500000,124164,坡道平面,41.63,0,,RPUNMLTKOHNFFAA58CA
中正區,房地(土地+建物),臺北市中正區忠孝東路二段64巷1~30號,23.62,住,,,1070330,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611127,72.3,2,2,1,有,無,20000000,276625,,0.0,0,含增建或未登記建物。,RPWOMLNLNHNFFBA38CA
大同區,車位,臺北市大同區延平北路一段91~120號,0.14,商,,,1070512,土地0建物0車位1,二層,十四層,其他,見其他登記事項,鋼筋混凝土造,0920820,1.47,0,0,0,有,有,1000000,,塔式車位,1.47,1000000,,RPTNMLPLNHNFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,,,1070411,土地1建物1車位0,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.24,1,1,1,有,有,12380000,181419,,0.0,0,,RPXNMLSLNHNFFBA88CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.72,商,,,1070417,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,62.739999999999995,1,1,1,有,有,11570000,184412,,0.0,0,,RPOOMLSLNHNFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.72,商,,,1070430,土地1建物1車位0,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,62.739999999999995,1,1,1,有,有,11860000,189034,,0.0,0,,RPROMLSLNHNFFBA38CA
大同區,房地(土地+建物),臺北市大同區承德路一段31~60號,4.77,商,,,1070407,土地2建物1車位0,五層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0701217,64.61,2,1,1,有,有,11360000,175824,,0.0,0,,RPTNMLTLNHNFFBA58CA
中正區,房地(土地+建物),臺北市中正區信義路二段1~30號,17.33,商,,,1070426,土地3建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761228,148.43,4,2,2,有,有,38165000,257125,,0.0,0,,RPOOMLKMNHNFFBA37CA
中正區,房地(土地+建物),臺北市中正區公園路31~60號,9.22,商,,,1070508,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751113,117.72,2,1,1,有,有,27768000,235882,,0.0,0,,RPTPMLKMNHNFFBA97CA
大同區,房地(土地+建物),臺北市大同區庫倫街13巷3弄1~30號,21.71,住,,,1060628,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070130,84.27,2,1,1,有,有,16880000,200309,,0.0,0,1.本案為預售。2.雨遮2.56平方公尺不計價。,RPSOMLNJOHNFFBA87CA
中正區,車位,臺北市中正區中華路一段91巷1~30號,0.23,商,,,1070415,土地0建物0車位2,,,其他,,,,91.27,0,0,0,有,無,6000000,,坡道平面,91.27,6000000,,RPPNMLNKOHNFFBA57CA
萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段91~120號,14.25,商,,,1070417,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,226.16,3,2,2,有,無,37000000,193334,坡道平面,48.23,2600000,,RPSNMLKLOHNFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區漢口街二段91~120號,7.06,商,,,1070331,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,92.14,2,1,1,有,無,15300000,166052,,0.0,0,,RPUNMLKLOHNFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區漢口街二段91~120號,6.81,商,,,1070309,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,86.87,1,1,1,有,無,15950000,183608,,0.0,0,,RPVNMLKLOHNFFBA97CA
萬華區,車位,臺北市萬華區漢口街二段91~120號,0.04,商,,,1070426,土地0建物0車位1,,,其他,,,,24.26,0,0,0,有,無,1000000,,坡道機械,24.25,1000000,,RPOOMLKLOHNFFBA37CA
