編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLNLNHNFFAA57CA,15,130.47,住家用,鋼骨鋼筋混凝土造,92年5月27日,十層,五層
RPPOMLNLNHNFFAA57CA,15,35.51,共有部分,鋼骨鋼筋混凝土造,92年5月27日,十層,
RPPOMLNLNHNFFAA57CA,15,41.20,共有部分,鋼骨鋼筋混凝土造,92年5月27日,十層,
RPPOMLNLNHNFFAA57CA,15,12.46,共有部分,鋼骨鋼筋混凝土造,92年5月27日,十層,
RPPOMLNLNHNFFAA57CA,15,.25,見其他登記事項,鋼骨鋼筋混凝土造,92年5月27日,十層,
SPQOMLLKOHNFFAA57CA,37,28.08,商業用,鋼筋混凝土造,70年8月14日,五層,一層
RPQOMLLLNHNFFAA47CA,1,96.32,見其他登記事項,鋼筋混凝土造,106年1月12日,十五層,八層
RPQOMLLLNHNFFAA47CA,1,27.29,見其他登記事項,鋼筋混凝土造,106年1月12日,十五層,
RPQOMLLLNHNFFAA47CA,1,47.63,見其他登記事項,鋼筋混凝土造,106年1月12日,十五層,
RPTOMLMKOHNFFAA87CA,,70.54,見其他登記事項,鋼筋混凝土造,106年11月13日,七層,四層
RPTOMLMKOHNFFAA87CA,,70.34,見其他登記事項,鋼筋混凝土造,106年11月13日,七層,
RPTNMLPLNHNFFBA18CA,15,.16,見其他登記事項,鋼筋混凝土造,92年8月20日,十四層,二層
RPTNMLPLNHNFFBA18CA,15,1.27,共有部分,鋼筋混凝土造,92年8月20日,十四層,
RPTNMLPLNHNFFBA18CA,15,.04,共有部分,鋼筋混凝土造,92年8月20日,十四層,
RPPNMLPLNHNFFAA67CA,,47.30,商業用,鋼筋混凝土造,,八層,一層 騎樓 停車場
RPPNMLPLNHNFFAA67CA,40,14.70,共有部分,鋼筋混凝土造,67年1月12日,八層,
RPPNMLPLNHNFFAA67CA,40,43.05,見使用執照,鋼筋混凝土造,67年1月12日,八層,
RPUNMLPLNHNFFAA18CA,27,139.47,住家用,鋼筋混凝土造,80年1月15日,七層,三層
RPUNMLPLNHNFFAA18CA,27,24.25,共有部分,鋼筋混凝土造,80年1月15日,七層,
RPUNMLPLNHNFFAA18CA,27,24.95,見使用執照,鋼筋混凝土造,80年1月13日,七層,
RPXNMLLKOHNFFAA08CA,,101.86,住家用,鋼筋混凝土造,,七層,五層
RPXNMLLKOHNFFAA08CA,,16.71,,鋼筋混凝土造,,七層,
