編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPOMLNLNHNFFAA57CA,實踐段一小段,42.24,都市：住
RPQOMLLLNHNFFAA47CA,華興段一小段,21.88,都市：住
RPTOMLMKOHNFFAA87CA,木柵段三小段,32.33,都市：住
RPTNMLPLNHNFFBA18CA,玉泉段一小段,.14,都市：商
RPPNMLPLNHNFFAA67CA,永昌段一小段,18.58,都市：住
RPUNMLPLNHNFFAA18CA,實踐段二小段,1.70,都市：住
RPUNMLPLNHNFFAA18CA,實踐段二小段,46.95,都市：住
RPXNMLLKOHNFFAA08CA,永昌段二小段,21.90,都市：住
RPUNMLTKOHNFFAA58CA,華興段四小段,32.10,都市：住
RPWOMLNLNHNFFBA38CA,臨沂段一小段,23.62,都市：住
RPTNMLTLNHNFFBA58CA,市府段三小段,.01,都市：其他
RPTNMLTLNHNFFBA58CA,市府段三小段,4.76,都市：商
RPTNMLLMNHNFFAA77CA,木柵段一小段,14.06,都市：商
RPXNMLSLNHNFFBA88CA,直興段一小段,5.12,都市：商
RPOOMLSLNHNFFBA08CA,直興段一小段,4.72,都市：商
RPROMLSLNHNFFBA38CA,直興段一小段,4.72,都市：商
RPPNMLNKOHNFFBA57CA,城中段三小段,.23,都市：商
RPOOMLKLOHNFFBA37CA,福星段二小段,.04,都市：商
RPUNMLQLNHNFFAA28CA,萬隆段二小段,53.93,都市：住
RPOOMLKMNHNFFBA37CA,中正段二小段,13.96,都市：商
RPOOMLKMNHNFFBA37CA,中正段二小段,2.77,都市：住
RPOOMLKMNHNFFBA37CA,中正段二小段,.60,都市：商
RPTPMLKMNHNFFBA97CA,公園段二小段,9.22,都市：商
RPSOMLNJOHNFFBA87CA,大龍段一小段,21.71,都市：住
RPSQMLLLNHNFFCA08CA,石潭段四小段,92.06,都市：住
RPSNMLKLOHNFFBA67CA,福星段二小段,14.25,都市：商
RPORMLLLNHNFFCA77CA,榮星段七小段,.37,都市：住
RPUNMLKLOHNFFBA87CA,福星段二小段,7.06,都市：商
RPVNMLKLOHNFFBA97CA,福星段二小段,6.81,都市：商
RPVQMLLLNHNFFCA38CA,北安段二小段,24.36,都市：住
RPTRMLPLNHNFFCA68CA,北安段四小段,37.79,都市：住
RPUPMLOLNHNFFCA48CA,西湖段一小段,14.72,都市：住
RPUPMLOLNHNFFCA48CA,西湖段一小段,7.97,都市：住
RPUPMLOLNHNFFCA48CA,西湖段一小段,3.01,都市：住
RPWQMLNLNHNFFCA68CA,中山段一小段,25.50,都市：商
RPORMLNLNHNFFCA97CA,長春段二小段,23.75,都市：住
RPXNMLOLNHNFFCA58CA,吉林段四小段,10.62,都市：商
RPTNMLMLNHNFFCA97CA,德惠段四小段,19.93,都市：商
RPWPMLMLNHNFFCA48CA,榮星段七小段,19.04,都市：住
RPVQMLMLNHNFFCA48CA,正義段一小段,5.55,都市：商
RPSQMLMLNHNFFCA18CA,康寧段三小段,5.41,都市：商
RPTNMLQKOHNFFCA38CA,舊宗段,94.68,都市：其他
RPUQMLSLNHNFFCA98CA,正義段三小段,8.73,都市：商
RPUNMLQKOHNFFCA48CA,西湖段二小段,81.41,都市：工
RPUPMLLLNHNFFDA28CA,玉成段五小段,4.90,都市：住
RPVNMLKLOHNFFCA08CA,德惠段三小段,24.25,都市：住
RPWNMLRJOHNFFCA68CA,吉林段五小段,.23,都市：商
RPWNMLRJOHNFFCA68CA,吉林段五小段,2.80,都市：商
RPPPMLLLNHNFFDA77CA,民生段,1.95,都市：商
RPWPMLLLNHNFFDA48CA,玉成段五小段,25.70,都市：住
RPVPMLLLNHNFFEA48CA,立農段五小段,50.30,都市：住
RPSOMLOLNHNFFDA28CA,南港段一小段,30.73,都市：住
RPXNMLKMNHNFFDA38CA,雅祥段四小段,3.23,都市：商
RPQOMLPLNHNFFDA18CA,三興段二小段,33.00,都市：住
RPXNMLKMNHNFFDA38CA,雅祥段四小段,1.36,都市：住
RPOQMLSLNHNFFDA48CA,信義段三小段,79.55,都市：住
RPROMLNLNHNFFEA18CA,三合段,43.94,都市：住
RPXNMLNLNHNFFEA68CA,立農段五小段,18.55,都市：住
RPQOMLNLNHNFFEA08CA,開明段一小段,41.89,都市：住
RPOOMLNLNHNFFFA97CA,復興段一小段,9.19,都市：其他
RPTNMLQJOHNFFEA48CA,軟橋段,47.73,都市：其他
