鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中山區,建物,臺北市中山區民權西路9巷1~30號,0.0,商,,,1070416,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,77.27,1,1,1,有,有,有,40000,518,,0.0,0,,RPPOMLLLNHNFFCA77CC
內湖區,房地(土地+建物),臺北市內湖區基湖路31~60號,0.0,工,,,1070425,土地1建物1車位0,五層,12,辦公商業大樓,工業用,鋼筋混凝土造,0900326,872.86,1,0,0,有,有,無,346552,397,,0.0,0,,RPSPMLLLNHNFFCA18CC
內湖區,建物,臺北市內湖區瑞光路358巷38弄31~60號,0.0,工,,,1070416,土地0建物1車位0,三層,11,廠辦,見其他登記事項,見其他登記事項,0960215,185.6,0,0,0,無,有,有,131250,707,,0.0,0,,RPUPMLLLNHNFFCA38CC
中山區,建物,臺北市中山區樂群二路91~120號,0.0,商,,,1070509,土地0建物1車位0,一層,11,辦公商業大樓,商業用,鋼筋混凝土造,0971121,240.39,0,0,0,無,有,無,160970,670,坡道平面,0.0,0,含一個車位,RPVPMLLLNHNFFCA48CC
中山區,建物,臺北市中山區樂群二路91~120號,0.0,商,,,1070509,土地0建物1車位0,一層,11,辦公商業大樓,商業用,鋼筋混凝土造,0971121,259.26,0,0,0,無,有,無,206120,795,,0.0,0,,RPWPMLLLNHNFFCA58CC
內湖區,建物,臺北市內湖區成功路二段115巷1~30號,0.0,住,,,1070509,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041118,94.22,2,1,1,有,無,有,40000,425,,0.0,0,,RPXPMLLLNHNFFCA68CC
中山區,房地(土地+建物),臺北市中山區松江路151~180號,374.91,商,,,1070413,土地1建物1車位0,十層,11,辦公商業大樓,商業用,鋼筋混凝土造,0670130,76.03,0,0,0,無,無,有,30000,395,,0.0,0,分租約23坪,RPOQMLLLNHNFFCA87CC
內湖區,建物,臺北市內湖區文德路22巷9弄31~60號,0.0,住,,,1070508,土地0建物1車位0,地下一層,13,辦公商業大樓,商業用,鋼筋混凝土造,0800108,264.46,0,0,0,無,有,無,65000,246,,0.0,0,,RPQQMLLLNHNFFCA08CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1070425,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,89.86,2,1,2,有,有,有,65000,723,,0.0,0,,RPWQMLLLNHNFFCA68CC
