編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLLLNHNFFCA38CC,11,185.60,見其他登記事項,見其他登記事項,96年2月15日,十一層,
RPPOMLLLNHNFFCA77CC,5,51.55,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPPOMLLLNHNFFCA77CC,5,25.72,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPWQMLLLNHNFFCA68CC,7,55.83,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPWQMLLLNHNFFCA68CC,7,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPWQMLLLNHNFFCA68CC,7,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPQQMLLLNHNFFCA08CC,27,264.46,商業用,鋼筋混凝土造,80年1月8日,十三層,
RPOQMLLLNHNFFCA87CC,40,76.03,商業用,鋼筋混凝土造,67年1月30日,十一層,
RPVPMLLLNHNFFCA48CC,9,159.60,商業用,鋼筋混凝土造,97年11月21日,十一層,
RPVPMLLLNHNFFCA48CC,9,33.63,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPVPMLLLNHNFFCA48CC,9,7.97,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPVPMLLLNHNFFCA48CC,9,16.16,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPVPMLLLNHNFFCA48CC,9,23.03,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPXPMLLLNHNFFCA68CC,2,61.66,住家用,鋼筋混凝土造,104年11月18日,十一層,
RPXPMLLLNHNFFCA68CC,2,32.56,見其他登記事項,鋼筋混凝土造,104年11月18日,十一層,
RPWPMLLLNHNFFCA58CC,9,171.88,商業用,鋼筋混凝土造,97年11月21日,十一層,
RPWPMLLLNHNFFCA58CC,9,36.43,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPWPMLLLNHNFFCA58CC,9,8.55,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPWPMLLLNHNFFCA58CC,9,17.44,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPWPMLLLNHNFFCA58CC,9,24.96,共有部分,鋼筋混凝土造,97年11月21日,十一層,
RPSRMLLLNHNFFCA38CC,20,22.15,商業用,鋼筋混凝土造,86年6月28日,六層,
RPSRMLLLNHNFFCA38CC,20,2.53,共有部分,鋼筋混凝土造,86年6月28日,六層,
RPSRMLLLNHNFFCA38CC,20,3.24,共有部分,鋼筋混凝土造,86年6月28日,六層,
RPSPMLLLNHNFFCA18CC,17,872.86,工業用,鋼筋混凝土造,90年3月26日,十二層,
RPQNMLLLNHNFFBA67CC,,171.39,商業用,鋼筋混凝土造,,六層,
RPTNMLLLNHNFFBA97CC,,360.00,見使用執照,鋼筋混凝土造,,七層,
RPTNMLLLNHNFFBA97CC,,465.13,見使用執照,鋼筋混凝土造,,七層,
RPSNMLLLNHNFFBA87CC,,45.58,商業用,鋼筋混凝土造,,九層,
RPSNMLLLNHNFFBA87CC,,10.62,共有部分,鋼筋混凝土造,,九層,
RPVNMLLLNHNFFBA18CC,37,44.77,住家用,鋼筋混凝土造,70年4月2日,十層,
RPVNMLLLNHNFFBA18CC,37,14.38,共有部分,鋼筋混凝土造,70年4月2日,十層,
RPOOMLLLNHNFFBA57CC,14,37.50,住家用,鋼筋混凝土造,93年1月2日,五層,
RPXNMLLLNHNFFBA38CC,20,21.17,住家用,鋼筋混凝土造,87年6月4日,十四層,
RPVOMLLLNHNFFBA28CC,16,125.00,住家用,鋼筋混凝土造,91年2月25日,十九層,
RPVOMLLLNHNFFBA28CC,16,53.27,共有部分,鋼筋混凝土造,91年2月25日,十九層,
RPVOMLLLNHNFFBA28CC,16,23.21,共有部分,鋼筋混凝土造,91年2月25日,十九層,
RPXNMLLLNHNFFBA38CC,20,5.72,共有部分,鋼筋混凝土造,87年6月4日,十四層,
RPXNMLLLNHNFFBA38CC,20,4.09,共有部分,鋼筋混凝土造,87年6月4日,十四層,
RPVNMLLLNHNFFDA38CC,3,295.57,見其他登記事項,見其他登記事項,104年4月15日,四十六層,
RPWOMLLLNHNFFBA38CC,11,22.39,見其他登記事項,鋼筋混凝土造,96年5月11日,十四層,
RPWOMLLLNHNFFBA38CC,11,12.80,共有部分,鋼筋混凝土造,96年5月11日,十四層,
RPQNMLLLNHNFFDA87CC,25,144.61,商業用,鋼骨混凝土造,82年5月24日,三十層,
RPTNMLLLNHNFFDA18CC,50,26.98,住家用,鋼筋混凝土造,57年9月6日,四層,
RPWNMLLLNHNFFDA48CC,11,165.42,見其他登記事項,鋼筋混凝土造,96年9月19日,十二層,
RPWNMLLLNHNFFDA48CC,11,22.06,共有部分,鋼筋混凝土造,96年9月19日,十二層,
