編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPUPMLLLNHNFFCA38CC,西湖段四小段,.00,都市：工
RPPOMLLLNHNFFCA77CC,中山段二小段,.00,都市：商
RPWQMLLLNHNFFCA68CC,德惠段四小段,.00,都市：商
RPQQMLLLNHNFFCA08CC,文德段二小段,.00,都市：住
RPOQMLLLNHNFFCA87CC,吉林段二小段,374.91,都市：商
RPVPMLLLNHNFFCA48CC,金泰段,.00,都市：商
RPXPMLLLNHNFFCA68CC,石潭段三小段,.00,都市：住
RPWPMLLLNHNFFCA58CC,金泰段,.00,都市：商
RPSRMLLLNHNFFCA38CC,吉林段四小段,.00,都市：商
RPSPMLLLNHNFFCA18CC,西湖段四小段,.00,都市：工
RPQNMLLLNHNFFBA67CC,福星段三小段,.00,都市：商
RPQNMLLLNHNFFBA67CC,福星段三小段,.00,都市：商
RPTNMLLLNHNFFBA97CC,臨沂段三小段,.00,都市：住
RPTNMLLLNHNFFBA97CC,臨沂段三小段,.00,都市：住
RPSNMLLLNHNFFBA87CC,城中段一小段,.00,都市：商
RPSNMLLLNHNFFBA87CC,城中段一小段,.00,都市：商
RPVNMLLLNHNFFBA18CC,城中段一小段,.00,都市：商
RPOOMLLLNHNFFBA57CC,臨沂段二小段,.00,都市：住
RPXNMLLLNHNFFBA38CC,福星段二小段,.00,都市：商
RPVOMLLLNHNFFBA28CC,圓環段三小段,.00,都市：商
RPVNMLLLNHNFFDA38CC,信義段四小段,.00,都市：商
RPWOMLLLNHNFFBA38CC,成功段一小段,.00,都市：商
RPQNMLLLNHNFFDA87CC,永春段二小段,.00,都市：住
RPTNMLLLNHNFFDA18CC,寶清段四小段,8.50,都市：住
RPWNMLLLNHNFFDA48CC,逸仙段二小段,.00,非都市： ; 非都市編定：
RPPOMLLLNHNFFDA87CC,永春段一小段,.00,都市：住
RPTOMLLLNHNFFDA28CC,雅祥段四小段,.00,都市：住
RPPNMLLLNHNFFFA97CC,復興段二小段,.00,都市：住
RPRNMLLLNHNFFDA97CC,寶清段四小段,12.75,都市：住
RPUOMLLLNHNFFDA38CC,雅祥段四小段,.00,都市：住
RPUNMLLLNHNFFFA48CC,仁愛段一小段,42.72,都市：住
RPTPMLLLNHNFFFA58CC,仁愛段四小段,108.05,都市：住
RPQPMLLLNHNFFFA28CC,辛亥段六小段,.00,都市：住
RPRPMLLLNHNFFFA38CC,仁愛段六小段,.00,都市：住
RPWOMLLLNHNFFFA78CC,通化段一小段,.00,非都市： ; 非都市編定：
RPWPMLLLNHNFFFA88CC,學府段二小段,.00,都市：住
RPSPMLLLNHNFFEA38CC,大業段四小段,.00,都市：工
RPUNMLLLNHNFFEA38CC,天母段二小段,.00,都市：住
RPQPMLMLNHNFFEA28CC,振興段四小段,.00,都市：商
RPUPMLLLNHNFFEA58CC,文林段四小段,103.00,都市：住
RPRNMLMLNHNFFEA18CC,三合段,.00,都市：住
RPPNMLMLNHNFFAA57CC,永昌段一小段,.00,都市：住
RPVOMLMLNHNFFCA58DC,中山段一小段,.00,都市：商
RPRNMLMLNHNFFFA28CC,復興段二小段,.00,都市：商
RPVOMLMLNHNFFFA78CC,仁愛段二小段,.00,都市：住
RPWNMLMLNHNFFFA78CC,仁愛段三小段,.00,都市：住
RPSOMLMLNHNFFFA48CC,學府段二小段,.00,都市：住
RPRNMLMLNHNFFDA08CC,信義段一小段,18.67,都市：住
RPQOMLMLNHNFFDA08CC,寶清段四小段,.00,都市：其他
RPTOMLMLNHNFFDA38CC,南港段一小段,.00,都市：住
RPWNMLMLNHNFFCA48CC,榮星段五小段,.00,都市：商
RPWNMLMLNHNFFCA48CC,榮星段五小段,.00,都市：商
RPUNMLMLNHNFFBA18CC,公園段二小段,.00,都市：商
RPXNMLMLNHNFFCA58CC,德惠段四小段,.00,都市：商
RPUNMLMLNHNFFCA28CC,德惠段四小段,.00,都市：商
RPXOMLMLNHNFFDA78CC,南港段一小段,6.60,都市：住
RPXOMLMLNHNFFDA78CC,南港段一小段,15.80,都市：住
RPXOMLMLNHNFFDA78CC,南港段一小段,6.60,都市：住
RPSOMLMLNHNFFDA28CC,逸仙段三小段,.00,都市：住
RPSOMLMLNHNFFDA28CC,逸仙段三小段,.00,都市：住
RPOOMLMLNHNFFCA77CC,碧湖段三小段,.00,都市：商
RPPOMLMLNHNFFCA87CC,正義段三小段,.00,都市：商
RPQPMLMLNHNFFCA08CC,長安段四小段,.00,都市：商
RPTNMLNLNHNFFCA28CC,潭美段五小段,.00,都市：其他
RPSNMLNLNHNFFCA18CC,潭美段五小段,.00,都市：其他
RPUNMLNLNHNFFCA38CC,中山段三小段,.00,都市：商
RPQPMLNLNHNFFCA18CC,碧湖段一小段,.00,都市：其他
RPOPMLNLNHNFFCA97CC,正義段三小段,.00,都市：商
RPQQMLNLNHNFFCA28CC,吉林段二小段,.00,都市：商
RPVPMLNLNHNFFCA68CC,中山段二小段,.00,都市：住
RPQQMLNLNHNFFCA28CC,吉林段二小段,.00,都市：商
RPROMLNLNHNFFCA18CC,吉林段五小段,.00,都市：商
RPPQMLNLNHNFFCA18CC,正義段三小段,.00,都市：商
RPUPMLNLNHNFFCA58CC,中山段四小段,.00,都市：商
RPOQMLNLNHNFFCA08CC,長安段二小段,.00,都市：商
