編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPVPMLLLNHNFFCA48CC,坡道平面,0,
RPWNMLLLNHNFFDA48CC,坡道平面,0,39.68
RPRNMLMLNHNFFEA18CC,坡道平面,0,45.44
RPTNMLNLNHNFFCA28CC,坡道平面,0,36.46
RPSNMLNLNHNFFCA18CC,坡道機械,0,16.52
RPTQMLNLNHNFFCA58CC,坡道平面,0,24.87
RPTQMLNLNHNFFCA58CC,坡道平面,0,24.87
RPTQMLNLNHNFFCA58CC,坡道平面,0,24.87
RPTQMLNLNHNFFCA58CC,坡道平面,0,24.87
RPXOMLNLNHNFFEA98CC,坡道平面,0,61.26
RPVOMLOLNHNFFCA68CC,坡道平面,0,
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPOPMLPLNHNFFCA18CC,坡道平面,0,33.14
RPUQMLPLNHNFFCA88CC,坡道平面,0,26.24
RPVTMLPLNHNFFCA66CC,坡道平面,0,
RPQSMLPLNHNFFCA68CC,坡道平面,0,33.66
RPUOMLPLNHNFFAA48CC,升降機械,0,11.38
RPRNMLQLNHNFFCA38CC,坡道平面,0,
RPXOMLPLNHNFFEA56CC,坡道平面,0,
RPXOMLPLNHNFFEA56CC,坡道平面,0,
RPXOMLPLNHNFFEA56CC,坡道平面,0,
RPUPMLPLNHNFFEA98CC,坡道平面,0,40.69
RPUPMLPLNHNFFEA98CC,坡道平面,0,41.57
RPPPMLSLNHNFFEA78CC,坡道平面,0,
RPVNMLSLNHNFFCA98CC,坡道平面,0,37.28
RPTOMLSLNHNFFDA98CC,坡道平面,0,
RPOQMLSLNHNFFCA58CC,坡道平面,0,41.21
RPRPMLKMNHNFFAA87CC,坡道平面,3000,49.59
RPUOMLKMNHNFFAA08CC,坡道平面,0,33.99
RPVPMLKMNHNFFCA48CC,坡道平面,0,
RPQRMLKMNHNFFCA18CC,坡道平面,0,73.20
RPTRMLKMNHNFFCA48CC,升降機械,0,16.39
RPXOMLKMNHNFFBA48CC,坡道平面,0,44.18
RPXOMLKMNHNFFBA48CC,坡道平面,0,44.18
RPXOMLKMNHNFFBA48CC,坡道平面,0,44.18
RPXPMLKMNHNFFCA68CC,坡道平面,0,36.35
RPXOMLLMNHNFFDA78CC,坡道平面,0,52.78
RPVPMLLMNHNFFCA58CC,坡道平面,0,2.89
