編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLMLNHNFFAB28CA,4,24.93,見其他登記事項,鋼筋混凝土造,103年8月21日,十五層,
RPXNMLLKOHNFFAB18CA,11,66.19,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,十層
RPXNMLLKOHNFFAB18CA,11,13.96,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXNMLLKOHNFFAB18CA,11,35.18,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWOMLOJOHNFFAB38CA,28,127.48,住家用,鋼筋混凝土造,79年1月6日,六層,四層
RPWOMLOJOHNFFAB38CA,28,21.57,共有部份,鋼筋混凝土造,79年1月6日,六層,
RPVPMLLJOHNFFAB08CA,25,90.35,住家用,鋼筋混凝土造,82年3月11日,七層,二層
RPVPMLLJOHNFFAB08CA,25,20.64,見其他登記事項,鋼筋混凝土造,82年3月11日,七層,
RPQQMLMLNHNFFAB87CA,23,72.06,住家用,鋼筋混凝土造,84年1月13日,十九層,十一層
RPQQMLMLNHNFFAB87CA,23,10.81,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPQQMLMLNHNFFAB87CA,23,15.26,見其他登記事項,鋼筋混凝土造,84年1月13日,十九層,
RPQQMLMLNHNFFAB87CA,23,9.15,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPQQMLMLNHNFFAB87CA,23,1.14,商業用,鋼筋混凝土造,84年1月13日,十九層,
RPRPMLLLNHNFFAB77CA,10,68.16,見其他登記事項,鋼筋混凝土造,97年5月9日,八層,一層
RPRPMLLLNHNFFAB77CA,10,1.91,見其他登記事項,鋼筋混凝土造,97年5月9日,八層,
RPRPMLLLNHNFFAB77CA,10,61.53,見其他登記事項,鋼筋混凝土造,97年5月9日,八層,
RPUPMLMLNHNFFAB18CA,12,149.40,見其他登記事項,鋼筋混凝土造,94年11月17日,二十二層,二層
RPUPMLMLNHNFFAB18CA,12,69.76,見其他登記事項,鋼筋混凝土造,94年11月17日,二十二層,
RPWOMLSLNHNFFAB88CA,23,65.24,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,十二層
RPWOMLSLNHNFFAB88CA,23,14.45,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,
RPWOMLSLNHNFFAB88CA,23,12.86,見其他登記事項,鋼筋混凝土造,84年4月29日,二十層,
RPOOMLLMNHNFFAB47CA,24,222.80,住家用,鋼筋混凝土造,83年7月14日,十五層,四層
RPOOMLLMNHNFFAB47CA,24,59.20,見其他登記事項,鋼筋混凝土造,83年7月14日,十五層,
RPXOMLLMNHNFFAB38CA,38,101.84,見其他登記事項,鋼筋混凝土造,69年4月22日,五層,五層
RPSOMLNLNHNFFBB08CA,36,124.76,住家用,鋼筋混凝土造,70年12月7日,七層,七層
RPSOMLNLNHNFFBB08CA,36,17.23,共有部份,鋼筋混凝土造,70年12月7日,七層,
RPXPMLNLNHNFFBB68CA,47,67.95,住家用,鋼筋混凝土加強磚造,59年10月30日,二層,一層 二層
RPQNMLSLNHNFFAB18CA,37,215.14,住商用,鋼筋混凝土造,69年11月6日,四層,一層 二層 三層 四層 騎樓 地下層
RPQNMLKLOHNFFAB47CA,25,25.19,見其他登記事項,鋼筋混凝土造,82年6月12日,十六層,
RPQNMLKLOHNFFAB47CA,25,9.87,共有部份,鋼筋混凝土造,82年6月12日,十六層,
RPQNMLKLOHNFFAB47CA,25,69.47,住家用,鋼筋混凝土造,82年6月12日,十六層,九層
RPVOMLPLNHNFFBB58CA,3,123.20,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,八層
RPVOMLPLNHNFFBB58CA,3,36.42,見其他登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPVOMLPLNHNFFBB58CA,3,58.55,見其他登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPPOMLOLNHNFFBB87CA,25,101.52,住家用,鋼筋混凝土造,82年9月8日,十層,四層
RPPOMLOLNHNFFBB87CA,25,42.48,共有部份,鋼筋混凝土造,82年9月8日,十層,
RPPQMLOLNHNFFBB08CA,23,25.55,住家用,鋼筋混凝土造,84年5月26日,十六層,四層
RPPQMLOLNHNFFBB08CA,23,8.22,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPPQMLOLNHNFFBB08CA,23,.25,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPPQMLOLNHNFFBB08CA,23,7.92,共有部份,鋼筋混凝土造,84年5月26日,十六層,
RPOQMLOLNHNFFBB97CA,11,97.40,住家用,鋼筋混凝土造,96年1月29日,十三層,二層
RPOQMLOLNHNFFBB97CA,11,61.12,共有部份,鋼筋混凝土造,96年1月29日,十三層,
RPPPMLPLNHNFFBB08CA,38,34.49,商業用,鋼骨混凝土造,69年10月21日,十層,五層
RPQPMLPLNHNFFBB18CA,38,33.55,商業用,鋼骨混凝土造,69年10月21日,十層,五層
RPVRMLPLNHNFFBB88CA,22,22.25,住家用,鋼筋混凝土造,85年6月1日,十三層,四層
RPVRMLPLNHNFFBB88CA,22,8.36,共有部份,鋼筋混凝土造,85年6月1日,十三層,
RPQNMLRLNHNFFBB18CA,22,22.56,住家用,鋼筋混凝土造,84年12月5日,八層,八層
RPQNMLRLNHNFFBB18CA,22,10.00,共有部份,鋼筋混凝土造,84年12月5日,八層,
RPUNMLPLNHNFFBB38CA,2,42.74,見其他登記事項,鋼筋混凝土造,105年3月4日,十二層,七層
RPUNMLPLNHNFFBB38CA,2,32.21,見其他登記事項,鋼筋混凝土造,105年3月4日,十二層,
RPUNMLPLNHNFFBB38CA,2,32.21,見其他登記事項,鋼筋混凝土造,105年3月4日,十二層,
RPUNMLPLNHNFFBB38CA,2,42.74,見其他登記事項,鋼筋混凝土造,105年3月4日,十二層,七層
RPPNMLSLNHNFFBB18CA,40,39.48,住家用,鋼筋混凝土造,67年8月17日,四層,四層
RPPNMLSLNHNFFBB18CA,40,39.48,住家用,鋼筋混凝土造,67年8月17日,四層,四層
RPVOMLTLNHNFFBB98CA,34,18.10,住家用,鋼筋混凝土造,72年12月30日,十二層,十二層
RPVOMLTLNHNFFBB98CA,34,7.27,共有部份,鋼筋混凝土造,72年12月30日,十二層,
RPRPMLTLNHNFFBB68CA,27,30.95,住家用,鋼筋混凝土造,80年6月6日,十六層,十三層
RPRPMLTLNHNFFBB68CA,27,1.42,共有部份,鋼筋混凝土造,80年6月6日,十六層,
RPRPMLTLNHNFFBB68CA,27,.90,共有部份,鋼筋混凝土造,80年6月6日,十六層,
RPRPMLTLNHNFFBB68CA,27,1.11,共有部份,鋼筋混凝土造,80年6月6日,十六層,
RPRPMLTLNHNFFBB68CA,27,11.82,共有部份,鋼筋混凝土造,80年6月6日,十六層,
RPPNMLMKOHNFFBB57CA,38,70.44,住家用,鋼筋混凝土造,69年1月18日,四層,二層
RPSQMLNKOHNFFBB28CA,2,90.90,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,十四層
RPSQMLNKOHNFFBB28CA,2,58.96,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPSQMLNKOHNFFBB28CA,2,16.62,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPOQMLNKOHNFFBB87CA,2,90.90,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,十四層
RPOQMLNKOHNFFBB87CA,2,58.96,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPOQMLNKOHNFFBB87CA,2,16.62,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPPPMLMKOHNFFBB77CA,2,64.20,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,十三層
RPPPMLMKOHNFFBB77CA,2,50.37,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPPPMLMKOHNFFBB77CA,2,11.77,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPSNMLRJOHNFFBB28CA,1,23.88,見其他登記事項,鋼筋混凝土造,106年6月17日,二十四層,
RPPQMLNKOHNFFBB97CA,2,90.90,見其他登記事項,鋼筋混凝土造,105年8月12日,十三層,十一層
RPPQMLNKOHNFFBB97CA,2,58.96,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
RPPQMLNKOHNFFBB97CA,2,16.62,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,
