編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPWOMLMLNHNFFAB28CA,下橋子頭段,.01,都市：住
RPXNMLLKOHNFFAB18CA,麻園頭段,10.53,都市：住
RPWOMLOJOHNFFAB38CA,大益段,31.87,都市：住
RPVPMLLJOHNFFAB08CA,樹子腳段,19.38,都市：住
RPQQMLMLNHNFFAB87CA,公館段,4.64,都市：住
RPQQMLMLNHNFFAB87CA,公館段,4.02,都市：住
RPRPMLLLNHNFFAB77CA,下橋子頭段,18.77,都市：住
RPUPMLMLNHNFFAB18CA,後子段,1.13,都市：住
RPUPMLMLNHNFFAB18CA,後子段,15.16,都市：住
RPUPMLMLNHNFFAB18CA,公館段,.43,都市：住
RPWOMLSLNHNFFAB88CA,半平厝段,8.87,都市：住
RPOOMLLMNHNFFAB47CA,大益段,28.62,都市：住
RPXOMLLMNHNFFAB38CA,公館段,8.78,都市：住
RPXOMLLMNHNFFAB38CA,公館段,25.10,都市：住
RPSOMLNLNHNFFBB08CA,錦村段,30.41,都市：住
RPXPMLNLNHNFFBB68CA,水湳段,48.00,都市：住
RPQNMLSLNHNFFAB18CA,下橋子頭段,73.00,都市：住
RPQNMLKLOHNFFAB47CA,下橋子頭段,7.78,都市：住
RPSPMLOLNHNFFBB28CA,仁德段,325.00,都市：其他
RPSPMLOLNHNFFBB28CA,仁德段,34.00,都市：其他
RPRPMLOLNHNFFBB18CA,仁德段,1.00,都市：住
RPRPMLOLNHNFFBB18CA,仁德段,336.00,都市：住
RPVOMLPLNHNFFBB58CA,平田段,19.29,都市：其他
RPVOMLPLNHNFFBB58CA,平田段,8.25,都市：其他
RPPOMLOLNHNFFBB87CA,東正段,15.71,都市：商
RPPQMLOLNHNFFBB08CA,賴厝段,5.40,都市：住
RPOQMLOLNHNFFBB97CA,中清段,13.79,都市：住
RPPPMLPLNHNFFBB08CA,錦村段,2.75,都市：住
RPPPMLPLNHNFFBB08CA,錦村段,4.24,都市：住
RPPPMLPLNHNFFBB08CA,錦村段,.08,都市：住
RPQPMLPLNHNFFBB18CA,錦村段,2.75,都市：住
RPQPMLPLNHNFFBB18CA,錦村段,4.24,都市：住
RPQPMLPLNHNFFBB18CA,錦村段,.08,都市：住
RPVRMLPLNHNFFBB88CA,文正段,1.74,都市：住
RPVRMLPLNHNFFBB88CA,文正段,.76,都市：住
RPQNMLRLNHNFFBB18CA,水源段,5.17,都市：住
RPUNMLPLNHNFFBB38CA,太祥段,13.51,都市：住
RPUNMLPLNHNFFBB38CA,太祥段,13.51,都市：住
RPPNMLSLNHNFFBB18CA,陳平段,19.88,都市：住
RPPNMLSLNHNFFBB18CA,陳平段,19.88,都市：住
RPVOMLTLNHNFFBB98CA,錦村段,1.07,都市：住
RPVOMLTLNHNFFBB98CA,錦村段,1.23,都市：住
RPVOMLTLNHNFFBB98CA,錦村段,.01,都市：住
RPVOMLTLNHNFFBB98CA,錦村段,.03,都市：住
RPRPMLTLNHNFFBB68CA,錦村段,3.23,都市：住
RPPNMLMKOHNFFBB57CA,北屯段,10.73,都市：住
RPPNMLMKOHNFFBB57CA,北屯段,21.36,都市：住
RPSQMLNKOHNFFBB28CA,太和段,21.62,都市：住
RPOQMLNKOHNFFBB87CA,太和段,21.62,都市：住
RPPPMLMKOHNFFBB77CA,太和段,16.40,都市：住
RPSNMLRJOHNFFBB28CA,昌平段,.06,都市：住
RPPQMLNKOHNFFBB97CA,太和段,21.62,都市：住
RPXNMLOKOHNFFBB58CA,太和段,21.62,都市：住
RPWNMLOKOHNFFBB48CA,太和段,21.62,都市：住
RPTOMLOKOHNFFBB28CA,太和段,16.99,都市：住
RPTOMLLLNHNFFCB08CA,上石碑段,9.88,都市：商
RPWOMLLLNHNFFCB38CA,西屯段,4.38,都市：住
RPXRMLRJOHNFFBB56CA,錦村段,47.38,都市：住
RPXRMLRJOHNFFBB56CA,錦村段,.05,都市：其他
RPPPMLLJOHNFFBB57CA,同榮段,2586.00,都市：住
RPUPMLLJOHNFFBB08CA,邱厝子段,3.34,都市：其他
RPWOMLNLNHNFFCB58CA,民安段,26.86,都市：商
RPTQMLNLNHNFFCB48CA,上石碑段,13.67,都市：住
RPRQMLMLNHNFFCB18CA,三塊厝段,1.96,都市：住
RPPOMLMLNHNFFCB77CA,保安段,33.11,都市：住
RPTNMLPLNHNFFCB38CA,大進段,4.44,都市：住
RPRRMLNLNHNFFCB38CA,龍富段,.70,都市：住
RPRRMLNLNHNFFCB38CA,龍富段,6.91,都市：住
RPRRMLNLNHNFFCB38CA,龍富段,133.14,都市：住
RPSOMLPLNHNFFCB38CA,上石碑段,11.57,都市：商
