編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPWOMLMLNHNFFAB28CA,坡道平面,800000,24.93
RPXNMLLKOHNFFAB18CA,坡道平面,0,25.27
RPWOMLOJOHNFFAB38CA,升降機械,0,
RPQQMLMLNHNFFAB87CA,坡道機械,0,
RPRPMLLLNHNFFAB77CA,坡道平面,0,27.15
RPUPMLMLNHNFFAB18CA,坡道機械,0,9.94
RPOOMLLMNHNFFAB47CA,坡道平面,0,
RPQNMLKLOHNFFAB47CA,坡道平面,0,25.19
RPVOMLPLNHNFFBB58CA,坡道平面,1350000,32.06
RPPOMLOLNHNFFBB87CA,坡道平面,1000000,
RPOQMLOLNHNFFBB97CA,坡道平面,0,24.80
RPUNMLPLNHNFFBB38CA,坡道平面,0,23.25
RPSQMLNKOHNFFBB28CA,坡道平面,1150000,29.88
RPOQMLNKOHNFFBB87CA,坡道平面,1150000,29.88
RPPPMLMKOHNFFBB77CA,坡道平面,1150000,29.88
RPSNMLRJOHNFFBB28CA,坡道平面,1100000,23.88
RPPQMLNKOHNFFBB97CA,坡道平面,1150000,29.88
RPXNMLOKOHNFFBB58CA,坡道平面,1150000,29.88
RPWNMLOKOHNFFBB48CA,坡道平面,1150000,29.88
RPTOMLOKOHNFFBB28CA,坡道平面,1250000,29.88
RPTOMLLLNHNFFCB08CA,坡道機械,0,15.41
RPXRMLRJOHNFFBB56CA,坡道平面,0,
RPWOMLNLNHNFFCB58CA,坡道平面,0,32.23
RPTQMLNLNHNFFCB48CA,坡道機械,0,15.40
RPPOMLMLNHNFFCB77CA,坡道平面,0,27.39
RPPOMLMLNHNFFCB77CA,坡道平面,0,29.82
RPSOMLPLNHNFFCB38CA,坡道平面,0,32.41
RPWNMLPLNHNFFCB68CA,坡道機械,0,11.57
RPXNMLNLNHNFFCB58CA,坡道平面,750000,20.34
RPOOMLNLNHNFFCB77CA,坡道平面,1250000,29.08
RPXQMLLJOHNFFCB58CA,坡道機械,0,15.00
RPSOMLLJOHNFFCB87CA,坡道平面,0,
RPSOMLLJOHNFFCB87CA,坡道機械,0,
RPQQMLSJOHNFFCB58CA,坡道機械,0,
RPPOMLTKOHNFFCB48CA,坡道平面,0,
RPPOMLPLNHNFFDB18CA,坡道平面,0,
RPRNMLPKOHNFFCB18CA,坡道機械,0,14.54
RPRNMLPKOHNFFCB18CA,坡道機械,0,14.54
RPXQMLQJOHNFFCB09CA,坡道機械,0,14.29
RPVNMLNLNHNFFHB88CA,坡道機械,0,
RPPNMLSLNHNFFHB78CA,坡道平面,0,37.41
RPQQMLTKOHNFFIB76CA,坡道機械,0,
RPQOMLPJOHNFFIB68CA,坡道平面,0,26.15
RPQOMLPJOHNFFIB68CA,坡道平面,0,26.15
RPRNMLNLNHNFFJB68CA,坡道平面,0,31.10
RPWNMLOLNHNFFJB66CA,坡道平面,900000,24.80
RPXNMLOLNHNFFJB76CA,坡道平面,1000000,26.46
RPXNMLOLNHNFFJB76CA,坡道平面,1000000,26.46
RPPOMLLJOHNFFJB28CA,坡道平面,800000,
RPVNMLSLNHNFFJB07DA,坡道平面,0,35.79
RPVNMLSLNHNFFJB07DA,坡道平面,0,35.79
RPXUMLSLNHNFFCB27DA,坡道機械,0,
RPQPMLPKOHNFFIB88CA,坡道平面,0,42.24
RPQPMLPKOHNFFIB88CA,坡道平面,0,42.24
RPRPMLPKOHNFFIB98CA,坡道平面,0,42.24
RPVPMLPKOHNFFIB76CA,坡道平面,0,42.24
RPVPMLPKOHNFFIB76CA,坡道平面,0,42.24
RPWNMLOJOHNFFIB09CA,一樓平面,0,
RPXPMLPKOHNFFIB96CA,坡道平面,0,42.24
RPXPMLPKOHNFFIB96CA,坡道平面,0,38.72
RPPRMLPKOHNFFIB98CA,坡道平面,0,
RPWQMLPKOHNFFIB96CA,坡道平面,0,42.24
RPPNMLLMNHNFFHB18CA,坡道機械,0,7.03
RPSOMLNLNHNFFIB78CA,坡道平面,0,19.80
RPPNMLOLNHNFFHB38CA,坡道機械,0,
RPQQMLKLOHNFFCB97CA,坡道平面,0,32.17
RPQQMLKLOHNFFCB97CA,坡道平面,0,32.17
RPVQMLKLOHNFFCB48CA,升降機械,900000,18.87
RPOOMLOJOHNFFCB77CA,坡道機械,0,16.21
RPRQMLKMNHNFFCB08CA,坡道平面,0,
RPRQMLKMNHNFFCB08CA,坡道平面,0,
RPPOMLPLNHNFFCB08CA,坡道平面,1500000,14.92
RPPOMLPLNHNFFCB08CA,坡道平面,1600000,17.21
RPQOMLPLNHNFFCB18CA,坡道平面,1000000,17.96
RPQOMLPLNHNFFCB18CA,坡道平面,1000000,17.96
RPPSMLOKOHNFFCB38CA,坡道平面,0,
RPTNMLNKOHNFFCB18CA,坡道平面,0,
RPTNMLNKOHNFFCB18CA,坡道平面,0,
RPSNMLMJOHNFFCB87CA,坡道平面,1230000,29.95
RPSNMLMJOHNFFCB87CA,坡道平面,1230000,25.84
RPQOMLRJOHNFFCB28CA,坡道平面,1000000,16.63
RPPQMLPLNHNFFCB28CA,坡道平面,0,23.11
RPPQMLPLNHNFFCB28CA,坡道平面,0,26.46
RPQQMLPJOHNFFCB28CA,坡道平面,0,29.73
RPQQMLPJOHNFFCB28CA,坡道平面,0,29.73
RPQQMLPJOHNFFCB28CA,坡道平面,0,29.73
RPQQMLPJOHNFFCB28CA,坡道平面,0,29.73
RPQQMLPJOHNFFCB28CA,坡道平面,0,29.73
RPVNMLOLNHNFFCB48CA,坡道平面,0,
RPVQMLNLNHNFFCB68CA,一樓平面,0,
RPOOMLOLNHNFFCB87CA,坡道平面,1400000,29.82
RPOOMLOLNHNFFCB87CA,坡道平面,1400000,29.82
RPQPMLNLNHNFFCB08CA,坡道平面,0,33.18
RPQPMLNLNHNFFCB08CA,坡道平面,0,33.18
RPQPMLOLNHNFFCB18CA,坡道機械,0,
RPOPMLNLNHNFFCB87CA,坡道平面,0,33.18
RPOPMLNLNHNFFCB87CA,坡道平面,0,33.18
RPWPMLNLNHNFFCB68CA,坡道平面,0,33.18
RPWPMLNLNHNFFCB68CA,坡道平面,0,33.18
RPSPMLNLNHNFFCB28CA,坡道平面,0,33.18
RPSPMLNLNHNFFCB28CA,坡道平面,0,33.18
RPRPMLNLNHNFFCB18CA,坡道平面,0,33.18
RPRPMLNLNHNFFCB18CA,坡道平面,0,33.18
RPVPMLNLNHNFFCB58CA,坡道平面,0,33.18
RPVPMLNLNHNFFCB58CA,坡道平面,0,33.18
RPQPMLSLNHNFFCB58CA,坡道平面,1000000,17.96
RPQPMLSLNHNFFCB58CA,坡道平面,1000000,17.96
RPRQMLTLNHNFFCB88CA,坡道平面,1400000,33.08
RPUPMLTLNHNFFCB09CA,坡道平面,0,35.34
RPQQMLTLNHNFFCB78CA,坡道平面,0,33.07
RPXPMLQJOHNFFBB88CA,坡道平面,0,
RPSOMLOJOHNFFBB08CA,坡道平面,0,
RPSOMLOJOHNFFBB08CA,坡道平面,0,
RPSOMLOJOHNFFBB08CA,坡道平面,0,
RPSOMLOJOHNFFBB08CA,坡道平面,0,
RPWNMLRLNHNFFBB78CA,坡道平面,0,25.28
RPVOMLKMNHNFFBB18CA,坡道平面,0,
RPVNMLPLNHNFFBB48CA,坡道平面,1200000,34.73
RPVNMLPLNHNFFBB48CA,坡道平面,1200000,34.73
RPSQMLOLNHNFFBB38CA,坡道機械,0,
RPUPMLLJOHNFFAB97CA,坡道平面,0,9.99
RPPNMLRLNHNFFAB97CA,坡道平面,1200000,27.96
RPPNMLRLNHNFFAB97CA,坡道平面,1200000,27.96
RPSPMLKMNHNFFAB87CA,坡道平面,0,23.86
RPSPMLKMNHNFFAB87CA,坡道平面,0,20.54
RPWNMLMLNHNFFBB28CA,坡道平面,0,29.75
RPWNMLMLNHNFFBB28CA,坡道平面,0,31.42
RPQRMLNLNHNFFBB18CA,坡道平面,0,
RPTOMLSLNHNFFAB58CA,坡道機械,500000,10.03
RPWOMLRJOHNFFAB68CA,坡道平面,0,27.14
RPWOMLNLNHNFFBB48CA,坡道平面,0,
RPPPMLNLNHNFFBB87CA,坡道平面,0,
RPXOMLNLNHNFFBB58CA,坡道平面,0,
RPRNMLMKOHNFFAB67CA,坡道平面,0,
RPROMLOLNHNFFBB08CA,坡道平面,1050000,34.03
RPUOMLOLNHNFFBB38CA,坡道平面,1150000,37.17
RPUOMLOLNHNFFBB38CA,坡道平面,1150000,37.17
RPROMLPLNHNFFBB18CA,坡道機械,0,
RPROMLNLNHNFFAB87CA,升降機械,0,
RPUOMLPLNHNFFBB48CA,坡道平面,0,25.28
RPVNMLKMNHNFFBB08CA,坡道平面,0,
RPQPMLLJOHNFFBB67CA,坡道平面,1150000,24.06
RPWPMLSLNHNFFBB09CA,坡道平面,0,
RPUPMLRJOHNFFBB68CA,坡道平面,500000,30.08
RPUPMLRJOHNFFBB68CA,坡道平面,500000,30.08
RPPNMLPKOHNFFBB87CA,坡道機械,0,
RPSOMLMKOHNFFBB97CA,坡道平面,700000,
RPRNMLLJOHNFFBB57CA,坡道機械,0,
RPSRMLTLNHNFFBB98CA,坡道平面,0,
RPSRMLTLNHNFFBB98CA,坡道平面,0,
RPSRMLTLNHNFFBB98CA,坡道平面,0,
RPSNMLMKOHNFFBB87CA,坡道平面,1400000,21.21
RPPPMLLMNHNFFBB77CA,坡道平面,0,24.06
RPRNMLMKOHNFFBB77CA,坡道平面,1400000,21.21
RPRNMLMKOHNFFBB77CA,坡道平面,1400000,21.21
RPXNMLSLNHNFFCB09CA,坡道平面,0,33.07
RPXNMLSLNHNFFCB09CA,坡道平面,0,33.07
RPVNMLSLNHNFFCB88CA,坡道平面,0,33.07
RPVNMLSLNHNFFCB88CA,坡道平面,0,31.44
RPXOMLSLNHNFFCB56CA,坡道平面,0,33.07
RPXOMLSLNHNFFCB56CA,坡道平面,0,33.07
RPPPMLSLNHNFFCB48CA,坡道平面,1350000,33.07
RPOPMLSLNHNFFCB38CA,坡道平面,1350000,33.07
RPRPMLOLNHNFFCB28CA,坡道平面,600000,15.41
RPOQMLOLNHNFFCB08CA,坡道平面,0,32.11
RPQQMLKMNHNFFCB97CA,坡道機械,0,
RPRQMLPLNHNFFCB48CA,坡道平面,0,13.75
RPRQMLPLNHNFFCB48CA,坡道平面,0,13.75
RPSNMLOJOHNFFCB08CA,坡道機械,0,
RPQPMLKMNHNFFCB87CA,坡道機械,0,13.61
RPUNMLLJOHNFFCB97CA,坡道平面,0,29.97
RPROMLRJOHNFFCB38CA,坡道機械,1000000,13.22
RPPOMLRJOHNFFCB18CA,坡道平面,1250000,23.15
RPPOMLRJOHNFFCB18CA,坡道平面,1250000,26.44
RPSRMLNKOHNFFCB48CA,坡道平面,2000000,25.72
RPSRMLNKOHNFFCB48CA,坡道平面,2000000,25.72
RPVNMLOKOHNFFCB48CA,坡道平面,0,33.13
RPVNMLOKOHNFFCB48CA,坡道平面,0,33.13
RPQOMLOKOHNFFCB08CA,坡道機械,0,
RPROMLTKOHNFFCB68CA,坡道機械,0,
RPUNMLOJOHNFFCB28CA,坡道平面,0,14.99
RPOQMLTLNHNFFDB68CA,坡道機械,0,
RPOQMLTLNHNFFDB68CA,坡道機械,0,
RPOQMLTLNHNFFDB68CA,坡道機械,0,
RPOOMLNLNHNFFFB08CA,坡道機械,0,10.84
RPVNMLPLNHNFFFB88CA,坡道機械,0,
RPSNMLKLOHNFFGB28CA,坡道機械,0,19.83
RPTOMLKMNHNFFIB68CA,坡道平面,1100000,31.77
RPPPMLKMNHNFFIB38CA,坡道平面,0,27.22
RPPPMLSLNHNFFIB09CA,坡道平面,0,
RPVNMLOJOHNFFIB98CA,坡道平面,0,30.20
RPVNMLOJOHNFFIB98CA,坡道平面,0,30.20
RPTOMLLJOHNFFIB58CA,坡道平面,1000000,34.34
RPOOMLPJOHNFFFB18CA,坡道平面,0,
RPSNMLLMNHNFFJB68CA,坡道平面,1200000,36.40
RPRNMLLMNHNFFJB58CA,坡道平面,1400000,36.41
RPRNMLLMNHNFFJB58CA,坡道平面,1400000,36.41
RPSOMLLMNHNFFJB78CA,坡道平面,0,34.66
RPXNMLOKOHNFFIB66CA,升降平面,0,
RPXNMLKLOHNFFJB09CA,坡道機械,0,
RPVOMLKLOHNFFCB38DA,坡道機械,0,
RPSOMLTKOHNFFJB86CA,坡道機械,0,
RPRNMLQJOHNFFJB88CA,坡道平面,0,34.66
RPQNMLRLNHNFFJB98CA,坡道機械,0,
RPQPMLSJOHNFFCB58DA,坡道平面,0,
RPQOMLNKOHNFFIB58CA,坡道機械,500000,
RPVOMLOJOHNFFIB09CA,坡道平面,0,23.67
RPVOMLOJOHNFFIB09CA,坡道平面,0,23.67
RPXNMLLJOHNFFIB88CA,坡道平面,0,24.07
RPXNMLLJOHNFFIB88CA,坡道機械,0,10.62
RPUNMLKMNHNFFJB78CA,升降平面,0,
RPQNMLKMNHNFFJB38CA,坡道平面,1100000,35.79
RPOOMLKMNHNFFJB28CA,坡道平面,0,34.66
RPQNMLKMNHNFFJB38CA,坡道平面,1100000,35.79
RPOOMLKMNHNFFJB28CA,坡道平面,0,34.66
RPUNMLKLOHNFFHB58CA,坡道平面,0,
RPPNMLTKOHNFFFB68CA,坡道機械,0,
RPRNMLTKOHNFFFB88CA,坡道平面,400000,12.37
RPQNMLTKOHNFFFB78CA,坡道平面,400000,12.37
RPSOMLLLOHNFFDB18CA,坡道平面,1450000,23.32
RPPNMLTKOHNFFDB48CA,升降機械,0,
RPRPMLTLNHNFFDB88CA,坡道機械,0,16.14
RPUNMLPKOHNFFCB48CA,坡道平面,0,33.21
RPTQMLKLOHNFFCB28CA,坡道平面,1400000,23.45
RPXPMLTKOHNFFCB76CA,坡道機械,0,14.60
RPPPMLNKOHNFFCB97CA,坡道機械,550000,21.74
RPPPMLNKOHNFFCB97CA,坡道機械,550000,21.74
RPPPMLNKOHNFFCB97CA,坡道平面,1500000,47.11
RPPPMLNKOHNFFCB97CA,坡道平面,1500000,47.11
RPROMLKLOHNFFCB87CA,坡道平面,0,
RPVPMLTKOHNFFCB56CA,坡道平面,0,28.12
