鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南屯區,房地(土地+建物),臺中市南屯區南屯路二段811~840號,100.98,住,,,1070424,土地3建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0770108,177.13,0,0,0,無,無,無,32000,181,,0.0,0,,RPVOMLLLNHNFFCB48CC
西區,房地(土地+建物),臺中市西區公益路211~240號,19.86,住,,,1070503,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870918,178.56,3,2,2,有,有,有,25000,140,,0.0,0,起租日:107/05/20租金總額含稅。,RPPOMLLLNHNFFAB67CC
大雅區,房地(土地+建物),臺中市大雅區雅環路三段大明一巷1~30號,38.21,住,,,1070430,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0780131,74.97,4,0,1,有,無,有,15000,200,,0.0,0,,RPUNMLLLNHNFFHB78CC
潭子區,車位,臺中市潭子區中興路91~120號,0.0,住,,,1070429,土地0建物0車位1,,,其他,,,,9.09,0,0,0,有,有,無,1500,,坡道機械,9.09,1500,,RPVNMLLLNHNFFHB88CC
大雅區,房地(土地+建物),臺中市大雅區神林南路43巷61~90號,7.53,住,,,1070508,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0830111,28.24,1,0,1,有,無,有,6250,221,,0.0,0,,RPWNMLLLNHNFFHB98CC
大雅區,房地(土地+建物),臺中市大雅區神林南路43巷61~90號,7.53,住,,,1070508,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0830111,28.24,1,0,1,有,無,有,6250,221,,0.0,0,,RPXNMLLLNHNFFHB09CC
大雅區,房地(土地+建物),臺中市大雅區民興街91~120號,41.8,住,,,1070515,土地2建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0820315,87.2,3,0,2,有,無,有,16000,183,,0.0,0,,RPOOMLLLNHNFFHB28CC
大雅區,房地(土地+建物),臺中市大雅區神林南路43巷61~90號,6.7,住,,,1070424,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0830111,27.79,1,0,1,有,無,有,6250,225,,0.0,0,套房出租,RPPOMLLLNHNFFHB38CC
大里區,房地(土地+建物),臺中市大里區東榮路571~600號,23.76,住,,,1070514,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870330,39.67,0,0,0,無,無,無,13500,340,,0.0,0,,RPOOMLLLNHNFFIB38CC
太平區,房地(土地+建物),臺中市太平區宜佳街1~30號,35.25,住,,,1070502,土地1建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0780725,137.76,3,3,1,有,無,無,27000,196,,0.0,0,本案未使用共同使用部分，未繳交管理費，故未申報公設建號,RPPNMLLLNHNFFJB58DC
西區,房地(土地+建物),臺中市西區臺灣大道二段211~240號,12.94,住,,,1070427,土地1建物0車位0,十四層,37,辦公商業大樓,見其他登記事項,見其他登記事項,0800402,287.15999999999997,0,0,0,無,有,無,54728,191,,0.0,0,,RPWPMLMLNHNFFAB58CC
西屯區,房地(土地+建物),臺中市西屯區市政北七路121~150號,14.73,住,,,1070510,土地1建物1車位0,一層,28,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1000110,261.88,0,0,0,無,有,無,120000,458,,0.0,0,,RPSNMLMLNHNFFCB18CC
南屯區,房地(土地+建物),臺中市南屯區保安七街61~90號,9.76,住,,,1070514,土地1建物1車位0,四層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060817,41.37,1,0,1,有,有,有,10000,242,,0.0,0,,RPWNMLMLNHNFFCB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段901~930號,91.29,住,,,1070323,土地1建物1車位1,四層,14,辦公商業大樓,商業用,鋼筋混凝土造,0831024,214.65,0,0,0,無,有,無,32000,149,坡道平面,0.0,0,,RPPPMLMLNHNFFCB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路二段256巷1~30號,33.66,商,,,1070515,土地1建物2車位2,二十一層,22,辦公商業大樓,見其他登記事項,見其他登記事項,0820507,482.61,0,0,0,無,有,有,65000,135,坡道機械,0.0,0,,RPOQMLMLNHNFFCB08CC
北區,房地(土地+建物)+車位,臺中市北區臺灣大道二段331~360號,9.76,住,,,1070423,土地2建物1車位1,七層,28,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,0890603,172.84,0,0,0,無,有,無,40000,231,坡道機械,9.32,0,,RPRNMLMLNHNFFBB97CC
北區,房地(土地+建物),臺中市北區臺灣大道二段331~360號,35.39,住,,,1070507,土地1建物1車位0,十二層,4,辦公商業大樓,商業用,鋼筋混凝土造,0770116,277.55,0,0,0,無,有,無,34056,123,,0.0,0,,RPQQMLMLNHNFFBB18CC
北區,建物,臺中市北區三民路三段201巷1~30號,0.0,住,,,1070510,土地0建物0車位0,一層,2,店面(店鋪),住家用,鋼筋混凝土加強磚造,0550606,62.4,0,1,1,有,無,有,30000,481,,0.0,0,,RPWNMLNLNHNFFBB58CC
北屯區,建物,臺中市北屯區崇德六路一段30巷1~30號,0.0,住,,,1070519,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820222,95.19999999999999,3,2,2,有,有,無,13000,137,坡道機械,0.0,0,車位面積無法分算租金含管理費,RPPOMLNLNHNFFBB97CC
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1321~1350號,14.51,住,,,1070520,土地1建物1車位1,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041228,92.09,0,0,0,無,有,無,20000,217,坡道平面,25.81,0,租賃範圍不包含夾層,RPUOMLNLNHNFFBB48CC
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段160巷1~30號,10.22,住,,,1070514,土地2建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,82.25,2,1,1,有,有,有,14200,173,,0.0,0,,RPOPMLNLNHNFFBB97CC
北屯區,房地(土地+建物),臺中市北屯區崇德二路一段157巷31~60號,5.31,住,,,1070523,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830825,32.33,1,0,1,有,有,無,7500,232,,0.0,0,,RPQQMLNLNHNFFBB28CC
西屯區,建物,臺中市西屯區上石路181巷1~30號,0.0,商,,,1070502,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961012,119.34,2,2,1,有,有,有,22000,184,坡道機械,13.25,0,租金含管理費,RPQNMLNLNHNFFCB08CC
南屯區,房地(土地+建物)+車位,臺中市南屯區文心路一段301~330號,29.7,住,,,1070511,土地1建物1車位2,十一層,14,辦公商業大樓,商業用,鋼筋混凝土造,0850302,261.73,4,0,0,有,有,有,43500,166,坡道機械,0.0,0,,RPPOMLNLNHNFFCB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路31~60號,33.03,住,,,1070515,土地1建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011003,210.99,3,2,2,有,有,有,44000,209,坡道平面,66.18,0,,RPUPMLNLNHNFFCB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路61~90號,9.52,住,,,1070425,土地1建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,107.07,2,2,1,有,有,有,20000,187,坡道機械,13.92,0,,RPOQMLNLNHNFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區黎明路三段151~180號,49.22,商,,,1070301,土地1建物1車位2,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021016,392.63,0,0,0,無,有,無,105000,267,坡道平面,57.6,0,,RPPQMLNLNHNFFCB28CC
西屯區,建物,臺中市西屯區國安一路121~150號,0.0,其他,,,1070425,土地0建物1車位0,一層,2,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1031201,413.22,0,0,0,無,無,無,100000,242,,0.0,0,僅承租1F部分範圍:約125坪,RPUQMLNLNHNFFCB78CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路211~240號,20.35,其他,,,1070502,土地1建物1車位2,三十層,36,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030403,369.23,0,0,0,無,有,無,90000,244,坡道平面,0.0,0,,RPWRMLNLNHNFFCB09CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,28.86,其他,,,1070430,土地1建物1車位3,十八層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,482.84000000000003,0,0,0,無,有,無,134651,279,坡道平面,0.0,0,,RPOSMLNLNHNFFCB38CC
西區,房地(土地+建物)+車位,臺中市西區忠明南路91~120號,12.53,住,,,1070508,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,137.82999999999998,2,2,2,有,有,有,32000,232,坡道機械,0.0,0,,RPWNMLNLNHNFFAB48CC
烏日區,房地(土地+建物),臺中市烏日區中華路612巷1~30號,17.13,住,,,1070513,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841106,85.98,1,0,1,有,有,無,11000,128,,0.0,0,,RPROMLNLNHNFFIB88CC
大里區,房地(土地+建物),臺中市大里區立中五街61~90號,91.8,住,,,1070515,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020426,244.41,4,3,4,有,無,無,28000,115,,0.0,0,,RPSPMLNLNHNFFIB09CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段1261~1290號,10.87,住,,,1070516,土地1建物1車位0,二十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990112,98.41,3,2,2,有,無,有,26800,272,,0.0,0,,RPXOMLNLNHNFFCB98DC
清水區,房地(土地+建物)+車位,臺中市清水區港新五路211~240號,21.84,商,,,1070511,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060905,202.53,3,2,2,有,有,無,15000,74,坡道平面,0.0,0,,RPQNMLNLNHNFFFB38CC
太平區,建物,臺中市太平區中山路二段362巷1~30號,0.0,,鄉村區,乙種建築用地,1070513,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840418,94.33,2,2,1,有,無,有,9000,95,,0.0,0,,RPWNMLNLNHNFFJB76CC
太平區,房地(土地+建物),臺中市太平區中山路三段25巷61~90號,108.6,工,,,1070516,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0670710,108.6,4,2,2,有,無,有,17900,165,,0.0,0,,RPQPMLNLNHNFFJB98CC
南區,房地(土地+建物)+車位,臺中市南區復興北路751~780號,29.56,住,,,1070426,土地2建物1車位2,四層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030920,244.06,4,2,2,有,有,有,27000,111,坡道平面,0.0,0,,RPSOMLOLNHNFFAB28CC
西屯區,建物,臺中市西屯區國安一路61~90號,15.52,住,,,1070520,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960907,140.78,3,2,2,有,有,有,24000,170,,0.0,0,,RPTNMLOLNHNFFCB48CC
南屯區,建物,臺中市南屯區精科路121~150號,0.0,住,,,1070425,土地0建物1車位0,一層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060306,256.87,0,0,0,無,有,無,60000,234,,0.0,0,107/07/01-108/06/30租金6萬元/月；108/07/01-109/06/30租金6.5萬元/月；109/07/01-113/06/30租金6.8萬元/月。,RPTOMLOLNHNFFCB58CC
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東一路571~600號,27.42,住,,,1070430,土地1建物1車位2,四層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050727,275.54,3,2,2,有,有,有,42000,152,坡道平面,0.0,0,,RPUOMLOLNHNFFCB68CC
南屯區,建物,臺中市南屯區大墩十街181~210號,20.6,商,,,1070516,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0881222,47.43,0,0,0,無,有,有,18000,380,,0.0,0,,RPRNMLPLNHNFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段901~930號,25.66,商,,,1070509,土地1建物1車位2,六層,14,辦公商業大樓,商業用,鋼筋混凝土造,0831024,289.99,0,0,0,無,有,無,49000,169,坡道機械,0.0,0,,RPVOMLPLNHNFFCB88CC
西屯區,房地(土地+建物)+車位,臺中市西屯區東興路三段361~390號,52.24,住,,,1070510,土地1建物1車位1,七層,7,辦公商業大樓,商業用,鋼筋混凝土造,0800930,139.42000000000002,0,0,0,無,有,無,25000,179,坡道機械,0.0,0,,RPWOMLPLNHNFFCB98CC
西屯區,建物,臺中市西屯區玉門路31~60號,0.0,住,,,1070522,土地0建物1車位0,一層,4,店面(店鋪),見其他登記事項,見其他登記事項,1050119,431.90999999999997,0,0,0,無,無,無,160000,370,,0.0,0,,RPXOMLPLNHNFFCB09CC
