編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLLNHNFFAB67CC,20,131.88,住家用,鋼筋混凝土造,87年9月18日,十四層,
RPPOMLLLNHNFFAB67CC,20,30.15,共有部份,鋼筋混凝土造,87年9月18日,十四層,
RPPOMLLLNHNFFAB67CC,20,16.53,共有部份,鋼筋混凝土造,87年9月18日,十四層,
RPWNMLLLNHNFFHB98CC,24,28.24,見其他登記事項,鋼筋混凝土造,83年1月11日,五層,
RPXNMLLLNHNFFHB09CC,24,28.24,見其他登記事項,鋼筋混凝土造,83年1月11日,五層,
RPVOMLLLNHNFFCB48CC,30,177.13,住商用,鋼筋混凝土造,77年1月8日,三層,
RPVNMLLLNHNFFHB88CC,12,.00,見其他登記事項,鋼筋混凝土造,95年6月10日,十五層,
RPVNMLLLNHNFFHB88CC,12,9.09,見其他登記事項,鋼筋混凝土造,95年6月10日,十五層,
RPPOMLLLNHNFFHB38CC,24,27.79,見其他登記事項,鋼筋混凝土造,83年1月11日,五層,
RPUNMLLLNHNFFHB78CC,29,74.97,住家用,鋼筋混凝土造,78年1月31日,三層,
RPOOMLLLNHNFFHB28CC,25,87.20,住商用,鋼筋混凝土造,82年3月15日,五層,
RPWPMLMLNHNFFAB58CC,27,172.78,見其他登記事項,見其他登記事項,80年4月2日,三十七層,
RPWPMLMLNHNFFAB58CC,27,114.38,見其他登記事項,見其他登記事項,80年4月2日,三十七層,
RPSNMLMLNHNFFCB18CC,7,261.88,見其他登記事項,鋼骨鋼筋混凝土造,100年1月10日,二十八層,
RPPPMLMLNHNFFCB08CC,23,135.28,商業用,鋼筋混凝土造,83年10月24日,十四層,
RPPPMLMLNHNFFCB08CC,23,79.37,共有部分,鋼筋混凝土造,83年10月24日,十四層,
RPOQMLMLNHNFFCB08CC,25,196.38,見其他登記事項,見其他登記事項,82年5月7日,二十二層,
RPOQMLMLNHNFFCB08CC,25,90.38,見其他登記事項,見其他登記事項,82年5月7日,二十二層,
RPOQMLMLNHNFFCB08CC,25,195.85,共有部分,見其他登記事項,82年5月7日,二十二層,
RPRNMLMLNHNFFBB97CC,18,114.26,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPRNMLMLNHNFFBB97CC,18,27.22,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPRNMLMLNHNFFBB97CC,18,31.36,見其他登記事項,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPWNMLMLNHNFFCB58CC,1,41.37,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPQQMLMLNHNFFBB18CC,30,194.74,商業用,鋼筋混凝土造,77年1月16日,十二層,
RPQQMLMLNHNFFBB18CC,30,82.81,共有部份,鋼筋混凝土造,77年1月16日,十二層,
RPWNMLNLNHNFFBB58CC,52,62.40,住家用,鋼筋混凝土加強磚造,55年6月6日,二層,
RPUOMLNLNHNFFBB48CC,2,48.55,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPUOMLNLNHNFFBB48CC,2,41.17,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPUOMLNLNHNFFBB48CC,2,2.37,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPOPMLNLNHNFFBB97CC,18,60.60,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPOPMLNLNHNFFBB97CC,18,21.65,共有部份,鋼筋混凝土造,89年2月18日,十四層,
RPPOMLNLNHNFFBB97CC,25,75.10,住家用,鋼筋混凝土造,82年2月22日,七層,
RPPOMLNLNHNFFBB97CC,25,20.10,共有部份,鋼筋混凝土造,82年2月22日,七層,
RPQNMLNLNHNFFCB08CC,11,71.02,住家用,鋼筋混凝土造,96年10月12日,十五層,
RPQNMLNLNHNFFCB08CC,11,26.80,見其他登記事項,鋼筋混凝土造,96年10月12日,十五層,
RPQNMLNLNHNFFCB08CC,11,21.52,見其他登記事項,鋼筋混凝土造,96年10月12日,十五層,
RPQQMLNLNHNFFBB28CC,24,26.30,商業用,鋼筋混凝土造,83年8月25日,七層,
RPQQMLNLNHNFFBB28CC,24,6.03,共有部份,鋼筋混凝土造,83年8月25日,九層,
RPPOMLNLNHNFFCB08CC,22,149.33,商業用,鋼筋混凝土造,85年3月2日,十四層,
RPPOMLNLNHNFFCB08CC,22,112.40,共有部分,鋼筋混凝土造,85年3月2日,十四層,
RPPQMLNLNHNFFCB28CC,4,392.63,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPUQMLNLNHNFFCB78CC,3,413.22,見其他登記事項,鋼骨鋼筋混凝土造,103年12月1日,二層,
RPOSMLNLNHNFFCB38CC,3,308.22,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPOSMLNLNHNFFCB38CC,3,78.80,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPOSMLNLNHNFFCB38CC,3,95.82,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPUPMLNLNHNFFCB68CC,6,142.32,住家用,鋼筋混凝土造,101年10月3日,十四層,
RPUPMLNLNHNFFCB68CC,6,68.67,見其他登記事項,鋼筋混凝土造,101年10月3日,十四層,
RPOQMLNLNHNFFCB18CC,9,65.07,住家用,鋼筋混凝土造,97年11月27日,二十二層,
RPOQMLNLNHNFFCB18CC,9,42.00,見其他登記事項,鋼筋混凝土造,97年11月27日,二十二層,
RPWRMLNLNHNFFCB09CC,4,228.51,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPWRMLNLNHNFFCB09CC,4,68.07,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPWRMLNLNHNFFCB09CC,4,72.65,見其他登記事項,鋼骨鋼筋混凝土造,103年4月3日,三十六層,
RPWNMLNLNHNFFAB48CC,11,90.97,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWNMLNLNHNFFAB48CC,11,19.18,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPWNMLNLNHNFFAB48CC,11,27.68,見其他登記事項,鋼筋混凝土造,95年12月22日,十五層,
RPXOMLNLNHNFFCB98DC,8,98.41,住家用,鋼筋混凝土造,99年1月12日,二十六層,
RPQNMLNLNHNFFFB38CC,1,202.53,見其他登記事項,鋼筋混凝土造,106年9月5日,十五層,
RPTNMLOLNHNFFCB48CC,11,140.78,住家用,鋼筋混凝土造,96年9月7日,十五層,
RPSOMLOLNHNFFAB28CC,4,120.86,見其他登記事項,鋼筋混凝土造,103年9月20日,十九層,
RPSOMLOLNHNFFAB28CC,4,123.20,見其他登記事項,鋼筋混凝土造,103年9月20日,十九層,
RPUOMLOLNHNFFCB68CC,2,136.02,見其他登記事項,鋼筋混凝土造,105年7月27日,二十三層,
RPUOMLOLNHNFFCB68CC,2,139.52,見其他登記事項,鋼筋混凝土造,105年7月27日,二十三層,
RPTOMLOLNHNFFCB58CC,1,205.22,見其他登記事項,鋼筋混凝土造,106年3月6日,十一層,
RPTOMLOLNHNFFCB58CC,1,51.65,見其他登記事項,鋼筋混凝土造,106年3月6日,十一層,
RPRNMLPLNHNFFCB38CC,18,47.43,見其他登記事項,鋼筋混凝土造,88年12月22日,九層,
RPWOMLPLNHNFFCB98CC,27,108.34,商業用,鋼筋混凝土造,80年9月30日,七層,
RPWOMLPLNHNFFCB98CC,27,31.08,共有部分,鋼筋混凝土造,80年9月30日,七層,
RPVOMLPLNHNFFCB88CC,24,199.12,商業用,鋼筋混凝土造,83年10月24日,十四層,
RPVOMLPLNHNFFCB88CC,24,90.87,共有部分,鋼筋混凝土造,83年10月24日,十四層,
RPXOMLPLNHNFFCB09CC,2,289.75,見其他登記事項,見其他登記事項,105年1月19日,四層,
RPXOMLPLNHNFFCB09CC,2,142.16,見其他登記事項,見其他登記事項,105年1月19日,四層,
RPOPMLPLNHNFFCB28CC,1,39.93,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPPPMLPLNHNFFCB38CC,1,40.38,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPQPMLPLNHNFFCB48CC,1,41.37,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPRPMLPLNHNFFCB58CC,3,236.30,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPRPMLPLNHNFFCB58CC,3,60.45,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPRPMLPLNHNFFCB58CC,3,73.54,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPSPMLPLNHNFFCB68CC,1,41.37,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPPNMLLLNHNFFJB58DC,29,137.76,見其他登記事項,鋼筋混凝土造,78年7月25日,五層,
RPQPMLNLNHNFFJB98CC,40,108.60,見其他登記事項,加強磚造,67年7月10日,二層,
RPXQMLPLNHNFFCB66CC,4,169.63,住家用,鋼筋混凝土造,103年2月26日,二十一層,
RPXQMLPLNHNFFCB66CC,4,139.62,見其他登記事項,鋼筋混凝土造,103年2月26日,二十一層,
RPWNMLNLNHNFFJB76CC,23,59.00,住家用,鋼筋混凝土造,84年4月18日,五層,
RPWNMLNLNHNFFJB76CC,23,35.33,共有部份,鋼筋混凝土造,84年4月18日,五層,
RPTPMLPLNHNFFCB78CC,3,177.47,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPTPMLPLNHNFFCB78CC,3,45.34,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPTPMLPLNHNFFCB78CC,3,55.15,見其他登記事項,鋼骨鋼筋混凝土造,104年9月24日,三十四層,
RPUPMLPLNHNFFCB88CC,1,134.40,見其他登記事項,鋼筋混凝土造,106年3月21日,二十八層,
RPUPMLPLNHNFFCB88CC,1,95.10,見其他登記事項,鋼筋混凝土造,106年3月21日,二十八層,
RPQRMLPLNHNFFCB68CC,38,98.23,住商用,鋼筋混凝土造,69年5月22日,二層,
RPWRMLPLNHNFFCB66CC,12,30.92,住家用,鋼筋混凝土造,94年12月20日,十層,
RPPRMLPLNHNFFBB48CC,12,19.44,見其他登記事項,鋼筋混凝土造,95年6月14日,二層,
RPXQMLPLNHNFFBB56CC,12,19.83,見其他登記事項,鋼筋混凝土造,95年6月14日,二層,
RPORMLPLNHNFFBB38CC,12,19.44,見其他登記事項,鋼筋混凝土造,95年6月14日,二層,
RPXOMLPLNHNFFBB98CC,15,157.03,見其他登記事項,鋼筋混凝土造,92年3月20日,四層,
RPROMLPLNHNFFAB28CC,49,124.43,商業用,見其他登記事項,58年10月9日,二層,
RPPPMLPLNHNFFAB18CC,24,114.34,住家用,鋼筋混凝土造,83年6月30日,十四層,
RPPPMLPLNHNFFAB18CC,24,39.66,共有部份,鋼筋混凝土造,83年6月30日,十四層,
RPPQMLPLNHNFFAB28CC,23,68.06,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPVOMLPLNHNFFAB68CC,24,210.48,商業用,見其他登記事項,82年12月18日,四十二層,
