編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPOMLLLNHNFFAB67CC,麻園頭段,19.86,都市：住
RPWNMLLLNHNFFHB98CC,民生段,7.53,都市：住
RPXNMLLLNHNFFHB09CC,民生段,7.53,都市：住
RPVOMLLLNHNFFCB48CC,南屯段,38.00,都市：住
RPVOMLLLNHNFFCB48CC,南屯段,48.00,都市：住
RPVOMLLLNHNFFCB48CC,南屯段,14.98,都市：住
RPVNMLLLNHNFFHB88CC,家興段,.00,都市：住
RPPOMLLLNHNFFHB38CC,民生段,6.70,都市：住
RPUNMLLLNHNFFHB78CC,大明段,38.21,都市：住
RPOOMLLLNHNFFHB28CC,學雅段,27.00,都市：住
RPOOMLLLNHNFFHB28CC,學雅段,14.80,都市：住
RPWPMLMLNHNFFAB58CC,後子段,12.94,都市：住
RPSNMLMLNHNFFCB18CC,惠民段,14.73,都市：住
RPPPMLMLNHNFFCB08CC,中正段,91.29,都市：住
RPOQMLMLNHNFFCB08CC,上石碑段,33.66,都市：商
RPRNMLMLNHNFFBB97CC,乾溝子段,9.49,都市：住
RPRNMLMLNHNFFBB97CC,乾溝子段,.27,都市：住
RPWNMLMLNHNFFCB58CC,寶文段,9.76,都市：住
RPQQMLMLNHNFFBB18CC,乾溝子段,35.39,都市：住
RPWNMLNLNHNFFBB58CC,水源段,.00,都市：住
RPUOMLNLNHNFFBB48CC,太原段,14.51,都市：住
RPOPMLNLNHNFFBB97CC,平田段,8.63,都市：住
RPOPMLNLNHNFFBB97CC,平田段,1.59,都市：住
RPPOMLNLNHNFFBB97CC,松觀段,.00,都市：住
RPQNMLNLNHNFFCB08CC,上石碑段,.00,都市：商
RPQQMLNLNHNFFBB28CC,平田段,5.31,都市：住
RPPOMLNLNHNFFCB08CC,大新段,29.70,都市：住
RPPQMLNLNHNFFCB28CC,福德段,45.64,都市：商
RPPQMLNLNHNFFCB28CC,福德段,3.58,都市：商
RPUQMLNLNHNFFCB78CC,國安段,.00,都市：其他
RPOSMLNLNHNFFCB38CC,惠民段,28.86,都市：其他
RPUPMLNLNHNFFCB68CC,福星段,33.03,都市：住
RPOQMLNLNHNFFCB18CC,國安段,9.52,都市：住
RPWRMLNLNHNFFCB09CC,惠民段,20.35,都市：其他
RPWNMLNLNHNFFAB48CC,麻園頭段,12.53,都市：住
RPXOMLNLNHNFFCB98DC,民安段,10.87,都市：住
RPQNMLNLNHNFFFB38CC,市鎮北段,21.84,都市：商
RPTNMLOLNHNFFCB48CC,國安段,15.52,都市：住
RPSOMLOLNHNFFAB28CC,樹子腳段,15.87,都市：住
RPSOMLOLNHNFFAB28CC,樹子腳段,13.69,都市：住
RPUOMLOLNHNFFCB68CC,豐業段,27.42,都市：住
RPTOMLOLNHNFFCB58CC,寶文段,.00,都市：住
RPRNMLPLNHNFFCB38CC,大新段,20.60,都市：商
RPWOMLPLNHNFFCB98CC,大墩段,52.24,都市：住
RPVOMLPLNHNFFCB88CC,中正段,25.66,都市：商
RPXOMLPLNHNFFCB09CC,國安段,.00,都市：住
RPOPMLPLNHNFFCB28CC,寶文段,9.31,都市：住
RPPPMLPLNHNFFCB38CC,寶文段,9.46,都市：住
RPQPMLPLNHNFFCB48CC,寶文段,9.76,都市：住
RPRPMLPLNHNFFCB58CC,惠民段,21.02,都市：其他
RPSPMLPLNHNFFCB68CC,寶文段,9.76,都市：住
RPPNMLLLNHNFFJB58DC,溪洲段,35.25,都市：住
RPQPMLNLNHNFFJB98CC,欣欣段,108.60,都市：工
RPWNMLNLNHNFFJB76CC,光明段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXQMLPLNHNFFCB66CC,福德段,.00,都市：住
RPWNMLNLNHNFFJB76CC,光明段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLPLNHNFFCB78CC,惠民段,16.31,都市：其他
RPWNMLNLNHNFFJB76CC,光明段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUPMLPLNHNFFCB88CC,惠民段,13.47,都市：其他
RPQRMLPLNHNFFCB68CC,中正段,.00,都市：住
RPWRMLPLNHNFFCB66CC,惠智段,7.11,都市：住
RPPRMLPLNHNFFBB48CC,大觀段,19.44,都市：住
RPXQMLPLNHNFFBB56CC,大觀段,19.83,都市：住
RPORMLPLNHNFFBB38CC,大觀段,19.44,都市：住
RPXOMLPLNHNFFBB98CC,陳平段,69.00,都市：住
RPROMLPLNHNFFAB28CC,旱溪段,83.00,都市：住
RPROMLPLNHNFFAB28CC,旱溪段,7.00,都市：住
RPPPMLPLNHNFFAB18CC,後子段,.00,都市：住
RPPQMLPLNHNFFAB28CC,公館段,4.41,都市：住
RPVOMLPLNHNFFAB68CC,下橋子頭段,16.33,都市：住
RPVNMLPLNHNFFDB88CC,豐原段,74.00,都市：住
RPWNMLSLNHNFFDB66CC,豐原段,894.00,都市：住
RPXNMLSLNHNFFHB17CC,永興段,10.33,都市：住
RPXNMLSLNHNFFHB17CC,永興段,9.94,都市：住
RPXNMLSLNHNFFHB17CC,永興段,200.90,都市：住
RPXNMLSLNHNFFHB17CC,永興段,89.34,都市：住
RPWNMLPLNHNFFDB98CC,一心段,75.60,都市：住
RPWNMLPLNHNFFDB98CC,一心段,86.89,都市：住
RPWNMLPLNHNFFDB98CC,一心段,6.00,都市：住
RPWNMLPLNHNFFDB98CC,一心段,131.29,都市：住
RPWNMLPLNHNFFDB98CC,一心段,129.60,都市：住
RPWNMLPLNHNFFDB98CC,一心段,130.42,都市：住
RPWNMLPLNHNFFDB98CC,一心段,29.00,都市：住
RPWNMLPLNHNFFDB98CC,一心段,17.00,都市：住
RPUNMLSLNHNFFAB78CC,麻園頭段,19.03,都市：住
RPOOMLSLNHNFFHB98CC,四維段,13.95,都市：住
RPVNMLSLNHNFFAB88CC,麻園頭段,16.46,都市：住
RPXNMLSLNHNFFAB09CC,麻園頭段,13.07,都市：住
RPUNMLSLNHNFFBB88CC,邱厝子段,.00,都市：住
RPUOMLSLNHNFFAB88CC,建國段五小段,.00,都市：商
RPOOMLSLNHNFFAB28CC,大益段,11.56,都市：住
RPVNMLSLNHNFFBB98CC,水湳段,.00,都市：住
RPVNMLSLNHNFFBB98CC,水湳段,.00,都市：住
RPPNMLSLNHNFFAB38DC,公館段,71.00,都市：商
RPROMLSLNHNFFBB68CC,東山段,140.00,都市：住
RPTOMLSLNHNFFBB88CC,東山段,140.00,都市：住
RPVOMLSLNHNFFBB09CC,東新段,4.17,都市：住
RPQPMLSLNHNFFBB68CC,東新段,3.03,都市：住
RPOTMLSLNHNFFCB98CC,田心段,21.27,都市：住
RPTPMLTLNHNFFCB56CC,寶文段,14.03,都市：住
RPWQMLTLNHNFFCB96CC,中正段,6.92,都市：商
RPOOMLLLNHNFFIB38CC,大孝段,23.76,都市：住
RPROMLNLNHNFFIB88CC,自立段,17.13,都市：住
RPSPMLNLNHNFFIB09CC,新甲段,91.80,都市：住
RPSPMLTLNHNFFCB09CC,寶文段,9.30,都市：住
RPXQMLTLNHNFFCB07CC,大墩段,126.00,都市：住
RPORMLTLNHNFFCB88CC,中正段,6.72,都市：商
RPPRMLTLNHNFFCB98CC,中正段,9.49,都市：商
RPQRMLTLNHNFFCB09CC,中和段,11.93,都市：住
RPTNMLTLNHNFFBB88CC,青雲段,430.00,都市：商
RPQQMLTLNHNFFBB88CC,賴厝段,4.26,都市：商
RPQQMLTLNHNFFBB88CC,邱厝子段,3.42,都市：商
RPWPMLTLNHNFFBB76CC,東新段,4.17,都市：住
RPRQMLTLNHNFFBB98CC,賴厝段,.14,都市：商
RPRQMLTLNHNFFBB98CC,邱厝子段,.11,都市：商
RPWQMLTLNHNFFBB86CC,賴厝段,2.97,都市：商
RPWQMLTLNHNFFBB86CC,邱厝子段,2.39,都市：商
RPSQMLTLNHNFFBB09CC,賴厝段,4.19,都市：商
RPSQMLTLNHNFFBB09CC,邱厝子段,3.36,都市：商
RPTQMLTLNHNFFBB56CC,賴厝段,.14,都市：商
RPTQMLTLNHNFFBB56CC,邱厝子段,.11,都市：商
RPUQMLTLNHNFFBB66CC,賴厝段,3.38,都市：商
RPUQMLTLNHNFFBB66CC,邱厝子段,2.71,都市：商
RPWOMLKMNHNFFIB56CC,內新段,.00,都市：商
RPORMLTLNHNFFBB78CC,東峰段,11.13,都市：商
RPPOMLKMNHNFFDB97CC,豐年段,255.00,都市：工
RPPQMLTLNHNFFAB68CC,下橋子頭段,21.54,都市：住
RPOQMLTLNHNFFAB58CC,後子段,36.87,都市：住
RPOQMLTLNHNFFAB58CC,後子段,36.87,都市：住
RPVNMLKMNHNFFHB88CC,甘潭段,14.51,都市：住
RPUPMLTLNHNFFDB76CC,南田段,148.76,都市：工
RPSOMLKMNHNFFBB08CC,軍福段,.00,都市：商
RPPRMLKMNHNFFBB08CC,東峰段,9.15,都市：商
RPURMLKMNHNFFBB58CC,賴厝段,.28,都市：商
RPURMLKMNHNFFBB58CC,邱厝子段,.22,都市：商
RPRRMLKMNHNFFBB28CC,東峰段,6.34,都市：商
RPOSMLKMNHNFFBB08CC,賴厝段,4.81,都市：商
RPOSMLKMNHNFFBB08CC,邱厝子段,3.86,都市：商
RPVOMLKMNHNFFCB48CC,大明段,93.99,都市：商
RPXRMLKMNHNFFBB88CC,賴厝段,3.23,都市：商
RPXRMLKMNHNFFBB88CC,邱厝子段,2.59,都市：商
RPWOMLKMNHNFFCB58CC,何厝段,112.00,都市：住
RPWOMLKMNHNFFCB58CC,何厝段,94.00,都市：住
RPWOMLKMNHNFFCB58CC,何厝段,94.00,都市：住
RPTPMLKMNHNFFCB38CC,中正段,6.28,都市：商
RPVPMLLMNHNFFCB68CC,福安段,.00,非都市： ; 非都市編定：
RPVPMLKMNHNFFCB58CC,中正段,6.24,都市：商
RPWPMLLMNHNFFCB78CC,國安段,17.63,都市：住
RPWNMLLMNHNFFBB48CC,東信段,7.99,都市：住
RPPOMLLMNHNFFBB87CC,北屯段,.00,非都市： ; 非都市編定：
RPPOMLLMNHNFFBB87CC,東光段,.00,非都市： ; 非都市編定：
RPTNMLLMNHNFFBB18CC,陳平段,11.50,都市：住
RPUPMLLMNHNFFBB48CC,北屯段,.00,非都市： ; 非都市編定：
RPUPMLLMNHNFFBB48CC,東光段,.00,非都市： ; 非都市編定：
RPVOMLLMNHNFFAB38CC,樹子腳段,.00,非都市： ; 非都市編定：
RPQNMLKMNHNFFKB68CC,遊園段,54.11,非都市：鄉村區 ; 非都市編定：特定目的事業用地
RPRNMLKMNHNFFKB78CC,新東段,73.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
