編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPVNMLLLNHNFFHB88CC,坡道機械,1500,9.09
RPPPMLMLNHNFFCB08CC,坡道平面,0,
RPOQMLMLNHNFFCB08CC,坡道機械,0,
RPOQMLMLNHNFFCB08CC,坡道機械,0,
RPRNMLMLNHNFFBB97CC,坡道機械,0,9.32
RPUOMLNLNHNFFBB48CC,坡道平面,0,25.81
RPPOMLNLNHNFFBB97CC,坡道機械,0,
RPQNMLNLNHNFFCB08CC,坡道機械,0,13.25
RPPOMLNLNHNFFCB08CC,坡道平面,0,
RPPOMLNLNHNFFCB08CC,坡道機械,0,
RPPQMLNLNHNFFCB28CC,坡道平面,0,28.80
RPPQMLNLNHNFFCB28CC,坡道平面,0,28.80
RPOSMLNLNHNFFCB38CC,坡道平面,0,
RPOSMLNLNHNFFCB38CC,坡道平面,0,
RPOSMLNLNHNFFCB38CC,坡道平面,0,
RPUPMLNLNHNFFCB68CC,坡道平面,0,33.09
RPUPMLNLNHNFFCB68CC,坡道平面,0,33.09
RPOQMLNLNHNFFCB18CC,坡道機械,0,13.92
RPWRMLNLNHNFFCB09CC,坡道平面,0,
RPWRMLNLNHNFFCB09CC,坡道平面,0,
RPWNMLNLNHNFFAB48CC,坡道機械,0,
RPQNMLNLNHNFFFB38CC,坡道平面,0,
RPSOMLOLNHNFFAB28CC,坡道平面,0,
RPSOMLOLNHNFFAB28CC,坡道平面,0,
RPUOMLOLNHNFFCB68CC,坡道平面,0,
RPUOMLOLNHNFFCB68CC,坡道平面,0,
RPWOMLPLNHNFFCB98CC,坡道機械,0,
RPVOMLPLNHNFFCB88CC,坡道平面,0,
RPVOMLPLNHNFFCB88CC,坡道機械,0,
RPOPMLPLNHNFFCB28CC,坡道平面,2800,15.00
RPXQMLPLNHNFFCB66CC,坡道平面,0,29.45
RPXQMLPLNHNFFCB66CC,坡道平面,0,29.45
RPTPMLPLNHNFFCB78CC,坡道平面,0,
RPTPMLPLNHNFFCB78CC,坡道機械,0,
RPPPMLPLNHNFFAB18CC,坡道平面,0,
RPVOMLPLNHNFFAB68CC,坡道機械,0,
RPVOMLPLNHNFFAB68CC,坡道機械,0,
RPOOMLSLNHNFFAB28CC,坡道機械,0,
RPWQMLTLNHNFFCB96CC,坡道平面,0,
RPPRMLTLNHNFFCB98CC,坡道平面,0,
RPQRMLTLNHNFFCB09CC,坡道機械,0,
RPRQMLTLNHNFFBB98CC,坡道機械,2000,15.94
RPTQMLTLNHNFFBB56CC,坡道機械,1800,15.94
RPXQMLTLNHNFFBB96CC,坡道平面,3500,27.23
RPPQMLTLNHNFFAB68CC,坡道平面,0,39.17
RPVNMLKMNHNFFHB88CC,坡道機械,0,
RPSOMLKMNHNFFBB08CC,坡道平面,0,30.97
RPQRMLKMNHNFFBB18CC,坡道平面,3500,27.23
RPURMLKMNHNFFBB58CC,坡道平面,3500,31.88
RPPSMLKMNHNFFBB18CC,坡道平面,3500,27.23
RPUPMLKMNHNFFCB48CC,坡道機械,1000,18.99
RPWPMLLMNHNFFCB78CC,坡道平面,0,23.17
RPWNMLLMNHNFFBB48CC,坡道平面,0,
