鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中正區,房地(土地+建物)+車位,基隆市中正區新豐街161巷91~120號,36.41,住,,,1070508,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051007,162.83,3,2,2,有,有,7750000,49433,坡道平面,24.26,900000,,RPSNMLMLNHNFFBC97CA
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,1070503,土地0建物0車位1,,,其他,,,,45.95,0,0,0,有,有,575000,,坡道平面,45.95,575000,,RPUNMLMLNHNFFBC18CA
中正區,房地(土地+建物),基隆市中正區祥豐街721~750號,29.38,住,,,1070414,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660808,76.24,3,2,1,有,無,3050000,40005,,0.0,0,含增建或未登記建物。,RPWNMLMLNHNFFBC38CA
中正區,房地(土地+建物),基隆市中正區祥豐街91~120號,27.33,住,,,1070514,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0630613,51.11,2,1,1,有,無,800000,15653,,0.0,0,"本買賣標的係屬老舊公寓,頂樓有增建屋況不佳,買賣雙方應繳相關稅費均由買方負擔.",RPRNMLNLNHNFFBC97CA
中正區,房地(土地+建物),基隆市中正區中正路361~390號,24.64,其他,,,1070429,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740830,108.63000000000001,3,2,2,有,有,2800000,25776,,0.0,0,,RPXNMLOLNHNFFBC68CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路38巷1~30號,29.58,住,,,1070422,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,116.47999999999999,3,1,1,有,有,6300000,54087,坡道平面,21.86,0,,RPQNMLQLNHNFFBC18CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街481~510號,24.79,其他,,,1070421,土地3建物1車位1,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,152.83,3,2,2,有,無,6500000,42531,坡道平面,34.17,0,,RPRNMLRLNHNFFBC38CA
仁愛區,房地(土地+建物),基隆市仁愛區仁五路1~30號,3.11,商,,,1070523,土地2建物1車位0,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700518,39.02,1,0,1,有,有,3000000,76884,,0.0,0,,RPPNMLSLNHNFFBC28CA
信義區,土地,東信段三小段31~60地號,34.5,其他,,,1070508,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,18841,,0.0,0,含未登記建物。,RPTOMLSLNHNFFBC78CA
中正區,房地(土地+建物),基隆市中正區新豐街333巷31~60號,11.95,住,,,1070426,土地1建物1車位0,七層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841122,56.449999999999996,1,1,1,有,有,1950000,34544,,0.0,0,,RPVNMLTLNHNFFBC98CA
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷48弄1~30號,19.06,住,,,1070420,土地1建物1車位0,三層，夾層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,70.18,3,2,2,有,有,1850000,26361,,0.0,0,,RPRNMLOJOHNFFBC97CA
信義區,房地(土地+建物),基隆市信義區正信路61~90號,33.11,住,,,1070430,土地1建物1車位0,一層，地下層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791029,158.9,4,2,2,有,無,6800000,42794,,0.0,0,,RPOOMLNKOHNFFBC77CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路38巷1~30號,37.96,住,,,1060524,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,145.05,3,2,2,有,有,8500000,58600,坡道平面,21.86,0,本案為預售。,RPRNMLQKOHNFFBC28CA
安樂區,房地(土地+建物),基隆市安樂區中平街91~120號,29.83,住,,,1070415,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680911,71.59,3,2,1,有,無,1900000,26540,,0.0,0,,RPSOMLNLNHNFFCC28CA
暖暖區,房地(土地+建物),基隆市暖暖區源遠路188巷1~30號,41.85,住,,,1070321,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840118,91.84,3,2,2,有,無,3750000,40832,,0.0,0,,RPTOMLNLNHNFFCC38CA
