編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLTLNHNFFBC98CA,22,48.12,住家用,鋼筋混凝土造,84年11月22日,九層,七層
RPVNMLTLNHNFFBC98CA,22,8.33,共用部份,鋼筋混凝土造,84年11月22日,九層,
RPUNMLMLNHNFFBC18CA,19,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLMLNHNFFBC97CA,2,103.09,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,三層
RPSNMLMLNHNFFBC97CA,2,59.74,見其他登記事項,鋼筋混凝土造,105年10月7日,七層,
RPQNMLQLNHNFFBC18CA,,62.73,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,十層
RPQNMLQLNHNFFBC18CA,,53.75,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPWNMLMLNHNFFBC38CA,41,76.24,住家用,鋼筋混凝土加強磚造,66年8月8日,四層,二層
RPRNMLOJOHNFFBC97CA,23,64.42,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,三層 夾層
RPRNMLOJOHNFFBC97CA,23,4.82,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPRNMLOJOHNFFBC97CA,23,.95,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPOOMLNKOHNFFBC77CA,28,146.60,住家用,鋼筋混凝土造,79年10月29日,七層,一層 地下層
RPOOMLNKOHNFFBC77CA,28,12.30,共用部份,鋼筋混凝土造,79年10月29日,七層,
RPRNMLNLNHNFFBC97CA,44,51.11,住家用,加強磚造,63年6月13日,三層,三層
RPSOMLNLNHNFFCC28CA,39,71.59,住家用,鋼筋混凝土造,68年9月11日,四層,四層
RPWOMLNLNHNFFCC68CA,2,64.14,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,六層
RPWOMLNLNHNFFCC68CA,2,69.34,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,
RPVOMLNLNHNFFCC58CA,5,52.97,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,十二層
RPVOMLNLNHNFFCC58CA,5,22.36,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPVOMLNLNHNFFCC58CA,5,18.49,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPVOMLNLNHNFFCC58CA,5,.04,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,
RPTOMLNLNHNFFCC38CA,23,89.17,住家用,鋼筋混凝土造,84年1月18日,五層,一層
RPTOMLNLNHNFFCC38CA,23,2.67,共用部份,鋼筋混凝土造,84年1月18日,五層,
RPRNMLQKOHNFFBC28CA,,81.78,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,五層
RPRNMLQKOHNFFBC28CA,,63.27,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPRNMLRLNHNFFBC38CA,20,95.43,住家用,鋼筋混凝土造,86年11月21日,十七層,十四層
RPRNMLRLNHNFFBC38CA,20,14.66,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPRNMLRLNHNFFBC38CA,20,8.58,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLRLNHNFFBC38CA,20,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPPOMLOLNHNFFCC08CA,23,92.86,住家用,鋼筋混凝土造,84年7月1日,十二層,十二層
RPPOMLOLNHNFFCC08CA,23,7.27,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPPOMLOLNHNFFCC08CA,23,11.78,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPPNMLSLNHNFFBC28CA,37,33.60,住家用,鋼筋混凝土造,70年5月18日,十二層,十層
RPPNMLSLNHNFFBC28CA,37,5.42,共用部份,鋼筋混凝土造,70年5月18日,十二層,
RPUNMLSLNHNFFCC88CA,37,132.08,住家用,鋼筋混凝土造,70年4月20日,四層,二層
RPXNMLOLNHNFFBC68CA,33,101.51,住家用,鋼筋混凝土造,74年8月30日,五層,四層
