編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPVNMLTLNHNFFBC98CA,調和段,11.95,都市：住
RPSNMLMLNHNFFBC97CA,長潭段,36.41,都市：住
RPQNMLQLNHNFFBC18CA,深澳段,29.58,都市：住
RPWNMLMLNHNFFBC38CA,港濱段,29.38,都市：住
RPRNMLOJOHNFFBC97CA,培德段,19.06,都市：住
RPOOMLNKOHNFFBC77CA,福祿段,33.11,都市：住
RPRNMLNLNHNFFBC97CA,祥豐段,27.33,都市：住
RPSOMLNLNHNFFCC28CA,保定段,16.92,都市：住
RPSOMLNLNHNFFCC28CA,保定段,.19,都市：其他
RPSOMLNLNHNFFCC28CA,保定段,.23,都市：其他
RPSOMLNLNHNFFCC28CA,保定段,12.48,都市：住
RPSOMLNLNHNFFCC28CA,保定段,.01,都市：其他
RPWOMLNLNHNFFCC68CA,源遠段,19.15,都市：住
RPVOMLNLNHNFFCC58CA,源遠段,14.37,都市：住
RPTOMLNLNHNFFCC38CA,源遠段,16.39,都市：住
RPTOMLNLNHNFFCC38CA,源遠段,6.42,都市：住
RPTOMLNLNHNFFCC38CA,源遠段,19.04,都市：住
RPRNMLQKOHNFFBC28CA,深澳段,37.96,都市：住
RPRNMLRLNHNFFBC38CA,調和段,24.77,都市：其他
RPRNMLRLNHNFFBC38CA,調和段,.01,都市：其他
RPRNMLRLNHNFFBC38CA,調和段,.01,都市：住
RPPOMLOLNHNFFCC08CA,大武崙段內寮小段,18.36,都市：其他
RPPOMLOLNHNFFCC08CA,大武崙段內寮小段,1.64,都市：住
RPTOMLSLNHNFFBC78CA,東信段三小段,6.50,都市：住
RPTOMLSLNHNFFBC78CA,東信段三小段,18.50,都市：其他
RPTOMLSLNHNFFBC78CA,東信段三小段,3.00,都市：住
RPTOMLSLNHNFFBC78CA,東信段三小段,2.00,都市：住
RPTOMLSLNHNFFBC78CA,東信段三小段,4.00,都市：其他
RPTOMLSLNHNFFBC78CA,東信段三小段,.50,都市：住
RPPNMLSLNHNFFBC28CA,復興段三小段,2.20,都市：商
RPPNMLSLNHNFFBC28CA,復興段三小段,.91,都市：商
RPUNMLSLNHNFFCC88CA,保定段,24.03,都市：住
RPUNMLSLNHNFFCC88CA,保定段,1.47,都市：其他
RPUNMLSLNHNFFCC88CA,保定段,38.18,都市：其他
RPUNMLSLNHNFFCC88CA,保定段,1.57,都市：其他
RPUNMLSLNHNFFCC88CA,保定段,.02,都市：其他
RPUNMLSLNHNFFCC88CA,保定段,3.29,都市：其他
RPXNMLOLNHNFFBC68CA,港濱段,22.26,都市：其他
