編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPUNMLMLNHNFFBC18CA,坡道平面,575000,45.95
RPSNMLMLNHNFFBC97CA,坡道平面,900000,24.26
RPQNMLQLNHNFFBC18CA,坡道平面,0,21.86
RPWOMLNLNHNFFCC68CA,坡道平面,0,36.40
RPVOMLNLNHNFFCC58CA,坡道機械,0,18.47
RPRNMLQKOHNFFBC28CA,坡道平面,0,21.86
RPRNMLRLNHNFFBC38CA,坡道平面,0,34.17
RPROMLNLNHNFFCC18CA,坡道平面,0,28.14
RPPOMLPLNHNFFCC18CA,坡道平面,1550000,15.87
RPORMLLKOHNFFBC87CA,坡道平面,1200000,35.96
RPXQMLLKOHNFFBC68CA,坡道平面,1050000,35.96
RPWQMLLKOHNFFBC58CA,坡道平面,1200000,35.96
RPUOMLOKOHNFFBC48CA,坡道平面,0,
RPPRMLLKOHNFFBC97CA,坡道平面,950000,31.21
RPQRMLLKOHNFFBC08CA,坡道平面,950000,31.21
RPRNMLTLNHNFFCC68CA,坡道平面,0,
RPQNMLSLNHNFFCC48CA,坡道平面,0,
RPVNMLLJOHNFFCC18CA,升降機械,0,
RPRNMLPJOHNFFCC18CA,坡道平面,0,
RPSOMLTLNHNFFCC88CA,升降平面,1000000,35.21
RPPNMLQLNHNFFCC18CA,坡道平面,1100000,30.01
RPSNMLRLNHNFFBC48CA,坡道平面,0,39.33
RPSPMLOJOHNFFCC38CA,坡道平面,0,
RPRNMLQJOHNFFCC28CA,坡道平面,1300000,15.87
RPPNMLQJOHNFFCC08CA,坡道平面,1500000,15.87
RPQNMLQJOHNFFCC18CA,坡道平面,1200000,15.87
RPQNMLQJOHNFFCC18CA,坡道平面,1200000,15.87
RPQNMLQJOHNFFCC18CA,坡道平面,1200000,15.87
RPSRMLLKOHNFFBC38DA,坡道平面,0,
RPQNMLSJOHNFFCC38CA,坡道平面,0,31.55
RPPOMLKLOHNFFCC77CA,坡道平面,0,
RPSNMLQJOHNFFCC38CA,坡道平面,1250000,13.47
RPVNMLQJOHNFFCC68CA,坡道平面,0,32.87
RPVNMLQJOHNFFCC68CA,坡道平面,0,32.87
RPUNMLLJOHNFFCC08CA,坡道平面,1300000,42.95
RPWNMLTLNHNFFCC56CA,坡道平面,1000000,36.40
RPQOMLTLNHNFFCC68CA,坡道平面,0,
RPPOMLQKOHNFFBC18CA,坡道平面,1000000,24.17
RPXNMLQKOHNFFBC88CA,坡道平面,1000000,24.17
RPRNMLKMNHNFFBC77CA,坡道平面,780000,34.17
RPOOMLTLNHNFFBC38CA,坡道平面,600000,41.61
RPQNMLKMNHNFFBC67CA,坡道平面,0,41.38
RPXNMLKMNHNFFBC38CA,坡道平面,0,
RPRNMLLJOHNFFBC67CA,坡道平面,0,
RPOOMLKMNHNFFCC67CA,坡道平面,0,
RPQNMLKMNHNFFCC97EA,坡道平面,1100000,33.28
RPRNMLLMNHNFFCC97CA,坡道平面,0,
RPOOMLRJOHNFFCC18CA,坡道平面,0,
RPPNMLRJOHNFFCC38EA,坡道平面,0,
RPPNMLTJOHNFFCC38CA,坡道平面,0,
RPPOMLPJOHNFFCC08CA,坡道平面,0,
RPPNMLMLOHNFFCC87CA,坡道平面,1100000,30.04
RPQNMLMLOHNFFCC97CA,坡道平面,1100000,30.04
RPTNMLRLOHNFFBC68CA,坡道平面,0,
RPQNMLOJOHNFFCC97CA,坡道平面,0,
RPSNMLLJOHNFFCC87CA,坡道平面,0,
RPPNMLLJOHNFFBC47CA,坡道平面,0,36.53
RPUNMLLMNHNFFBC18CA,坡道平面,0,
RPXNMLLMNHNFFBC48CA,坡道平面,0,
RPSNMLQJOHNFFBC28CA,坡道平面,0,
RPTNMLSJOHNFFCC88EA,坡道平面,750000,27.00
RPVOMLOJOHNFFCC58CA,坡道平面,0,15.87
RPTNMLLKOHNFFCC28EA,坡道平面,200000,8.98
RPSOMLQJOHNFFCC48CA,坡道平面,0,
RPWNMLQKOHNFFCC88CA,坡道平面,0,
