鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中西區,房地(土地+建物),臺南市中西區中正路61~90號,180.37,商,,,1070503,土地2建物1車位0,全,三層,透天厝,商業用,見其他登記事項,0220101,424.24,4,1,2,有,無,38192000,90025,,0.0,0,,RPWNMLLLNHNFFAD28CA
北區,土地,富台段211~240地號,31.0,住,,,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,58065,,0.0,0,,RPSOMLLLNHNFFAD97CA
北區,房地(土地+建物)+車位,臺南市北區北園街8巷1~30號,10.98,商,,,1070401,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961227,140.47,2,2,2,有,有,6000000,42714,坡道機械,0.0,0,,RPVNMLNLNHNFFAD38CA
北區,房地(土地+建物),臺南市北區公園南路361~390號,7.98,住,,,1070426,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,71.93,2,1,1,有,無,4200000,58390,,0.0,0,,RPWNMLNLNHNFFAD48CA
北區,房地(土地+建物)+車位,臺南市北區大興街233巷31~60號,50.45,商,,,1070313,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000415,432.20000000000005,4,2,3,有,有,26200000,60619,坡道平面,0.0,0,,RPPNMLOLNHNFFAD87CA
中西區,房地(土地+建物),臺南市中西區臨安路一段212巷1~30號,88.0,住,,,1070508,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0680201,226.73,3,2,3,有,無,6860000,30256,,0.0,0,,RPSNMLOLNHNFFAD18CA
北區,房地(土地+建物),臺南市北區北忠街16巷33弄1~30號,126.0,商,,,1070411,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631120,126.98,7,2,6,有,無,13500000,106316,,0.0,0,附傢俱,RPROMLNLNHNFFAD08CA
中西區,房地(土地+建物),臺南市中西區開山路151~180號,16.97,住,,,1070416,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850325,89.35,2,2,2,有,有,3500000,39172,,0.0,0,,RPOOMLSLNHNFFAD28CA
中西區,房地(土地+建物)+車位,臺南市中西區開山路151~180號,18.25,住,,,1070416,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850325,109.74,2,2,1,有,有,4300000,39184,升降機械,0.0,0,,RPPOMLSLNHNFFAD38CA
