編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOLNHNFFAD87CA,7,.40,見其他登記事項,見其他登記事項,100年4月15日,十四層,
RPPNMLOLNHNFFAD87CA,7,.48,見其他登記事項,見其他登記事項,100年4月15日,十四層,
RPPNMLOLNHNFFAD87CA,7,124.87,見其他登記事項,見其他登記事項,100年4月15日,十四層,
RPPNMLOLNHNFFAD87CA,7,277.03,見其他登記事項,見其他登記事項,100年4月15日,十四層,五層
RPPNMLOLNHNFFAD87CA,7,29.42,見其他登記事項,見其他登記事項,100年4月15日,十四層,
RPWNMLLLNHNFFAD28CA,85,424.24,商業用,見其他登記事項,22年1月1日,三層,一層 二層 三層 騎樓
RPVNMLNLNHNFFAD38CA,10,87.04,見其他登記事項,鋼筋混凝土造,96年12月27日,十九層,十三層
RPVNMLNLNHNFFAD38CA,10,53.43,共有部分,鋼筋混凝土造,96年12月27日,十九層,
RPWNMLNLNHNFFAD48CA,11,53.43,見其他登記事項,見其他登記事項,96年8月24日,十四層,五層
RPWNMLNLNHNFFAD48CA,11,7.21,共有部分,見其他登記事項,96年8月24日,十四層,
RPWNMLNLNHNFFAD48CA,11,11.29,共有部分,見其他登記事項,96年8月24日,十四層,
RPROMLNLNHNFFAD08CA,43,126.98,住家用,加強磚造,63年11月20日,二層,一層 二層 屋頂突出物
RPPOMLSLNHNFFAD38CA,22,76.46,住家用,鋼筋混凝土造,85年3月25日,七層,四層
RPPOMLSLNHNFFAD38CA,22,33.28,共有部分,鋼筋混凝土造,85年3月25日,七層,
RPOOMLSLNHNFFAD28CA,22,67.49,住家用,鋼筋混凝土造,85年3月25日,七層,四層
RPOOMLSLNHNFFAD28CA,22,21.86,共有部分,鋼筋混凝土造,85年3月25日,七層,
RPQNMLLMNHNFFAD77CA,27,17.81,住家用,鋼筋混凝土造,80年9月3日,六層,四層
RPQNMLLMNHNFFAD77CA,27,7.42,共有部分,鋼筋混凝土造,80年9月3日,六層,
RPPNMLNJOHNFFAD67CA,27,578.02,商業用,鋼筋混凝土造,80年2月25日,十二層,八層 騎樓
RPPNMLNJOHNFFAD67CA,27,68.59,共有部分,鋼筋混凝土造,80年2月25日,十二層,
RPROMLSLNHNFFAD58CA,23,160.42,住家用,鋼筋混凝土造,84年3月25日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLOLNHNFFAD18CA,39,226.73,住家用,鋼筋混凝土造,68年2月1日,四層,一層 二層 三層 四層 地下層
RPSOMLPJOHNFFAD28CA,23,78.86,住家用,鋼筋混凝土造,83年11月8日,十二層,九層
RPSOMLPJOHNFFAD28CA,23,12.57,共有部分,鋼筋混凝土造,83年11月8日,十二層,
RPSOMLPJOHNFFAD28CA,23,10.25,共有部分,鋼筋混凝土造,83年11月8日,十二層,
RPOPMLPKOHNFFAD08CA,17,60.44,見其他登記事項,鋼筋混凝土造,89年8月22日,十四層,五層
RPOPMLPKOHNFFAD08CA,17,17.40,共有部分,鋼筋混凝土造,89年8月22日,十四層,
RPPNMLMLNHNFFBD77CA,,183.01,住家用,鋼筋混凝土造,106年12月28日,三層,一層 二層 三層 屋頂突出物
RPWNMLMLNHNFFBD48CA,1,159.17,見其他登記事項,鋼筋混凝土造,106年7月28日,四層,一層 二層 三層 四層
RPRNMLLMNHNFFAD87CA,14,94.94,見其他登記事項,鋼筋混凝土造,93年5月21日,十一層,三層
RPRNMLLMNHNFFAD87CA,14,48.26,共有部分,鋼筋混凝土造,93年5月21日,十一層,
RPXNMLOJOHNFFBD68CA,1,196.28,見其他登記事項,鋼筋混凝土造,106年2月16日,四層,一層 二層 三層 四層
RPRNMLOLNHNFFBD18CA,24,206.01,住商用,鋼筋混凝土造,83年6月9日,三層,一層 二層 三層 屋頂突出物 騎樓
RPXOMLOKOHNFFBD88CA,,59.97,見其他登記事項,鋼筋混凝土造,107年1月25日,九層,六層
