編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLOLNHNFFAD87CA,大豐段,50.38,都市：商
RPPNMLOLNHNFFAD87CA,大豐段,.07,都市：商
RPSOMLLLNHNFFAD97CA,富台段,31.00,都市：住
RPWNMLLLNHNFFAD28CA,檨仔林段,28.10,都市：商
RPWNMLLLNHNFFAD28CA,檨仔林段,152.27,都市：商
RPVNMLNLNHNFFAD38CA,開元段,10.98,都市：商
RPWNMLNLNHNFFAD48CA,立人段,7.98,都市：住
RPROMLNLNHNFFAD08CA,公園段,126.00,都市：商
RPPOMLSLNHNFFAD38CA,郡王祠段,1.38,都市：住
RPPOMLSLNHNFFAD38CA,郡王祠段,16.86,都市：住
RPOOMLSLNHNFFAD28CA,郡王祠段,1.29,都市：住
RPOOMLSLNHNFFAD28CA,郡王祠段,15.69,都市：住
RPQNMLLMNHNFFAD77CA,五條港段,4.62,都市：商
RPPNMLNJOHNFFAD67CA,普濟段,57.42,都市：商
RPROMLSLNHNFFAD58CA,大港段,61.67,都市：住
RPQOMLMLNHNFFBD97CA,四草段,908.69,都市：其他
RPQOMLMLNHNFFBD97CA,四草段,1159.15,都市：其他
RPQOMLMLNHNFFBD97CA,四草段,834.65,都市：其他
RPSNMLOLNHNFFAD18CA,協進段,88.00,都市：住
RPWNMLSJOHNFFAD88CA,富台段,12.00,都市：其他
RPPOMLSJOHNFFAD28CA,富台段,45.43,都市：其他
RPSOMLSJOHNFFAD58CA,富台段,58.00,都市：其他
RPOOMLTLNHNFFBD48CA,佃西段,143.93,都市：住
RPSOMLPJOHNFFAD28CA,武聖段,13.92,都市：其他
RPOPMLPKOHNFFAD08CA,金華段,14.66,都市：住
RPQNMLLMNHNFFBD87CA,佃南段,1481.86,都市：農
RPPNMLMLNHNFFBD77CA,州南段,84.10,都市：住
RPWNMLMLNHNFFBD48CA,本淵段,64.64,都市：住
RPRNMLLMNHNFFAD87CA,延平段,31.08,都市：住
RPXNMLOJOHNFFBD68CA,公學段,88.07,都市：住
RPRNMLOLNHNFFBD18CA,海東段,98.32,都市：住
RPXOMLOKOHNFFBD88CA,新順段,13.11,都市：住
RPTNMLKLOHNFFBD08CA,幸福段,15.96,都市：其他
RPTNMLKLOHNFFBD08CA,幸福段,3.38,都市：其他
