編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPNMLOLNHNFFAD87CA,坡道平面,0,
RPPNMLOLNHNFFAD87CA,坡道平面,0,
RPVNMLNLNHNFFAD38CA,坡道機械,0,
RPPOMLSLNHNFFAD38CA,升降機械,0,
RPPPMLOKOHNFFBD18CA,升降平面,700000,29.26
RPOPMLOKOHNFFBD08CA,升降平面,720000,29.26
RPOOMLNLNHNFFCD97CA,坡道平面,0,
RPOOMLNLNHNFFCD97CA,坡道平面,0,
RPVNMLSJOHNFFCD98CA,坡道平面,630000,29.01
RPWNMLSJOHNFFCD09CA,坡道平面,680000,29.01
RPXNMLSJOHNFFCD56CA,坡道平面,680000,29.01
RPOOMLSJOHNFFCD38CA,坡道平面,680000,29.01
RPPOMLSJOHNFFCD48CA,坡道平面,680000,29.01
RPTOMLSJOHNFFCD88CA,坡道平面,680000,29.01
RPWOMLSJOHNFFCD56CA,坡道平面,680000,29.01
RPUOMLSJOHNFFCD98CA,坡道平面,630000,29.01
RPVOMLSJOHNFFCD09CA,坡道平面,680000,29.01
RPXNMLLMNHNFFCD68CA,坡道平面,0,
RPXNMLLMNHNFFCD68CA,坡道平面,0,
RPSQMLSJOHNFFCD98CA,坡道平面,680000,29.01
RPTNMLLKOHNFFCD18CA,坡道平面,680000,29.01
SPXNMLLKOHNFFCD68CA,坡道平面,680000,29.01
RPXNMLLKOHNFFCD58CA,坡道平面,630000,29.01
TPXNMLLKOHNFFCD78CA,坡道平面,680000,29.01
RPSNMLMKOHNFFCD18CA,一樓平面,1200000,16.50
RPRPMLMKOHNFFCD28CA,一樓平面,1000000,8.25
RPROMLMKOHNFFCD18CA,一樓平面,1000000,8.25
RPPNMLPKOHNFFCD18CA,塔式車位,0,
RPQNMLPKOHNFFCD28CA,一樓平面,0,
RPQPMLMKOHNFFCD18CA,一樓平面,1200000,16.50
RPROMLPKOHNFFCD48CA,一樓平面,1200000,23.22
RPOOMLPKOHNFFCD18CA,一樓平面,1000000,8.25
RPXNMLPKOHNFFCD98CA,一樓平面,1200000,16.50
RPPOMLPKOHNFFCD28CA,一樓平面,1200000,16.50
RPTNMLKLOHNFFCD18CA,坡道機械,0,9.82
RPWNMLOLNHNFFHD66CA,坡道平面,0,
RPUNMLMLNHNFFHD88CA,一樓平面,0,
RPUNMLMLNHNFFHD88CA,一樓平面,0,
RPVNMLPLNHNFFID76CA,一樓平面,0,
RPVOMLSJOHNFFHD96CA,坡道平面,0,
RPSOMLOKOHNFFID09CA,一樓平面,800000,
RPPOMLOKOHNFFID78CA,一樓平面,850000,
RPROMLOKOHNFFID98CA,一樓平面,850000,
RPTOMLOKOHNFFID56CA,一樓平面,850000,
RPSPMLMKOHNFFKD56CA,坡道平面,850000,38.58
RPUNMLKKOHNFFKD98CA,坡道平面,780000,22.39
RPWOMLMKOHNFFKD86CA,坡道平面,1000000,38.58
RPPPMLMKOHNFFKD88CA,坡道平面,900000,38.58
RPXPMLMKOHNFFKD07CA,坡道平面,1000000,38.58
RPQOMLMLNHNFFKD88CA,坡道平面,0,
RPUNMLMLNHNFFKD56CA,坡道平面,900000,40.44
RPOPMLNKOHNFFKD88CA,坡道平面,800000,35.57
RPPPMLNKOHNFFKD98CA,坡道平面,850000,35.57
RPRPMLNKOHNFFKD56CA,坡道平面,850000,38.58
RPROMLOLNHNFFKD56CA,坡道平面,1000000,40.45
RPROMLOLNHNFFKD56CA,坡道平面,1000000,40.45
RPSPMLNKOHNFFKD66CA,坡道平面,900000,38.58
RPUPMLNKOHNFFKD86CA,坡道平面,950000,38.58
RPPQMLNKOHNFFKD09CA,坡道平面,900000,38.58
RPXPMLNKOHNFFKD17CA,坡道平面,900000,38.58
RPOQMLNKOHNFFKD98CA,坡道平面,850000,38.58
RPQQMLNKOHNFFKD56CA,坡道平面,850000,38.58
RPRQMLNKOHNFFKD66CA,坡道平面,1000000,38.58
RPRNMLOKOHNFFKD09CA,坡道平面,900000,38.58
RPWOMLOKOHNFFKD07CA,坡道平面,900000,38.58
RPQNMLNKOHNFFKD88CA,坡道平面,850000,38.58
RPSOMLNKOHNFFKD56CA,坡道平面,0,38.58
RPSOMLNKOHNFFKD56CA,坡道平面,0,38.58
RPROMLPKOHNFFKD66CA,坡道平面,850000,38.58
RPOOMLPKOHNFFKD98CA,坡道平面,1000000,38.58
RPXNMLPKOHNFFKD17CA,坡道平面,1000000,38.58
RPQOMLPKOHNFFKD56CA,坡道平面,900000,38.58
RPVNMLPKOHNFFKD96CA,坡道平面,950000,38.58
RPPNMLKLOHNFFKD58CA,坡道平面,0,38.58
RPPNMLKLOHNFFKD58CA,坡道平面,0,38.58
RPVPMLTKOHNFFCD86DA,坡道平面,0,
RPVNMLKKOHNFFKD09CA,坡道平面,780000,20.49
RPSNMLTKOHNFFKD07CA,坡道平面,0,22.39
RPRNMLPJPHNFFKD66DA,坡道平面,850000,38.58
RPTNMLPJPHNFFKD86DA,坡道平面,1000000,38.58
RPSOMLTKOHNFFHD96DA,坡道平面,0,
RPQQMLOLNHNFFKD66CA,坡道平面,0,
RPPQMLOLNHNFFKD56CA,坡道機械,0,
RPVOMLOLNHNFFKD96CA,坡道平面,800000,
RPPOMLPLNHNFFKD09CA,坡道機械,0,
RPWNMLSLNHNFFKD37CA,坡道平面,0,30.25
RPVPMLQJPHNFFKD37DA,坡道平面,0,38.58
RPSNMLNLNHNFFKD09CA,坡道平面,900000,40.44
RPTNMLNLNHNFFKD56CA,坡道平面,900000,40.44
RPQOMLSLNHNFFKD86CA,坡道平面,0,
RPVNMLNLNHNFFKD76CA,坡道平面,1000000,40.44
RPSNMLPKOHNFFCD48CA,一樓平面,0,
RPRNMLPKOHNFFCD38CA,一樓平面,0,
RPSPMLSJOHNFFCD88CA,坡道平面,630000,29.01
RPTPMLSJOHNFFCD98CA,坡道平面,680000,29.01
RPVPMLSJOHNFFCD56CA,坡道平面,680000,29.01
RPXPMLSJOHNFFCD76CA,坡道平面,680000,29.01
RPWPMLSJOHNFFCD66CA,坡道平面,680000,29.01
