鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
北區,房地(土地+建物),臺南市北區文成二路151~180號,34.06,住,,,1070519,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1001027,93.42,3,2,2,有,無,有,25000,268,,0.0,0,,RPUNMLLLNHNFFAD28CC
東區,房地(土地+建物),臺南市東區崇學路239巷1~30號,95.0,住,,,1070421,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土構造,0771027,148.93,5,3,3,有,無,有,20000,134,,0.0,0,,RPQOMLLLNHNFFCD18CC
安南區,房地(土地+建物),臺南市安南區國安街9巷1~30號,91.15,住,,,1070503,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0650111,102.65,4,2,2,有,無,有,13000,127,,0.0,0,,RPOOMLLLNHNFFBD87CC
永康區,建物,臺南市永康區大灣路942巷71弄31~60號,0.0,住,,,1070517,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830826,188.28,8,1,5,有,無,有,30000,159,,0.0,0,,RPPOMLLLNHNFFKD88CC
永康區,建物,臺南市永康區東橋七路181~210號,0.0,住,,,1070519,土地0建物1車位1,三層,16,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061114,148.60000000000002,3,2,2,有,有,無,15000,101,坡道平面,22.39,0,租金含管理費,RPROMLMLNHNFFKD56CC
中西區,房地(土地+建物),臺南市中西區慶中街61~90號,165.2,住,,,1070515,土地1建物1車位0,見其他登記事項,1,店面(店鋪),,木造,0230101,75.07,3,2,2,有,無,無,50000,666,,0.0,0,,RPSNMLMLNHNFFAD18CC
北區,房地(土地+建物),臺南市北區公園南路361~390號,3.98,住,,,1070516,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,26.61,1,0,1,有,有,有,9000,338,,0.0,0,,RPROMLMLNHNFFAD18CC
北區,房地(土地+建物),臺南市北區公園南路361~390號,16.67,住,,,1070520,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,109.43,3,2,2,有,有,有,23000,210,,0.0,0,,RPSOMLMLNHNFFAD28CC
北區,建物,臺南市北區北園街1~30號,0.0,商,,,1070504,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,118.07,3,2,2,有,有,有,12000,102,,0.0,0,,RPRNMLNLNHNFFAD18CC
中西區,房地(土地+建物),臺南市中西區康樂街151~180號,167.0,商,,,1070502,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0760407,260.98,3,1,0,有,無,有,35000,134,,0.0,0,,RPSOMLNLNHNFFAD38CC
仁德區,建物,臺南市仁德區太子路121~150號,0.0,住,,,1070522,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0790220,81.08,0,0,1,有,無,無,13000,160,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.此租賃物為透天分租物件,RPVNMLNLNHNFFID76CC
歸仁區,建物,臺南市歸仁區民生北街61~90號,0.0,,,,1070511,土地0建物1車位0,見其他登記事項,4,廠辦,工業用,鋼筋混凝土加強磚造,0800506,1564.84,0,0,6,有,無,無,150000,96,,0.0,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊,RPPOMLOLNHNFFID98CC
南區,建物,臺南市南區金華路一段140巷1~30號,0.0,,,,1070516,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0651030,33.06,1,0,1,有,無,有,5500,166,,0.0,0,,RPTOMLOLNHNFFCD78CC
南區,建物,臺南市南區鹽埕路291巷14弄31~60號,0.0,,,,1070518,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0700303,46.650000000000006,2,0,1,有,無,無,4000,86,,0.0,0,,RPWOMLOLNHNFFCD09CC
南區,建物,臺南市南區大同路二段136巷1~30號,0.0,,,,1070520,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0881021,140.16,2,1,1,有,有,有,16500,118,坡道平面,0.0,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊3.車位坪數含在公設內,RPPPMLOLNHNFFCD48CC
北區,建物,臺南市北區開元路511~540號,0.0,其他,,,1070511,土地0建物1車位0,三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,128.68,3,2,2,有,有,有,24000,187,,0.0,0,,RPOOMLOLNHNFFAD08CC
北區,建物,臺南市北區公園路391~420號,0.0,,,,1070509,土地0建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0980525,26.45,1,0,1,有,無,有,4600,174,,0.0,0,,RPUOMLOLNHNFFAD68CC
中西區,房地(土地+建物),臺南市中西區南門路1~30號,66.81,商,,,1070524,土地2建物1車位0,一層,4,店面(店鋪),住商用,加強磚造,0540101,65.03,0,0,0,無,無,無,10000,154,,0.0,0,,RPWOMLOLNHNFFAD88CC
北區,建物,臺南市北區公園路391~420號,0.0,,,,1070519,土地0建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0980525,33.06,1,0,1,有,無,有,8000,242,,0.0,0,,RPXOMLOLNHNFFAD98CC
中西區,建物,臺南市中西區民權路三段331~360號,0.0,,,,1070513,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801107,39.67,1,0,1,有,無,有,4500,113,,0.0,0,,RPOPMLOLNHNFFAD18CC
中西區,房地(土地+建物),臺南市中西區中正路181~210號,90.1,商,,,1070519,土地1建物1車位0,一層,4,店面(店鋪),住商用,加強磚造,,67.24,0,0,0,無,無,無,30000,446,,0.0,0,,RPTNMLPLNHNFFAD58CC
歸仁區,土地,媽祖廟段三小段1471~1500地號,0.0,,特定農業區,農牧用地,1070523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,0,,0.0,0,"1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租賃物含未保存登記的建物,台南市歸仁區大廟一街55之5號,承租樓層:鐵皮廠房整棟承租,占地約60坪",RPXNMLPLNHNFFID17CC
