編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLLNHNFFKD88CC,24,188.28,住家用,鋼筋混凝土造,83年8月26日,四層,
RPOOMLLLNHNFFBD87CC,42,102.65,住家用,加強磚造,65年1月11日,二層,
RPSOMLMLNHNFFAD28CC,11,109.43,見其他登記事項,見其他登記事項,96年8月24日,十四層,
RPSNMLMLNHNFFAD18CC,84,75.07,,木造,23年1月1日,一層,
RPQOMLLLNHNFFCD18CC,29,148.93,住家用,鋼筋混凝土構造,77年10月27日,二層,
RPROMLMLNHNFFAD18CC,11,26.61,見其他登記事項,見其他登記事項,96年8月24日,十四層,
RPSOMLNLNHNFFAD38CC,31,260.98,住商用,鋼筋混凝土造,76年4月7日,四層,
RPUNMLLLNHNFFAD28CC,7,93.42,見其他登記事項,見其他登記事項,100年10月27日,十四層,
RPRNMLNLNHNFFAD18CC,20,92.78,住家用,鋼筋混凝土造,87年4月20日,十四層,
RPRNMLNLNHNFFAD18CC,20,12.84,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPRNMLNLNHNFFAD18CC,20,12.45,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPROMLMLNHNFFKD56CC,1,83.70,住家用,見其他登記事項,106年11月14日,十六層,
RPROMLMLNHNFFKD56CC,1,64.90,見其他登記事項,見其他登記事項,106年11月14日,十六層,
RPTOMLOLNHNFFCD78CC,42,33.06,住家用,加強磚造,65年10月30日,二層,
RPVNMLNLNHNFFID76CC,28,81.08,住家用,鋼筋混凝土造,79年2月20日,五層,
RPPOMLOLNHNFFID98CC,40,347.61,工業用,鋼筋混凝土加強磚造,67年11月1日,一層,
RPPOMLOLNHNFFID98CC,27,610.43,工業用,鋼筋混凝土加強磚造,80年5月6日,二層,
RPPOMLOLNHNFFID98CC,27,606.80,見其他登記事項,鋼筋混凝土造,80年5月6日,四層,
RPWOMLOLNHNFFCD09CC,37,40.52,住家用,鋼筋混凝土構造,70年3月3日,五層,
RPWOMLOLNHNFFCD09CC,37,6.13,共有部分,鋼筋混凝土構造,70年3月3日,五層,
RPOOMLOLNHNFFAD08CC,3,90.10,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPOOMLOLNHNFFAD08CC,3,38.58,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPUOMLOLNHNFFAD68CC,9,26.45,見其他登記事項,鋼筋混凝土造,98年5月25日,五層,
RPPPMLOLNHNFFCD48CC,19,90.55,見其他登記事項,鋼筋混凝土構造,88年10月21日,十三層,
RPPPMLOLNHNFFCD48CC,19,18.56,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPPPMLOLNHNFFCD48CC,19,31.05,共有部分,鋼筋混凝土構造,88年10月21日,十三層,
RPXOMLOLNHNFFAD98CC,9,33.06,見其他登記事項,鋼筋混凝土造,98年5月25日,五層,
RPWOMLOLNHNFFAD88CC,53,65.03,住商用,加強磚造,54年1月1日,四層,
RPTNMLPLNHNFFAD58CC,,67.24,住商用,加強磚造,,四層,
RPQOMLPLNHNFFBD48CC,25,1535.04,見其他登記事項,見其他登記事項,82年1月20日,一層,
RPOOMLPLNHNFFHD88CC,23,161.77,住家用,鋼筋混凝土構造,84年6月8日,四層,
RPRNMLSLNHNFFAD68CC,33,124.62,住工用,見其他登記事項,74年1月9日,一層,
RPPOMLPLNHNFFHD98CC,21,194.70,住商用,鋼筋混凝土構造,86年11月5日,三層,
RPOPMLOLNHNFFAD18CC,27,39.67,住家用,鋼筋混凝土造,80年11月7日,五層,
RPXNMLSLNHNFFCD86CC,24,208.46,住家用,鋼筋混凝土構造,83年7月5日,三層,
RPXNMLSLNHNFFHD37CC,13,228.99,見其他登記事項,鋼筋混凝土構造,94年9月5日,三層,
RPPOMLSLNHNFFKD96CC,19,73.60,見使用執照,鋼筋混凝土造,88年4月26日,十二層,
RPVNMLTLNHNFFCD76CC,35,201.08,住家用,加強磚造,71年12月24日,二層,
RPSNMLTLNHNFFAD88CC,11,114.36,見其他登記事項,鋼筋混凝土造,96年8月15日,二十一層,
RPSNMLTLNHNFFAD88CC,11,20.12,見其他登記事項,鋼筋混凝土造,96年8月15日,二十一層,
RPSNMLTLNHNFFAD88CC,11,57.92,共有部分,鋼筋混凝土造,96年8月15日,二十一層,
RPSNMLTLNHNFFAD88CC,11,21.00,共有部分,鋼筋混凝土造,96年8月15日,二十一層,
RPXNMLKMNHNFFCD78CC,34,88.91,住家用,鋼筋混凝土構造,73年8月17日,七層,
RPXNMLKMNHNFFCD78CC,34,17.25,共有部分,鋼筋混凝土構造,73年8月17日,七層,
RPOOMLKMNHNFFCD97CC,34,146.16,住商用,鋼筋混凝土構造,73年3月26日,二層,
RPURMLKMNHNFFAD68CC,18,102.34,見其他登記事項,鋼筋混凝土造,89年4月6日,二十三層,
RPOOMLSLNHNFFCD68CC,14,86.05,住家用,見其他登記事項,93年7月12日,十四層,
RPTRMLKMNHNFFAD58CC,25,33.06,住商用,鋼筋混凝土造,82年5月12日,四層,
RPXPMLKMNHNFFAD78CC,36,49.58,住商用,鋼筋混凝土造,71年9月10日,八層,
RPXPMLKMNHNFFAD78CC,36,56.33,見其他登記事項,鋼筋混凝土造,71年9月10日,八層,
RPWNMLKMNHNFFKD86CC,19,89.86,住家用,鋼筋混凝土造,88年8月24日,十四層,
RPWNMLKMNHNFFKD86CC,19,2.27,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPWNMLKMNHNFFKD86CC,19,18.02,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPWNMLKMNHNFFKD86CC,19,4.15,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPROMLLMNHNFFID09DC,13,239.76,住商用,鋼筋混凝土造,94年7月27日,四層,
RPUNMLSLNHNFFGD07DC,27,49.00,住商用,鋼筋混凝土造,80年8月16日,三層,
