編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPOMLLLNHNFFKD88CC,崑山段,.00,都市：住
RPOOMLLLNHNFFBD87CC,幸福段,91.15,都市：住
RPSOMLMLNHNFFAD28CC,立人段,16.67,都市：住
RPSNMLMLNHNFFAD18CC,郡王祠段,165.20,都市：住
RPQOMLLLNHNFFCD18CC,竹篙厝段,95.00,都市：住
RPROMLMLNHNFFAD18CC,立人段,3.98,都市：住
RPSOMLNLNHNFFAD38CC,康樂段,167.00,都市：商
RPUNMLLLNHNFFAD28CC,北元段,34.06,都市：住
RPRNMLNLNHNFFAD18CC,開元段,.00,都市：住
RPRNMLNLNHNFFAD18CC,開元段,.00,都市：商
RPROMLMLNHNFFKD56CC,橋北段,.00,都市：住
RPTOMLOLNHNFFCD78CC,鹽埕段,.00,非都市： ; 非都市編定：
RPVNMLNLNHNFFID76CC,長興段,.00,都市：住
RPVNMLNLNHNFFID76CC,長興段,.00,都市：住
RPVNMLNLNHNFFID76CC,長興段,.00,都市：住
RPPOMLOLNHNFFID98CC,南興段,.00,非都市： ; 非都市編定：
RPWOMLOLNHNFFCD09CC,日新段,.00,非都市： ; 非都市編定：
RPOOMLOLNHNFFAD08CC,開元段,.00,都市：商
RPOOMLOLNHNFFAD08CC,開元段,.00,都市：住
RPOOMLOLNHNFFAD08CC,開元段,.00,都市：其他
RPUOMLOLNHNFFAD68CC,正興段,.00,非都市： ; 非都市編定：
RPPPMLOLNHNFFCD48CC,公英段,.00,非都市： ; 非都市編定：
RPXOMLOLNHNFFAD98CC,正興段,.00,非都市： ; 非都市編定：
RPWOMLOLNHNFFAD88CC,永華段,17.02,都市：商
RPWOMLOLNHNFFAD88CC,永華段,49.79,都市：商
RPTNMLPLNHNFFAD58CC,中正段,90.10,都市：商
RPOOMLPLNHNFFID98CC,媽祖廟段二小段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLPLNHNFFID17CC,媽祖廟段三小段,.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLPLNHNFFBD48CC,安和段,5352.35,都市：工
RPOOMLPLNHNFFHD88CC,東大社段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLSLNHNFFAD68CC,臨安段,.00,都市：住
RPPOMLPLNHNFFHD98CC,大社段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLOLNHNFFAD18CC,協進段,.00,非都市： ; 非都市編定：
RPOPMLOLNHNFFAD18CC,協進段,.00,非都市： ; 非都市編定：
RPXNMLSLNHNFFCD86CC,德高段,.00,都市：住
RPXNMLSLNHNFFHD37CC,新吉段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLSLNHNFFKD96CC,兵北段,.00,都市：住
RPVNMLTLNHNFFCD76CC,仁和段,.00,都市：住
RPSNMLTLNHNFFAD88CC,金華段,16.62,都市：商
RPXNMLKMNHNFFCD78CC,鹽埕段,.00,非都市： ; 非都市編定：
RPOOMLKMNHNFFCD97CC,新都段,.00,非都市： ; 非都市編定：
RPOOMLKMNHNFFCD97CC,新都段,.00,非都市： ; 非都市編定：
RPURMLKMNHNFFAD68CC,立人段,13.60,都市：住
RPOOMLSLNHNFFCD68CC,東光段,.00,都市：商
RPTRMLKMNHNFFAD58CC,新南段,.00,非都市： ; 非都市編定：
RPXPMLKMNHNFFAD78CC,三民段,.00,非都市： ; 非都市編定：
RPXPMLKMNHNFFAD78CC,三民段,.00,非都市： ; 非都市編定：
RPWNMLKMNHNFFKD86CC,六甲頂段,.00,都市：住
RPROMLLMNHNFFID09DC,文化段,90.10,都市：住
RPUNMLSLNHNFFGD07DC,佳果段,49.00,都市：住
