鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區雄峰路1~30號,17.25,住,,,1070401,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710818,62.99,3,2,1,有,有,3150000,50008,,0.0,0,,RPSNMLOLNHNFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路271~300號,31.88,住,,,1070401,土地1建物1車位2,二十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,352.84000000000003,3,2,2,有,有,34960000,102847,坡道平面,55.7,4400000,,RPUNMLTLNHNFFAE98CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里美術北三路241~270號,21.08,住,,,1070201,土地1建物1車位1,十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040611,245.83,0,0,0,無,有,15180000,61750,坡道平面,25.13,0,,RPTNMLOJOHNFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路31~60號,24.61,住,,,1061201,土地1建物1車位1,二十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031212,299.90999999999997,3,2,3,有,有,23960000,79891,坡道平面,16.81,0,,RPWOMLNKOHNFFAE68CA
苓雅區,房地(土地+建物),高雄市苓雅區武廟路1~30號,0.27,商,,,1070401,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680123,74.18,3,1,2,有,無,253031,3411,,0.0,0,親友關係間之交易。,RPTNMLMLNHNFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區武廟路1~30號,40.0,商,,,1070401,土地1建物1車位0,一層，二層，騎樓,五層,店面(店鋪),,鋼筋混凝土造,0680123,101.72,3,1,2,有,無,6001569,59001,,0.0,0,1.公寓店鋪2.親友間買賣移轉,RPVNMLMLNHNFFBE48CA
新興區,房地(土地+建物),高雄市新興區明星街61~90號,2.93,商,,,1070401,土地1建物1車位0,四層,八層,套房(1房1廳1衛),,鋼筋混凝土造,0720813,29.740000000000002,1,1,1,有,有,900000,30262,,0.0,0,,RPPOMLMLNHNFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區正大路1~30號,24.84,住,,,1070401,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750421,104.9,3,2,2,有,無,3000000,28599,,0.0,0,,RPOOMLNLNHNFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路143巷1弄1~30號,25.11,商,,,1070501,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0711022,85.19999999999999,3,2,1,有,無,3000000,35211,,0.0,0,"賣清,親友間之交易。",RPUOMLNLNHNFFBE58CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區興中二路121~150號,15.35,商,,,1070501,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031031,237.92,4,2,2,有,有,21240000,89274,坡道平面,20.49,0,本戶含裝潢,RPPNMLOLNHNFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區三多一路151巷28弄1~30號,51.0,住,,,1070501,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600828,77.08,4,2,3,有,無,4500000,58381,,0.0,0,,RPOOMLOLNHNFFBE08CA
新興區,房地(土地+建物)+車位,高雄市新興區五福二路61~90號,12.67,商,,,1070401,土地1建物1車位2,二十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840911,217.49,4,2,2,有,有,11380000,52324,坡道平面,0.0,0,,RPROMLOLNHNFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區安康路1~30號,27.35,住,,,1070301,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680308,73.13,3,2,1,有,無,2800000,38288,,0.0,0,,RPQNMLPLNHNFFBE28CA
