編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMLNHNFFBE48CA,39,101.72,,鋼筋混凝土造,68年1月23日,五層,一層 二層 騎樓
RPUOMLNLNHNFFBE58CA,36,72.85,,鋼筋混凝土造,71年10月22日,五層,四層
RPUOMLNLNHNFFBE58CA,36,12.35,,鋼筋混凝土造,71年10月22日,五層,
RPTNMLMLNHNFFBE28CA,39,74.18,,鋼筋混凝土造,68年1月23日,五層,四層
RPPNMLOLNHNFFBE08CA,4,143.54,住家用,鋼筋混凝土造,103年10月31日,二十四層,八層
RPPNMLOLNHNFFBE08CA,4,94.38,共有部分,鋼筋混凝土造,103年10月31日,二十四層,
RPPOMLMLNHNFFBE97CA,35,23.41,,鋼筋混凝土造,72年8月13日,八層,四層
RPOOMLNLNHNFFBE97CA,32,93.20,,鋼筋混凝土造,75年4月21日,五層,四層
RPPOMLMLNHNFFBE97CA,35,6.33,,鋼筋混凝土造,72年8月13日,八層,
RPOOMLNLNHNFFBE97CA,32,11.70,,鋼筋混凝土造,75年4月21日,五層,
RPQNMLPLNHNFFBE28CA,39,73.13,,鋼筋混凝土造,68年3月8日,四層,三層
RPOOMLOLNHNFFBE08CA,47,77.08,,加強磚造,60年8月28日,二層,一層 二層 騎樓
RPROMLOLNHNFFBE38CA,23,146.71,住家用,鋼筋混凝土造,84年9月11日,二十六層,二十層
RPROMLOLNHNFFBE38CA,23,70.78,見使用執照,鋼筋混凝土造,84年9月11日,二十六層,
RPPOMLPJOHNFFBE18CA,30,175.25,,鋼筋混凝土造,77年10月27日,二十層,十三層
RPPOMLPJOHNFFBE18CA,30,27.54,,鋼筋混凝土造,77年10月27日,二十層,
RPUOMLNLNHNFFCE68CA,43,84.36,住商用,加強磚造,63年11月20日,二層,一層 二層 騎樓
RPUPMLPLNHNFFCE98CA,22,58.43,住家用,鋼筋混凝土造,84年11月25日,七層,四層
RPUPMLPLNHNFFCE98CA,22,12.51,見使用執照,鋼筋混凝土造,84年11月25日,七層,
RPUOMLOLNHNFFCE78CA,10,139.70,住家用,鋼筋混凝土造,97年6月11日,十二層,九層
RPUOMLOLNHNFFCE78CA,10,94.99,共有部份,鋼筋混凝土造,97年6月11日,十二層,
RPSNMLOLNHNFFAE28CA,36,62.99,住家用,鋼筋混凝土造,71年8月18日,十一層,十一層
RPUNMLTLNHNFFAE98CA,4,197.85,住家用,鋼筋混凝土造,103年1月20日,二十八層,二十二層
RPUNMLTLNHNFFAE98CA,4,154.99,見其它登記事項,鋼筋混凝土造,103年1月20日,二十八層,
RPTNMLOJOHNFFAE28CA,3,146.18,住家用,鋼骨鋼筋混凝土造,104年6月11日,二十五層,十五層
RPTNMLOJOHNFFAE28CA,3,99.65,見其它登記事項,鋼骨鋼筋混凝土造,104年6月11日,二十五層,
RPWOMLNKOHNFFAE68CA,3,190.73,住家用,鋼筋混凝土造,103年12月12日,二十九層,二十二層
RPWOMLNKOHNFFAE68CA,3,109.18,見其它登記事項,鋼筋混凝土造,103年12月12日,二十九層,
RPUNMLMLNHNFFDE58CA,19,33.20,住家用,鋼筋混凝土造,88年7月31日,十四層,八層
RPUNMLMLNHNFFDE58CA,19,11.98,見使用執照,鋼筋混凝土造,88年7月31日,十四層,
RPWNMLPLNHNFFCE98CA,1,66.52,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,四層
RPWNMLPLNHNFFCE98CA,1,43.18,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPOOMLPLNHNFFCE28CA,1,102.46,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,五層
RPOOMLPLNHNFFCE28CA,1,69.60,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPPNMLRLNHNFFDE58CA,23,85.62,住家用,鋼筋混凝土造,83年11月3日,十六層,八層
RPPNMLRLNHNFFDE58CA,23,26.29,見使用執照,鋼筋混凝土造,83年11月3日,十六層,
RPPNMLRLNHNFFDE58CA,23,.64,見使用執照,鋼筋混凝土造,83年11月3日,十六層,地下一層
RPPNMLRLNHNFFDE58CA,23,28.74,見使用執照,鋼筋混凝土造,83年11月3日,十六層,
RPOPMLKMNHNFFCE97CA,38,57.60,,鋼筋混凝土造,69年9月4日,五層,四層
RPWNMLMLNHNFFDE78CA,38,85.52,,鋼筋混凝土造,69年2月21日,五層,五層
RPPOMLRJOHNFFCE48CA,2,64.35,見其它登記事項,鋼筋混凝土造,104年10月2日,十五層,六層
RPPOMLRJOHNFFCE48CA,2,62.65,見其它登記事項,鋼筋混凝土造,104年10月2日,十五層,
RPPNMLSLNHNFFDE68CA,43,186.27,,加強磚造,63年12月12日,三層,一層 二層 三層 騎樓
RPXNMLPLNHNFFCE09CA,1,68.85,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,六層
RPXNMLPLNHNFFCE09CA,1,44.47,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPPNMLPJOHNFFDE28CA,45,309.45,,加強磚造,62年4月29日,三層,一層 二層 三層 騎樓
RPUNMLTLNHNFFDE66CA,32,130.30,,鋼筋混凝土造,74年10月29日,三層,一層 二層 三層
RPTOMLMLNHNFFEE68CA,26,64.02,住商用,鋼筋混凝土造,81年5月18日,六層,一層 騎樓 夾層
RPTOMLMLNHNFFEE68CA,26,15.30,見使用執照,鋼筋混凝土造,81年5月18日,六層,
RPWOMLMLNHNFFEE98CA,18,107.24,住家用,見使用執照,89年2月17日,十四層,七層
RPWOMLMLNHNFFEE98CA,18,59.26,住家用,見使用執照,89年2月17日,十四層,
RPUQMLMLNHNFFEE98CA,1,54.57,見其它登記事項,見其它登記事項,105年11月30日,十五層,十五層
RPUQMLMLNHNFFEE98CA,1,40.58,見其它登記事項,見其它登記事項,105年11月30日,十五層,
RPUNMLSLNHNFFEE66CA,,53.44,見其它登記事項,見其它登記事項,107年1月5日,二十二層,五層
RPSQMLNLNHNFFEE88CA,19,56.18,住家用,見使用執照,88年2月2日,十四層,十層
RPUNMLSLNHNFFEE66CA,,32.71,見其它登記事項,見其它登記事項,107年1月5日,二十二層,
RPSQMLNLNHNFFEE88CA,19,28.13,見使用執照,見使用執照,88年2月2日,十四層,
RPOQMLTLNHNFFEE09CA,17,321.52,見其它登記事項,見其它登記事項,90年8月11日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPTQMLTLNHNFFEE96CA,11,88.57,住家用,鋼筋混凝土造,95年11月24日,十五層,十五層
RPTQMLTLNHNFFEE96CA,11,60.17,見其它登記事項,鋼筋混凝土造,95年11月24日,十五層,
RPTNMLTLNHNFFEE66CA,2,72.13,見其它登記事項,見其它登記事項,105年3月25日,十五層,二層
RPTOMLPLNHNFFEE98CA,24,223.09,住商用,鋼筋混凝土造,83年7月27日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPTNMLTLNHNFFEE66CA,2,71.76,見其它登記事項,見其它登記事項,105年3月25日,十五層,
RPORMLMLNHNFFEE48CA,22,26.25,見使用執照,鋼筋混凝土造,85年2月5日,十五層,
RPPNMLTKOHNFFEE88CA,1,66.84,見其它登記事項,見其它登記事項,105年11月15日,十五層,二層
