編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTNMLMLNHNFFBE28CA,五塊厝段,.27,都市：商
RPVNMLMLNHNFFBE48CA,五塊厝段,40.00,都市：商
RPUOMLNLNHNFFBE58CA,五塊厝段,16.75,都市：商
RPUOMLNLNHNFFBE58CA,五塊厝段,8.36,都市：住
RPPNMLOLNHNFFBE08CA,意誠段,15.35,都市：商
RPPOMLMLNHNFFBE97CA,新興段四小段,2.93,都市：商
RPOOMLNLNHNFFBE97CA,正言段,24.84,都市：住
RPQNMLPLNHNFFBE28CA,正憲段,2.38,都市：住
RPQNMLPLNHNFFBE28CA,正憲段,24.96,都市：住
RPOOMLOLNHNFFBE08CA,武聖段,51.00,都市：住
RPROMLOLNHNFFBE38CA,大統段一小段,12.67,都市：商
RPPOMLPJOHNFFBE18CA,大統段一小段,14.96,都市：商
RPUOMLNLNHNFFCE68CA,桂林段,65.00,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,36.75,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,35.35,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,107.10,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,1.40,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,1.40,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,10.50,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,46.90,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,8.05,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,9.10,都市：住
RPXPMLMLNHNFFCE98CA,中厝段,31.85,都市：其他
RPXPMLMLNHNFFCE98CA,中厝段,23.10,都市：其他
RPSNMLQLNHNFFCE68CA,坪頂段,645.24,都市：住
RPUPMLPLNHNFFCE98CA,佛公段,11.22,都市：住
RPUOMLOLNHNFFCE78CA,光華段,36.17,都市：住
RPUOMLOLNHNFFCE78CA,光華段,.44,都市：住
RPPOMLOLNHNFFCE28CA,瑞崗段四小段,19.00,都市：住
RPUNMLTLNHNFFAE98CA,青海段,31.88,都市：住
RPSNMLOLNHNFFAE28CA,前峰段,16.88,都市：住
RPSNMLOLNHNFFAE28CA,前峰段,.37,都市：住
RPTNMLOJOHNFFAE28CA,青海段,21.08,都市：住
RPWOMLNKOHNFFAE68CA,青海段,24.61,都市：住
RPUNMLMLNHNFFDE58CA,獅頭段,3.67,都市：商
RPWNMLPLNHNFFCE98CA,光華段一小段,9.16,都市：住
RPWNMLPLNHNFFCE98CA,光華段一小段,1.50,都市：商
RPOOMLPLNHNFFCE28CA,光華段一小段,14.39,都市：住
RPOOMLPLNHNFFCE28CA,光華段一小段,2.36,都市：商
RPPNMLRLNHNFFDE58CA,鼎泰段,4.44,都市：住
RPPNMLRLNHNFFDE58CA,鼎泰段,12.07,都市：住
RPPNMLRLNHNFFDE58CA,鼎泰段,.00,都市：住
RPOPMLKMNHNFFCE97CA,山明段,21.73,都市：商
RPWNMLMLNHNFFDE78CA,澄清段一小段,33.76,都市：住
RPPOMLRJOHNFFCE48CA,莊段,10.99,都市：商
RPPOMLSLNHNFFDE78CA,新都段,104.00,都市：住
RPPNMLSLNHNFFDE68CA,大港段四小段,82.00,都市：住
RPXNMLPLNHNFFCE09CA,光華段一小段,9.48,都市：住
RPXNMLPLNHNFFCE09CA,光華段一小段,1.55,都市：商
RPPNMLPJOHNFFDE28CA,三塊厝段,130.00,都市：住
RPUNMLTLNHNFFDE66CA,澄清段一小段,66.00,都市：住
RPTOMLMLNHNFFEE68CA,新庄段二小段,13.04,都市：住
RPUQMLMLNHNFFEE98CA,援中段一小段,7.82,都市：商
RPWOMLMLNHNFFEE98CA,果貿段,26.59,都市：住
RPUNMLSLNHNFFEE66CA,清豐段,6.59,都市：商
RPSQMLNLNHNFFEE88CA,新庄段七小段,9.03,都市：住
RPOQMLTLNHNFFEE09CA,新庄段八小段,119.00,都市：住
RPTQMLTLNHNFFEE96CA,福民段,17.22,都市：住
RPTNMLTLNHNFFEE66CA,藍田西段,16.16,都市：商
RPTOMLPLNHNFFEE98CA,清楠段,79.82,都市：住
RPPNMLTKOHNFFEE88CA,藍田中段,15.60,都市：住
RPVNMLSJOHNFFEE66CA,福山段,38.39,都市：商
RPUNMLTKOHNFFEE76CA,藍田中段,12.96,都市：住
RPRNMLTKOHNFFEE09CA,藍田中段,12.93,都市：住
RPQNMLTKOHNFFEE98CA,藍田中段,12.93,都市：住
RPSPMLSJOHNFFEE56CA,右昌段四小段,92.00,都市：住
RPWOMLLKOHNFFEE88CA,清豐段,49.20,都市：住
RPWOMLQJOHNFFEE66CA,清楠段,22.52,都市：住
RPWNMLOJOHNFFEE98CA,加昌段二小段,3.61,都市：商
RPWNMLOJOHNFFEE98CA,加昌段二小段,3.21,都市：商
RPTNMLTKOHNFFEE66CA,藍田中段,12.96,都市：住
RPVNMLTKOHNFFEE86CA,藍田中段,12.96,都市：住
RPPNMLMLNHNFFFE28CA,新甲段,17.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMLNHNFFFE28CA,新甲段,69.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNLNHNFFFE68CA,安港段,39.27,都市：住
RPSNMLNLNHNFFFE68CA,安港段,24.42,都市：住
RPWNMLOLNHNFFFE56CA,介壽段,7.00,都市：住
RPWNMLOLNHNFFFE56CA,介壽段,8.00,都市：住
RPQNMLMLNHNFFFE38CA,富貴段,168.00,都市：住
RPQNMLMLNHNFFFE38CA,富貴段,6.76,都市：住
RPQNMLMLNHNFFFE38CA,富貴段,25.00,都市：住
RPQNMLMLNHNFFFE38CA,富貴段,47.00,都市：其他
RPRNMLMLNHNFFFE48CA,陽明段,53.00,都市：住
RPRNMLMLNHNFFFE48CA,陽明段,2.00,都市：住
RPRNMLMLNHNFFFE48CA,陽明段,16.00,都市：住
RPRNMLKKOHNFFFE28CA,後壁田段,32.16,都市：住
RPPNMLTLNHNFFFE98CA,梓和段,423.45,都市：工
RPUNMLNLNHNFFFE88CA,德松段,74.45,都市：住
RPTNMLKKOHNFFFE48CA,後壁田段,32.51,都市：住
RPUNMLKKOHNFFFE58CA,後壁田段,28.39,都市：住
RPUNMLLLNHNFFHE88CA,茄苳湖段,2366.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLLLNHNFFHE98CA,公館段,66.50,都市：住
RPVNMLLLNHNFFHE98CA,公館段,17.50,都市：住
RPUNMLLJOHNFFHE78CA,內豐段,17.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJOHNFFHE78CA,內豐段,32.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJOHNFFHE78CA,內豐段,2.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJOHNFFHE78CA,內豐段,.05,非都市：鄉村區 ; 非都市編定：交通用地
RPUNMLLJOHNFFHE78CA,內豐段,7.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJOHNFFHE78CA,木柵段,4.75,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,木柵段,.37,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,木柵段,.93,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLLJOHNFFHE78CA,木柵段,.44,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,木柵段,.27,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,木柵段,8.23,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,光興段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLLJOHNFFHE78CA,光興段,2.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,光興段,10.89,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLLJOHNFFHE78CA,光興段,5.95,非都市：一般農業區 ; 非都市編定：農牧用地
