編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPNMLOLNHNFFBE08CA,坡道平面,0,20.49
RPROMLOLNHNFFBE38CA,坡道平面,0,
RPROMLOLNHNFFBE38CA,坡道平面,0,
RPUOMLOLNHNFFCE78CA,坡道平面,0,
RPUNMLTLNHNFFAE98CA,坡道平面,2200000,27.85
RPUNMLTLNHNFFAE98CA,坡道平面,2200000,27.85
RPTNMLOJOHNFFAE28CA,坡道平面,0,25.13
RPWOMLNKOHNFFAE68CA,坡道平面,0,16.81
RPWNMLPLNHNFFCE98CA,坡道機械,1200000,8.16
RPOOMLPLNHNFFCE28CA,坡道平面,1750000,15.25
RPPNMLRLNHNFFDE58CA,坡道平面,1200000,29.38
RPPOMLRJOHNFFCE48CA,坡道平面,0,31.94
RPXNMLPLNHNFFCE09CA,坡道機械,1200000,8.16
RPUQMLMLNHNFFEE98CA,坡道機械,0,
RPSQMLNLNHNFFEE88CA,坡道機械,600000,11.06
RPTQMLTLNHNFFEE96CA,坡道平面,1000000,21.33
RPTNMLTLNHNFFEE66CA,坡道平面,0,
RPORMLMLNHNFFEE48CA,坡道平面,0,
RPVNMLSJOHNFFEE66CA,坡道平面,0,36.49
RPRNMLKKOHNFFFE28CA,坡道平面,0,20.17
RPTNMLKKOHNFFFE48CA,坡道平面,0,20.17
RPUNMLKKOHNFFFE58CA,坡道平面,0,20.17
RPOPMLSLNHNFFGE09CA,坡道平面,0,
RPQOMLKMNHNFFGE48CA,坡道平面,0,
RPOOMLOJOHNFFGE48CA,坡道平面,0,
RPQOMLNLNHNFFAE18DA,坡道機械,500000,
RPVNMLMLNHNFFLE86CA,升降機械,0,14.65
RPSNMLKKNHNFFCE28CD,升降平面,750000,30.31
RPRNMLRKNHNFFBE78CD,坡道平面,1100000,28.54
RPUNMLPKNHNFFEE56CD,坡道平面,0,35.48
RPVNMLPKNHNFFEE66CD,坡道平面,0,35.48
RPRNMLQKNHNFFEE98CD,坡道平面,0,35.48
RPSNMLRKNHNFFBE88CD,坡道平面,1700000,28.54
RPQNMLRKNHNFFBE68CD,坡道平面,2200000,28.54
RPTNMLQKNHNFFGE76CD,坡道平面,1020000,
RPPOMLSKNHNFFGE66CD,坡道平面,1100000,
RPPOMLSKNHNFFGE66CD,坡道平面,1050000,
RPUNMLSKNHNFFGE07CD,坡道平面,1010000,
RPRNMLLLNHNFFDE48CD,坡道機械,0,
RPUNMLRKNHNFFDE66CD,坡道平面,0,
RPTNMLRKNHNFFBE98CD,坡道平面,0,
RPRNMLQKNHNFFAE58CD,坡道平面,0,21.53
RPPNMLNJOHNFFLE88CA,坡道平面,0,
RPPNMLTKNHNFFEE09CD,坡道平面,0,36.62
RPPNMLLMNHNFFIE58CA,坡道平面,0,19.40
