編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTPMLNLNHNFFEE98CB,後勁段一小段,14.23,都市：住
RPVOMLNLNHNFFEE09CB,後勁段一小段,14.48,都市：住
RPRPMLNLNHNFFEE78CB,後勁段一小段,14.48,都市：住
RPVPMLNLNHNFFEE56CB,後勁段一小段,14.48,都市：住
RPUPMLNLNHNFFEE09CB,後勁段一小段,14.23,都市：住
RPWOMLNLNHNFFEE56CB,後勁段一小段,16.72,都市：住
RPQPMLNLNHNFFEE68CB,後勁段一小段,14.48,都市：住
RPWPMLNLNHNFFEE66CB,後勁段一小段,14.23,都市：住
RPXPMLNLNHNFFEE76CB,後勁段一小段,14.23,都市：住
RPOQMLNLNHNFFEE58CB,後勁段一小段,14.23,都市：住
RPPQMLNLNHNFFEE68CB,後勁段一小段,14.23,都市：住
RPUNMLTLNHNFFEE86CB,後勁段一小段,14.48,都市：住
RPWNMLTLNHNFFEE07CB,後勁段一小段,26.96,都市：住
RPPOMLTLNHNFFEE09CB,後勁段一小段,20.72,都市：住
RPXNMLTLNHNFFEE17CB,後勁段一小段,20.72,都市：住
RPOOMLTLNHNFFEE98CB,後勁段一小段,20.72,都市：住
RPPPMLNLNHNFFEE58CB,後勁段一小段,14.48,都市：住
RPUOMLTLNHNFFEE96CB,後勁段一小段,20.72,都市：住
RPTOMLTLNHNFFEE86CB,後勁段一小段,20.72,都市：住
RPROMLTLNHNFFEE66CB,後勁段一小段,20.72,都市：住
RPOPMLTLNHNFFEE09CB,後勁段一小段,20.72,都市：住
RPPPMLTLNHNFFEE56CB,後勁段一小段,20.72,都市：住
RPVNMLTLNHNFFEE96CB,後勁段一小段,14.23,都市：住
RPSPMLTLNHNFFEE86CB,後勁段一小段,20.72,都市：住
RPRPMLTLNHNFFEE76CB,後勁段一小段,20.72,都市：住
RPXOMLNLNHNFFEE66CB,後勁段一小段,14.48,都市：住
RPVOMLTLNHNFFEE07CB,後勁段一小段,20.72,都市：住
RPQOMLTLNHNFFEE56CB,後勁段一小段,20.72,都市：住
RPVPMLTLNHNFFEE17CB,後勁段一小段,20.72,都市：住
RPUPMLTLNHNFFEE07CB,後勁段一小段,20.72,都市：住
RPTPMLTLNHNFFEE96CB,後勁段一小段,29.20,都市：住
RPXOMLTLNHNFFEE27CB,後勁段一小段,20.72,都市：住
RPWOMLTLNHNFFEE17CB,後勁段一小段,20.72,都市：住
