鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區翠華路271~300號,28.94,住,,,1070501,土地1建物1車位0,十七層,28,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050203,359.78,4,2,3,有,無,有,58000,161,,0.0,0,,RPQNMLLLNHNFFAE97CC
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路361~390號,17.79,住,,,1070505,土地1建物1車位0,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030212,203.79,3,2,2,有,有,有,39500,194,,0.0,0,,RPRNMLLLNHNFFAE08CC
前金區,房地(土地+建物),高雄市前金區長生街1~30號,48.0,商,,,1070501,土地1建物1車位0,全,2,透天厝,,加強磚造,0441226,78.22,2,2,2,有,無,有,24000,307,,0.0,0,,RPSNMLLLNHNFFAE18CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路241~270號,10.47,商,,,1070503,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020604,144.72,3,2,2,有,有,有,36000,249,坡道平面,19.34,0,,RPTNMLLLNHNFFAE28CC
新興區,建物,高雄市新興區文橫二路143巷1~30號,0.0,商,,,1070503,土地0建物1車位0,見其他登記事項,2,店面(店鋪),,加強磚造,0610107,131.04,0,2,2,有,無,無,80000,611,,0.0,0,租賃期間含免租裝潢期1個月,RPPNMLLLNHNFFBE97CC
苓雅區,房地(土地+建物),高雄市苓雅區文橫二路121~150號,56.0,商,,,1070501,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0500201,85.42,0,0,0,無,無,有,28000,328,,0.0,0,,RPVNMLLLNHNFFBE58CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1070428,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1500,,坡道平面,12.66,1500,,RPWNMLLLNHNFFBE68CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1070501,土地0建物1車位0,二十八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,145.17,3,2,2,有,有,有,16500,114,,0.0,0,,RPXNMLLLNHNFFBE78CC
新興區,房地(土地+建物),高雄市新興區七賢二路31~60號,5.15,商,,,1070510,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050413,77.36,2,1,1,有,有,有,21000,271,,0.0,0,,RPROMLLLNHNFFBE28CC
