編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTNMLLLNHNFFAE28CC,龍華段八小段,10.47,都市：商
RPXNMLLLNHNFFBE78CC,意誠段,.00,都市：商
RPTOMLLLNHNFFBE48CC,苓洲段,.00,都市：商
RPROMLLLNHNFFBE28CC,新興段四小段,5.15,都市：商
RPPNMLLLNHNFFBE97CC,大統段二小段,.00,都市：商
RPVNMLLLNHNFFBE58CC,過田子段,56.00,都市：商
RPWOMLLLNHNFFBE78CC,過田子段,7.58,都市：商
RPVOMLLLNHNFFBE68CC,意誠段,10.34,都市：商
RPRNMLLLNHNFFAE08CC,青海段,17.79,都市：住
RPQNMLLLNHNFFAE97CC,內惟段四小段,28.94,都市：住
RPPNMLLLNHNFFCE08CC,憲德段二小段,15.64,都市：商
RPWNMLLLNHNFFBE68CC,意誠段,.00,都市：商
RPSNMLLLNHNFFAE18CC,民生段,48.00,都市：商
RPPOMLLLNHNFFDE28CC,覆鼎金段覆鼎金一小段,.00,都市：住
RPSPMLLLNHNFFEE78CC,新庄段四小段,.00,都市：住
RPTOMLLLNHNFFCE58CC,愛群段,5.86,都市：商
RPXNMLLLNHNFFEE09CC,新庄段十三小段,8.52,都市：商
RPQQMLLLNHNFFEE68CC,新庄段四小段,26.06,都市：住
RPQQMLLLNHNFFEE68CC,新庄段四小段,37.50,都市：住
RPQOMLLLNHNFFDE38CC,覆鼎金段覆鼎金一小段,.00,都市：住
RPPOMLMLNHNFFIE88CC,八德段,.00,非都市： ; 非都市編定：
RPROMLLLNHNFFEE58CC,新庄段十三小段,8.40,都市：商
RPTNMLLLNHNFFHE98CC,旗門段,105.62,都市：其他
RPTNMLLLNHNFFHE98CC,旗門段,106.64,都市：其他
RPXNMLMLNHNFFGE76CC,新甲段,50.00,都市：住
RPXNMLLLNHNFFCE88CC,獅甲段,.00,都市：住
RPPNMLLLNHNFFJE78CC,和蓮段,78.55,都市：住
RPPNMLLLNHNFFIE68CC,大華段,92.00,都市：住
RPQNMLMLNHNFFEE48CC,新庄段十二小段,27.95,都市：住
RPXNMLMLNHNFFEE56CC,藍昌段三小段,6.61,都市：商
RPOPMLMLNHNFFEE48CC,新庄段十三小段,6.21,都市：商
RPVNMLMLNHNFFEE98CC,福山段,17.26,都市：商
RPVOMLMLNHNFFCE88CC,獅甲段二小段,28.51,都市：住
RPTOMLLLNHNFFEE78CC,翠屏段三小段,193.48,都市：住
RPSNMLMLNHNFFDE58CC,獅頭段,9.88,都市：商
RPOOMLMLNHNFFDE28CC,大順段,19.48,都市：商
RPQOMLMLNHNFFDE48CC,大港段,37.76,都市：商
RPTNMLMLNHNFFDE68CC,大港段二小段,65.15,都市：商
RPTNMLMLNHNFFDE68CC,大港段二小段,7.05,都市：商
RPRNMLMLNHNFFDE48CC,大順段,11.97,都市：商
RPQNMLMLNHNFFAE08CC,鼓中段二小段,59.00,都市：商
RPSNMLMLNHNFFAE28CC,北金段,9.51,都市：商
RPUPMLMLNHNFFCE88CC,莊段,8.18,都市：商
RPRNMLMLNHNFFAE18CC,青海段,7.29,都市：住
RPTOMLMLNHNFFBE58CC,新興段三小段,121.00,都市：商
RPUNMLMLNHNFFBE58CC,成功段,9.85,都市：商
RPWOMLMLNHNFFAE78CC,後金段,9.30,都市：商
RPWOMLMLNHNFFAE78CC,後金段,9.30,都市：商
RPWOMLMLNHNFFAE78CC,後金段,9.52,都市：商
RPPOMLNLNHNFFBE28CC,過田子段,.00,都市：商
RPVOMLNLNHNFFCE98CC,憲德段二小段,.00,都市：商
RPROMLNLNHNFFBE48CC,新興段四小段,.00,都市：商
RPROMLNLNHNFFBE48CC,新興段四小段,.00,都市：商
RPXNMLMLNHNFFAE78CC,前金段,9.27,都市：商
RPUNMLMLNHNFFAE48CC,龍華段八小段,8.42,都市：商
RPUNMLMLNHNFFAE48CC,龍華段八小段,7.04,都市：商
RPOPMLMLNHNFFAE08CC,後金段,9.30,都市：商
RPOPMLMLNHNFFAE08CC,後金段,9.30,都市：商
RPOPMLMLNHNFFAE08CC,後金段,9.52,都市：商
RPQNMLOLNHNFFDE58CC,鼎泰段,11682.18,都市：住
RPTNMLOLNHNFFDE88CC,大裕段一小段,13.45,都市：住
RPQNMLNLNHNFFDE48CC,大順段,.00,都市：商
RPOOMLNLNHNFFDE38CC,獅頭段,12.24,都市：商
RPRNMLOLNHNFFEE78CC,新庄段十三小段,10.92,都市：商
RPVNMLOLNHNFFEE56CC,左東段,189.00,都市：商
RPVNMLOLNHNFFEE56CC,左東段,36.64,都市：商
RPXNMLNLNHNFFEE66CC,新光段,.00,都市：商
RPSOMLMLNHNFFBE48CC,苓洲段,55.00,都市：商
RPSOMLNLNHNFFBE58CC,過田子段,.00,都市：商
RPPOMLOLNHNFFDE58CC,陽明段四小段,46.71,都市：住
RPRNMLPLNHNFFAE48CC,龍華段三小段,150.00,都市：住
RPQNMLPLNHNFFFE88CC,安西段,219.46,都市：工
RPSOMLOLNHNFFGE56CC,灣頭段,102.50,都市：住
RPOOMLPLNHNFFBE38CC,意誠段,.00,都市：商
RPRNMLOLNHNFFAE38CC,龍華段八小段,9.33,都市：商
RPWNMLOLNHNFFLE37CC,磚子段,.00,都市：工
RPWNMLOLNHNFFLE37CC,磚子段,.00,都市：工
RPWNMLQLNHNFFEE86CC,新光段,16.32,都市：住
RPPNMLQLNHNFFBE48CC,新興段一小段,45.10,都市：商
RPXNMLPLNHNFFEE86CC,新庄段六小段,15.32,都市：住
RPQNMLQLNHNFFBE58CC,意誠段,36.90,都市：商
RPOOMLPLNHNFFEE68CC,新庄段十三小段,10.39,都市：商
RPQNMLQLNHNFFAE48CC,龍華段八小段,.00,都市：商
RPPNMLSLNHNFFAE58CC,青海段,.00,都市：住
RPOOMLSLNHNFFAE58CC,文東段,.00,都市：商
RPPOMLSLNHNFFAE68CC,文東段,.00,都市：商
RPOOMLSLNHNFFDE88CC,灣昌段,263.20,都市：住
RPOOMLSLNHNFFDE88CC,灣昌段,1.64,都市：住
RPOOMLSLNHNFFDE88CC,灣昌段,53.70,都市：住
RPOPMLSLNHNFFAE68CC,鹽府段,50.00,都市：商
RPUPMLSLNHNFFEE07CC,藍田中段,1503.01,都市：其他
RPRPMLSLNHNFFEE76CC,新庄段十三小段,3.61,都市：商
RPUOMLSLNHNFFDE86CC,陽明段二小段,199.42,都市：住
RPVNMLSLNHNFFIE47DC,新後港西段,26.65,都市：住
RPUOMLSLNHNFFCE76CC,山明段,16.14,都市：住
RPPNMLSLNHNFFJE86CC,三爺段,83.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLSLNHNFFLE87CC,赤崁段潮州寮小段,1331.00,都市：農
RPXNMLSLNHNFFLE87CC,赤崁段潮州寮小段,1253.00,都市：農
RPSNMLTLNHNFFCE56CC,愛群段,.00,都市：商
RPXNMLTLNHNFFGE47CC,文山段,49.00,都市：住
RPVNMLTLNHNFFIE47CC,澄清段,.00,都市：住
RPTNMLTLNHNFFCE66CC,獅甲段二小段,14.17,都市：商
RPPOMLTLNHNFFCE98CC,獅甲段二小段,13.98,都市：住
RPQNMLTLNHNFFBE88CC,大統段一小段,43.47,都市：商
RPQNMLTLNHNFFBE88CC,大統段一小段,8.46,都市：商
RPSNMLTLNHNFFBE09CC,過田子段,.00,都市：商
RPRNMLTLNHNFFBE98CC,新興段二小段,12.19,都市：商
RPSOMLTLNHNFFCE66CC,愛群段,6.77,都市：住
RPSOMLTLNHNFFAE09CC,龍華段八小段,9.19,都市：商
RPWNMLTLNHNFFBE86CC,正文段,.00,都市：住
RPTPMLTLNHNFFBE76CC,福東段,76.00,都市：住
RPOOMLPLNHNFFAE28CC,青海段,19.04,都市：住
RPXOMLTLNHNFFBE07CC,過田子段,.00,都市：商
RPTNMLTLNHNFFBE56CC,林興段,35.35,都市：住
RPUNMLKMNHNFFAE38CC,龍華段一小段,529.00,都市：住
RPWNMLKMNHNFFDE88CC,大港段三小段,72.00,都市：住
RPQNMLKMNHNFFGE58CC,道爺段,38.71,都市：住
RPSOMLPLNHNFFBE78CC,福裕段,85.00,都市：住
RPROMLKMNHNFFEE58CC,新庄段十三小段,.00,都市：商
RPOOMLKMNHNFFGE48CC,過勇段,684.73,都市：住
RPWOMLTLNHNFFBE96CC,林德官段一小段,15.06,都市：住
RPPNMLLMNHNFFLE09CC,仁德段,104.80,都市：住
RPPNMLLMNHNFFCE18CC,獅甲段一小段,37.62,都市：住
RPVNMLPLNHNFFBE98CC,意誠段,.00,都市：商
RPQOMLPLNHNFFBE58CC,苓東段,7.00,都市：住
RPQOMLPLNHNFFBE58CC,苓東段,68.00,都市：住
RPUNMLKMNHNFFBE48CC,林德官段一小段,29.72,非都市： ; 非都市編定：
