編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPTNMLLLNHNFFAE28CC,坡道平面,0,19.34
RPWNMLLLNHNFFBE68CC,坡道平面,1500,12.66
RPROMLLLNHNFFEE58CC,坡道平面,0,25.25
RPVNMLMLNHNFFEE98CC,坡道平面,0,20.67
RPSNMLMLNHNFFAE28CC,坡道平面,0,5.02
RPWOMLMLNHNFFAE78CC,坡道平面,0,
RPVOMLNLNHNFFCE98CC,坡道機械,0,8.68
RPQNMLNLNHNFFDE48CC,坡道機械,0,
RPXNMLNLNHNFFEE66CC,坡道平面,0,18.23
RPOOMLPLNHNFFBE38CC,坡道平面,1500,12.66
RPTNMLTLNHNFFCE66CC,坡道平面,0,24.18
RPPOMLTLNHNFFCE98CC,坡道平面,0,24.18
RPWOMLTLNHNFFBE96CC,坡道平面,0,18.87
RPPNMLLMNHNFFCE18CC,坡道平面,0,30.79
