鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
板橋區,房地(土地+建物),新北市板橋區民安街1~30號,26.6,其他,,,1070109,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0701204,99.13,0,0,0,無,無,16800000,169474,,0.0,0,,RPVOMLLLNHNFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段188巷31~60號,23.32,住,,,1070324,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051004,289.11,4,2,2,有,有,41130000,185715,坡道平面,89.18,4000000,,RPTPMLLLNHNFFAF38CA
板橋區,土地,文化段2191~2220地號,0.3,住,,,1070324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,120000,0,,0.0,0,畸零地或有合併使用之交易。,RPUPMLLLNHNFFAF48CA
板橋區,房地(土地+建物),新北市板橋區中山路二段212巷1~30號,17.27,住,,,1070420,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870404,61.68,1,2,1,有,有,7350000,119163,,0.0,0,含增建或未登記建物。,RPWNMLMLNHNFFAF58CA
土城區,房地(土地+建物),新北市土城區廣興街73巷1~30號,13.14,住,,,1070404,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820113,88.72,3,2,1,有,有,9250000,104261,,0.0,0,,RPPOMLMLNHNFFAF97CA
土城區,房地(土地+建物)+車位,新北市土城區南天母路91巷1~30號,38.03,,山坡地保育區,丙種建築用地,1070420,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820504,106.97,2,2,1,有,無,6400000,59830,坡道平面,0.0,0,,RPTOMLMLNHNFFAF38CA
土城區,房地(土地+建物)+車位,新北市土城區中央路四段61~90號,7.1,住,,,1070405,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870422,89.05,2,2,1,有,有,6700000,75239,坡道機械,12.87,0,,RPWTMLMLNHNFFAF56CA
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道一段271~300號,41.47,住,,,1070304,土地3建物1車位2,七層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1040505,536.64,0,0,0,無,有,93680000,180855,坡道平面,49.62,5600000,,RPSNMLNLNHNFFAF28CA
板橋區,房地(土地+建物),新北市板橋區中山路二段90巷31~60號,27.77,住,,,1070401,土地3建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671030,77.72,3,2,2,有,無,9080000,116830,,0.0,0,含增建或未登記建物。,RPTPMLNLNHNFFAF58CA
板橋區,車位,新北市板橋區四川路二段241~270號,0.59,住,,,1070509,土地0建物0車位1,一層,二十九層,其他,見其他登記事項,鋼骨鋼筋混凝土造,0980810,38.71,0,0,0,有,無,1850000,,坡道平面,38.72,1850000,,RPPNMLOLNHNFFAF08CA
板橋區,房地(土地+建物),新北市板橋區裕民街133巷1~30號,20.7,住,,,1070427,土地1建物1車位0,十層，見使用執照,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780330,153.84,3,2,2,有,有,16000000,104004,,0.0,0,,RPPQMLOLNHNFFAF38CA
板橋區,房地(土地+建物),新北市板橋區四川路二段47巷1~30號,16.0,住,,,1070413,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650607,54.4,3,1,1,有,無,7200000,132353,,0.0,0,,RPSNMLPLNHNFFAF48CA
板橋區,房地(土地+建物),新北市板橋區府中路121~150號,9.08,商,,,1041129,土地1建物1車位0,三層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840617,78.98,1,1,1,有,有,11000000,139276,,0.0,0,,RPTTMLKMNHNFFAF78CA
板橋區,房地(土地+建物),新北市板橋區翠華街6巷2弄1~30號,23.75,住,,,1070313,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660430,68.99,3,2,1,有,無,10500000,152196,,0.0,0,,RPPPMLLMNHNFFAF08CA
土城區,土地,員福段421~450地號,474.67,其他,,,1070509,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,88549772,186550,,0.0,0,,RPQNMLLJOHNFFAF77CA
土城區,房地(土地+建物)+車位,新北市土城區福安街1~30號,26.82,住,,,1070326,土地1建物1車位2,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060220,220.39,2,2,1,有,有,14600000,97457,坡道平面,107.52,3600000,車位總價中，無法拆分各別車位價格,RPVPMLLJOHNFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜一路31~60號,13.83,住,,,1011209,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,112.25,2,2,1,有,有,5875658,52344,坡道平面,31.65,0,,RPOPMLKKOHNFFAF77CA
土城區,房地(土地+建物),新北市土城區廣福街1~30號,14.81,住,,,1070501,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821231,78.95,2,1,1,有,有,8200000,103863,,0.0,0,,RPTSMLQJOHNFFAF09CA
板橋區,房地(土地+建物),新北市板橋區信義路181~210號,12.81,住,,,1070422,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050715,94.31,2,1,1,有,有,12000000,127240,,0.0,0,,RPXQMLRJOHNFFAF76CA
板橋區,房地(土地+建物),新北市板橋區民治街52巷5弄1~30號,25.75,住,,,1070411,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,80.48,3,2,1,有,無,8950000,111208,,0.0,0,,RPROMLKKOHNFFAF97CA
板橋區,房地(土地+建物),新北市板橋區萬安街31~60號,127.0,其他,,,1070329,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,109.02,2,4,4,有,無,21500000,197212,,0.0,0,,RPSNNLMKOHNFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區合宜路31~60號,24.36,住,,,1060510,土地1建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070104,173.5,3,2,1,有,有,9163195,52814,坡道平面,31.65,0,土地及建物分次登記案件。*向政府機關申購之案件*,RPVQMLNKOHNFFAF88CA
