編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOLNHNFFAF08CA,9,.09,見其他登記事項,鋼骨鋼筋混凝土造,98年8月10日,二十九層,一層
RPPNMLOLNHNFFAF08CA,9,.01,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPPNMLOLNHNFFAF08CA,9,38.62,共有部份,鋼骨鋼筋混凝土造,98年8月10日,二十九層,
RPVOMLLLNHNFFAF48CA,36,99.13,工業用,鋼筋混凝土造,70年12月4日,五層,三層
RPTPMLLLNHNFFAF38CA,1,130.02,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,十六層
RPTPMLLLNHNFFAF38CA,1,69.90,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPTPMLLLNHNFFAF38CA,1,89.19,見其他登記事項,鋼筋混凝土造,105年10月4日,十九層,
RPSNMLPLNHNFFAF48CA,42,54.40,住家用,加強磚造,65年6月7日,四層,四層 陽台
RPPQMLOLNHNFFAF38CA,29,140.04,住家用,鋼筋混凝土造,78年3月30日,十層,十層 見使用執照
RPPQMLOLNHNFFAF38CA,29,13.80,共有部份,鋼筋混凝土造,78年3月30日,十層,
RPPOMLMLNHNFFAF97CA,25,3.23,共有部份,鋼筋混凝土造,82年1月13日,000,
RPPOMLMLNHNFFAF97CA,25,75.39,住家用,鋼筋混凝土造,82年1月13日,十六層,九層
RPPOMLMLNHNFFAF97CA,25,10.10,見使用執照,鋼筋混凝土造,82年1月13日,十六層,
RPWNMLMLNHNFFAF58CA,20,48.81,住家用,鋼筋混凝土造,87年4月4日,五層,三層
RPWNMLMLNHNFFAF58CA,20,5.47,共有部份,鋼筋混凝土造,87年4月4日,五層,
RPWNMLMLNHNFFAF58CA,20,7.40,見其他登記事項,鋼筋混凝土造,87年4月4日,五層,
RPTOMLMLNHNFFAF38CA,25,68.13,住家用,鋼筋混凝土造,82年5月4日,七層,三層
RPTOMLMLNHNFFAF38CA,25,38.84,共有部份,鋼筋混凝土造,82年5月4日,七層,
RPTTMLKMNHNFFAF78CA,20,51.86,見其他登記事項,鋼筋混凝土造,84年6月17日,十七層,三層
RPTTMLKMNHNFFAF78CA,20,10.07,共有部份,鋼筋混凝土造,84年6月17日,十七層,
RPTTMLKMNHNFFAF78CA,20,5.58,共有部份,鋼筋混凝土造,84年6月17日,十七層,
RPTTMLKMNHNFFAF78CA,20,11.47,見其他登記事項,鋼筋混凝土造,84年6月17日,十七層,
RPPPMLLMNHNFFAF08CA,41,68.99,住家用,鋼筋混凝土造,66年4月30日,四層,一層
RPVPMLLJOHNFFAF48CA,1,78.50,見其他登記事項,鋼筋混凝土造,106年2月20日,十層,七層
RPVPMLLJOHNFFAF48CA,1,31.17,見其他登記事項,鋼筋混凝土造,106年2月20日,十層,
