編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPPNMLOLNHNFFAF08CA,新雅段,.59,都市：住
RPUPMLLLNHNFFAF48CA,文化段,.30,都市：住
RPVOMLLLNHNFFAF48CA,中山段,26.60,都市：其他
RPTPMLLLNHNFFAF38CA,文化段,23.32,都市：住
RPSNMLPLNHNFFAF48CA,新雅段,16.00,都市：住
RPPQMLOLNHNFFAF38CA,幸福段,20.70,都市：住
RPPOMLMLNHNFFAF97CA,瑞興段,13.14,都市：住
RPWNMLMLNHNFFAF58CA,海山段,17.27,都市：住
RPTOMLMLNHNFFAF38CA,南天母段,38.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTTMLKMNHNFFAF78CA,府中段,9.08,都市：商
RPPPMLLMNHNFFAF08CA,港子嘴段,5.00,都市：住
RPPPMLLMNHNFFAF08CA,港子嘴段,10.50,都市：住
RPPPMLLMNHNFFAF08CA,港子嘴段,8.25,都市：住
RPQNMLLJOHNFFAF77CA,員和段,36.52,都市：其他
RPQNMLLJOHNFFAF77CA,員福段,12.34,都市：其他
RPQNMLLJOHNFFAF77CA,員福段,44.49,都市：其他
RPQNMLLJOHNFFAF77CA,員福段,12.42,都市：其他
RPQNMLLJOHNFFAF77CA,員福段,27.95,都市：其他
RPQNMLLJOHNFFAF77CA,學成段,71.18,都市：其他
RPQNMLLJOHNFFAF77CA,學成段,71.19,都市：其他
RPQNMLLJOHNFFAF77CA,板院段,25.37,都市：其他
RPQNMLLJOHNFFAF77CA,忠義段,173.21,都市：其他
RPVPMLLJOHNFFAF48CA,沛陂段,26.82,都市：住
RPTPMLNLNHNFFAF58CA,海山段,.25,都市：住
RPTPMLNLNHNFFAF58CA,海山段,27.50,都市：住
RPTPMLNLNHNFFAF58CA,海山段,.02,都市：住
RPWTMLMLNHNFFAF56CA,運校段,7.10,都市：住
RPSNMLNLNHNFFAF28CA,府中段,17.97,都市：住
RPSNMLNLNHNFFAF28CA,府中段,11.96,都市：住
RPSNMLNLNHNFFAF28CA,府中段,11.54,都市：住
RPTSMLQJOHNFFAF09CA,學成段,14.81,都市：住
RPXQMLRJOHNFFAF76CA,信義段,12.81,都市：住
RPSNNLMKOHNFFAF28CA,港子嘴段,67.00,都市：其他
RPSNNLMKOHNFFAF28CA,港子嘴段,60.00,都市：其他
RPOPMLKKOHNFFAF77CA,力行段,13.83,都市：住
RPROMLKKOHNFFAF97CA,江子翠段第二崁小段,25.75,都市：住
RPVQMLNKOHNFFAF88CA,力行段,24.36,都市：住
RPWQMLNKOHNFFAF98CA,力行段,13.17,都市：住
RPORMLNKOHNFFAF28CA,力行段,23.70,都市：住
RPQNMLOKOHNFFAF18CA,力行段,24.36,都市：住
RPVNMLOKOHNFFAF68CA,力行段,25.02,都市：住
RPWNMLOKOHNFFAF78CA,力行段,25.02,都市：住
RPQOMLOKOHNFFAF28CA,力行段,25.02,都市：住
RPTOMLOKOHNFFAF58CA,力行段,24.36,都市：住
RPPOMLOKOHNFFAF18CA,力行段,25.68,都市：住
RPOOMLOKOHNFFAF08CA,力行段,13.17,都市：住
RPXNMLOKOHNFFAF88CA,力行段,13.17,都市：住
RPRNMLOKOHNFFAF28CA,力行段,25.68,都市：住
RPSOMLOKOHNFFAF48CA,力行段,24.36,都市：住
RPTNMLOKOHNFFAF48CA,力行段,25.02,都市：住
RPUOMLOKOHNFFAF68CA,力行段,13.17,都市：住
RPSNMLOKOHNFFAF38CA,力行段,25.02,都市：住
RPOPMLOKOHNFFAF18CA,力行段,25.02,都市：住
RPXOMLOKOHNFFAF98CA,力行段,25.68,都市：住
RPPPMLOKOHNFFAF28CA,力行段,25.02,都市：住
RPTPMLOKOHNFFAF68CA,力行段,13.17,都市：住
RPQPMLOKOHNFFAF38CA,力行段,24.36,都市：住
RPRPMLOKOHNFFAF48CA,力行段,13.17,都市：住
RPSPMLOKOHNFFAF58CA,力行段,13.83,都市：住
