編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPNMLOLNHNFFAF08CA,坡道平面,1850000,38.72
RPTPMLLLNHNFFAF38CA,坡道平面,0,44.59
RPTPMLLLNHNFFAF38CA,坡道平面,0,44.59
RPTOMLMLNHNFFAF38CA,坡道平面,0,
RPVPMLLJOHNFFAF48CA,坡道平面,0,53.76
RPVPMLLJOHNFFAF48CA,坡道平面,0,53.76
RPWTMLMLNHNFFAF56CA,坡道機械,0,12.87
RPSNMLNLNHNFFAF28CA,坡道平面,2800000,24.81
RPSNMLNLNHNFFAF28CA,坡道平面,2800000,24.81
RPOPMLKKOHNFFAF77CA,坡道平面,0,31.65
RPVQMLNKOHNFFAF88CA,坡道平面,0,31.65
RPQNMLOKOHNFFAF18CA,坡道平面,0,31.65
RPVNMLOKOHNFFAF68CA,坡道平面,0,31.65
RPWNMLOKOHNFFAF78CA,坡道平面,0,31.65
RPTOMLOKOHNFFAF58CA,坡道平面,0,31.65
RPPOMLOKOHNFFAF18CA,坡道平面,0,31.65
RPRNMLOKOHNFFAF28CA,坡道平面,0,31.65
RPSOMLOKOHNFFAF48CA,坡道平面,0,31.65
RPOPMLOKOHNFFAF18CA,坡道平面,0,31.65
RPXOMLOKOHNFFAF98CA,坡道平面,0,31.65
RPPPMLOKOHNFFAF28CA,坡道平面,0,31.65
RPQPMLOKOHNFFAF38CA,坡道平面,0,31.65
RPSPMLOKOHNFFAF58CA,坡道平面,0,31.65
RPUPMLOKOHNFFAF78CA,坡道平面,0,31.65
RPXUMLOKOHNFFAF96CA,坡道平面,0,31.65
RPWNMLPKOHNFFAF88CA,坡道平面,1680000,45.97
RPUNMLPKOHNFFAF68CA,坡道平面,0,30.90
RPQPNLLLNHNFFBF28CA,坡道平面,0,
RPXPMLOKOHNFFAF09CA,坡道平面,0,31.65
RPRRMLMLNHNFFBF58CA,坡道平面,0,25.18
RPQRMLMLNHNFFBF48CA,坡道平面,0,26.45
RPXPMLMLNHNFFBF98CA,坡道平面,0,35.85
RPXPMLMLNHNFFBF98CA,坡道平面,0,35.85
RPTRMLMLNHNFFBF78CA,坡道平面,0,32.12
RPSRMLMLNHNFFBF68CA,一樓平面,0,
RPSRMLMLNHNFFBF68CA,一樓平面,0,
RPXNMLPLNHNFFBF09CA,坡道平面,0,55.07
RPRTMLNLNHNFFBF88CA,坡道平面,2100000,30.90
RPRTMLNLNHNFFBF88CA,坡道平面,2100000,30.90
RPUOMLPLNHNFFBF88CA,坡道平面,0,26.98
RPTRMLPLNHNFFBF09CA,坡道平面,1800000,23.17
RPWQMLSLNHNFFBF96CA,坡道平面,0,41.78
RPTOMLRJOHNFFBF88CA,坡道平面,1900000,27.16
RPUOMLRJOHNFFBF98CA,坡道平面,1900000,27.16
RPSNMLLMNHNFFBF28CA,坡道平面,0,24.33
RPTUMLTKOHNFFBF17CA,坡道平面,0,40.48
RPTUMLTKOHNFFBF17CA,坡道平面,0,40.48
RPTUMLTKOHNFFBF17CA,坡道平面,0,40.48
RPVNMLTLNHNFFCF76CA,坡道平面,0,35.44
RPRRMLKMNHNFFCF58CA,坡道平面,3100000,31.50
RPOQMLLMNHNFFBF18CA,坡道平面,2100000,28.54
RPTNMLLKOHNFFCF38CA,坡道平面,0,
RPTNMLNKOHNFFCF58CA,坡道平面,0,33.45
RPTNMLNKOHNFFCF58CA,坡道平面,0,
RPTNMLNKOHNFFCF58CA,坡道平面,0,
RPWOMLPJOHNFFCF09CA,坡道平面,0,35.77
RPQNMLSLNHNFFDF88CA,坡道平面,0,
RPTUNLNLNHNFFEF96CA,坡道平面,1350000,29.61
RPXPMLSJOHNFFDF07CA,一樓平面,0,28.97
RPUUNLNLNHNFFEF07CA,坡道平面,1350000,29.61
RPWUNLNLNHNFFEF27CA,坡道平面,1350000,29.61
RPXUNLNLNHNFFEF37CA,坡道平面,1350000,29.61
RPOVNLNLNHNFFEF56CA,坡道平面,1350000,29.61
RPOPMLPLNHNFFGF88CA,坡道平面,1600000,36.51
RPWOMLPLNHNFFGF96CA,坡道平面,1600000,36.51
RPUNMLQLNHNFFEF56CA,坡道平面,1300000,35.17
RPRNMLTLNHNFFGF76CA,坡道平面,2050000,27.79
RPRNMLTLNHNFFGF76CA,坡道平面,1850000,26.31
RPSPMLPLNHNFFGF66CA,坡道平面,1600000,36.51
RPVNMLRJOHNFFGF86CA,坡道平面,600000,31.31
RPQOMLRJOHNFFGF09CA,坡道平面,600000,31.31
SPROMLRJOHNFFGF66CA,坡道平面,600000,29.13
TPQOMLRJOHNFFGF66CA,坡道平面,600000,29.13
SPQOMLRJOHNFFGF56CA,坡道平面,600000,29.13
UPROMLRJOHNFFGF86CA,坡道平面,600000,29.13
RPPOMLLMNHNFFGF58CA,坡道平面,0,43.71
RPROMLRJOHNFFGF56CA,坡道平面,600000,31.31
TPSOMLRJOHNFFGF86CA,坡道平面,600000,31.31
VPROMLRJOHNFFGF96CA,坡道平面,600000,31.31
UPSOMLRJOHNFFGF96CA,坡道平面,600000,31.31
RPSOMLRJOHNFFGF66CA,坡道平面,600000,31.31
SPSOMLRJOHNFFGF76CA,坡道平面,600000,31.31
RPRPMLRJOHNFFGF66CA,坡道平面,600000,31.31
RPUOMLRJOHNFFGF86CA,坡道平面,600000,31.31
RPXOMLRJOHNFFGF17CA,坡道平面,600000,31.31
RPWOMLRJOHNFFGF07CA,坡道平面,600000,31.31
SPTOMLRJOHNFFGF86CA,坡道平面,600000,31.31
RPTOMLRJOHNFFGF76CA,坡道平面,600000,31.31
RPVOMLRJOHNFFGF96CA,坡道平面,600000,31.31
RPQPMLRJOHNFFGF56CA,坡道平面,600000,31.31
RPOPMLRJOHNFFGF98CA,坡道平面,600000,31.31
RPPPMLRJOHNFFGF09CA,坡道平面,600000,31.31
RPUPMLRJOHNFFGF96CA,坡道平面,2000000,31.31
RPSPMLRJOHNFFGF76CA,坡道平面,600000,29.13
RPWPMLRJOHNFFGF17CA,坡道平面,2000000,31.31
RPTPMLRJOHNFFGF86CA,坡道平面,2000000,31.31
RPVPMLRJOHNFFGF07CA,坡道平面,2000000,31.31
RPPPMLPKOHNFFGF98CA,坡道平面,0,
RPVOMLSJOHNFFGF07CA,坡道平面,2000000,29.13
RPWPMLQLOHNFFGF27CA,坡道平面,1800000,35.16
RPWPMLQLOHNFFGF27CA,坡道平面,1800000,35.16
RPROMLRLOHNFFGF76CA,坡道機械,0,25.30
RPPOMLSLNHNFFHF66CA,坡道平面,0,31.32
RPPOMLSLNHNFFHF66CA,坡道平面,0,31.32
RPXNMLNLNHNFFHF86CA,坡道平面,2200000,39.76
RPSPMLOKOHNFFHF66CA,坡道平面,2100000,41.21
RPUPMLOKOHNFFHF86CA,坡道平面,2200000,41.21
RPOOMLNLNHNFFHF68CA,坡道平面,1950000,39.76
RPTPMLOKOHNFFHF76CA,坡道平面,1900000,41.21
RPVPMLOKOHNFFHF96CA,坡道平面,1900000,41.21
RPWPMLOKOHNFFHF07CA,坡道平面,2300000,41.21
RPXOMLLKOHNFFIF86CA,坡道平面,0,42.32
RPQNMLQLNHNFFGF09DA,坡道平面,2000000,26.51
RPRPMLLMNHNFFBF48DA,坡道平面,0,
RPORMLSLNHNFFGF86DA,坡道機械,1000000,
RPORMLSLNHNFFGF86DA,坡道機械,1000000,
RPRPMLRJOHNFFIF86CA,坡道平面,1600000,29.09
RPSNMLLMNHNFFIF98CA,坡道平面,1400000,33.23
RPUOMLLLNHNFFIF66DA,坡道平面,1300000,30.05
RPPOMLMLNHNFFBF28EA,坡道平面,1500000,38.25
RPRPMLNLNHNFFIF66DA,坡道平面,1500000,15.10
RPVOMLMLNHNFFIF86DA,坡道平面,1300000,21.94
