鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.0,住,,,1060811,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.33,2,2,1,有,無,9790000,87330,坡道平面,39.41,1850000,,RPSQMLLLNHNFFBF58CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.0,住,,,1060813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.33,2,2,1,有,無,10060000,91399,坡道平面,39.41,1750000,,RPTQMLLLNHNFFBF68CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.29,住,,,1061010,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.35,3,2,2,有,無,12350000,84167,坡道平面,39.41,1750000,,RPUQMLLLNHNFFBF78CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.0,住,,,1060901,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.59,2,2,1,有,無,9790000,87330,坡道平面,40.67,1850000,,RPVQMLLLNHNFFBF88CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,17.68,住,,,1060821,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.01,3,2,2,有,無,13030000,91599,坡道平面,39.41,1800000,,RPWQMLLLNHNFFBF98CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.29,住,,,1060811,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.24,3,2,2,有,無,13150000,90598,坡道平面,39.41,1750000,,RPXQMLLLNHNFFBF09CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.29,住,,,1061020,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.5,3,2,2,有,無,14370000,99102,坡道平面,40.67,1900000,,RPORMLLLNHNFFBF28CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,17.68,住,,,1060905,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.27,3,2,2,有,無,13720000,96411,坡道平面,40.67,1900000,,RPPRMLLLNHNFFBF38CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.0,住,,,1060811,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.33,2,2,1,有,無,9620000,86560,坡道平面,39.41,1750000,,RPQRMLLLNHNFFBF48CB
