鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
五股區,建物,新北市五股區芳洲二路121~150號,0.0,住,,,1070427,土地0建物1車位1,五層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050616,177.0,3,2,2,有,有,無,25000,141,坡道平面,0.0,0,,RPRNMLLLNHNFFBF28CC
新莊區,房地(土地+建物),新北市新莊區建國二路31~60號,297.26,工,,,1070521,土地1建物1車位0,一層,3,工廠,見其他登記事項,鋼筋混凝土造,0741125,194.3,0,0,0,無,無,無,45000,,,0.0,0,,RPXNMLLLNHNFFBF88CC
板橋區,建物,新北市板橋區金門街61~90號,0.0,住,,,1070508,土地0建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000810,181.8,3,2,2,有,有,有,27000,149,坡道平面,44.69,0,租金含管理費,RPPNMLLLNHNFFAF97CC
板橋區,建物,新北市板橋區金華街75巷23弄1~30號,0.0,住,,,1070428,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730625,97.06,3,2,2,有,無,無,30000,309,,0.0,0,,RPQNMLLLNHNFFAF08CC
新店區,建物,新北市新店區環河路1~30號,0.0,住,,,1070507,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021009,101.61,2,1,1,有,有,有,31000,305,升降機械,12.63,0,租金含管理費,RPRNMLLLNHNFFCF38CC
淡水區,房地(土地+建物),新北市淡水區淡金路一段571~600號,17.21,住,,,1070513,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,91.66,2,1,1,有,有,有,16000,175,,0.0,0,,RPPNMLLLNHNFFEF38CC
中和區,建物,新北市中和區中山路二段421~450號,0.0,工,,,1070509,土地0建物2車位0,三層,9,廠辦,工業用,鋼筋混凝土造,0850306,554.9399999999999,0,0,0,無,有,無,100000,180,,0.0,0,,RPSOMLLLNHNFFHF09CC
永和區,建物,新北市永和區永貞路391~420號,0.0,住,,,1070421,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880507,156.26,3,2,2,有,有,無,44273,283,,0.0,0,,RPWOMLLLNHNFFHF86CC
中和區,房地(土地+建物)+車位,新北市中和區中山路二段327巷11弄1~30號,0.0,工,,,1070504,土地1建物1車位1,四層,5,廠辦,工業用,鋼筋混凝土造,0780404,366.36,0,0,0,無,有,有,63425,173,坡道平面,0.0,0,免費供應設備：冷氣兩台、電熱水器一台。,RPUPMLLLNHNFFHF76CC
中和區,建物,新北市中和區連城路569巷9弄31~60號,0.0,住,,,1070503,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730702,80.66,2,1,1,有,無,有,16200,201,,0.0,0,,RPVPMLLLNHNFFHF86CC
汐止區,建物,新北市汐止區樟樹一路129巷1~30號,0.0,住,,,1070511,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741108,93.78,3,2,1,有,無,無,15000,160,,0.0,0,,RPUOMLLLNHNFFDF88CC
三重區,建物,新北市三重區重新路四段85巷1~30號,0.0,住,,,1070516,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700703,84.0,3,1,1,有,無,有,25000,298,,0.0,0,,RPROMLLLNHNFFGF88CC
三重區,建物,新北市三重區中央南路61~90號,0.0,住,,,1070402,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0810106,141.38,1,2,1,有,有,無,40000,283,,0.0,0,,RPVOMLLLNHNFFGF66CC
三重區,建物,新北市三重區重新路四段211~240號,0.0,商,,,1070521,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0990326,249.82999999999998,0,0,0,無,有,有,70000,280,,0.0,0,,RPQPMLLLNHNFFGF88CC
三重區,建物,新北市三重區三和路四段91~120號,0.0,工,,,1070502,土地0建物2車位0,二層,10,工廠,見其他登記事項,鋼筋混凝土造,0800507,326.19,0,0,0,無,無,有,77500,,,0.0,0,,RPTPMLLLNHNFFGF56CC
三重區,建物,新北市三重區光復路一段61巷1~30號,0.0,工,,,1070418,土地0建物2車位0,六層,15,廠辦,見其他登記事項,見其他登記事項,1020812,1689.5700000000002,0,0,0,無,有,無,408880,242,,0.0,0,,RPXQMLLLNHNFFGF07CC
三峽區,房地(土地+建物)+車位,新北市三峽區學成路331~360號,11.62,商,,,1070428,土地1建物1車位1,三層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010724,141.42,4,2,2,有,有,無,20000,141,坡道平面,34.77,0,,RPTOMLLLNHNFFIF66CC
三重區,建物,新北市三重區文化北路224巷1~30號,0.0,住,,,1070410,土地0建物1車位0,三層,4,店面(店鋪),住家用,加強磚造,,101.04,0,0,0,無,無,無,35000,346,,0.0,0,含未登記建物,RPQOMLLLNHNFFGF88DC
板橋區,土地,忠孝段1381~1410地號,43.0,住,,,1070416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,698,,0.0,0,"含未辦理保存登記建物,租賃層次1-2樓,撤銷原申報書序號C1FA10704170049",RPXOMLMLNHNFFAF56EC
土城區,建物,新北市土城區明德路二段31~60號,0.0,住,,,1070328,土地0建物1車位0,三層,21,辦公商業大樓,見其他登記事項,見其他登記事項,0870221,203.62,0,0,0,無,無,無,35000,172,,0.0,0,,RPWQMLMLNHNFFAF66EC
三峽區,房地(土地+建物),新北市三峽區中華路48巷1~30號,31.87,住,,,1070424,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.94,2,2,1,有,無,無,15000,171,,0.0,0,,RPXNMLMLNHNFFIF07CC
蘆洲區,建物,新北市蘆洲區長樂路91~120號,0.0,住,,,1070513,土地0建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950427,200.0,3,2,2,有,有,有,33660,168,坡道平面,35.17,0,租賃期間含免租裝潢期一個月,RPWNMLMLNHNFFGF76CC
蘆洲區,建物,新北市蘆洲區長榮路691~720號,0.0,住,,,1070509,土地0建物0車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0971014,122.04,0,1,1,有,無,無,51000,418,,0.0,0,,RPWPMLMLNHNFFGF96CC
汐止區,建物,新北市汐止區大同路二段184巷1~30號,0.0,住,,,1070520,土地0建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,90.82,1,2,1,有,有,有,21000,231,,0.0,0,,RPSNMLMLNHNFFDF68CC
汐止區,建物,新北市汐止區大同路二段187巷6弄1~30號,0.0,住,,,1070520,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050122,46.38,1,0,1,有,無,無,12500,270,,0.0,0,僅承租2樓面積之1/2,RPWNMLMLNHNFFDF09CC
汐止區,建物,新北市汐止區中興路110巷8弄1~30號,0.0,住,,,1070515,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850625,157.68,3,2,2,有,有,有,23000,146,坡道平面,0.0,0,,RPQOMLMLNHNFFDF58CC
中和區,建物,新北市中和區中山路二段1~30號,0.0,商,,,1070514,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620322,85.32,2,2,1,有,無,有,17000,199,,0.0,0,,RPTNMLMLNHNFFHF56CC
永和區,建物,新北市永和區中正路481~510號,0.0,商,,,1070422,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0680327,60.42,0,0,0,無,無,有,15000,248,,0.0,0,,RPWPMLMLNHNFFHF07CC
中和區,建物,新北市中和區景平路239巷1~30號,0.0,住,,,1070422,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980320,35.2,1,1,1,有,無,有,15000,426,,0.0,0,,RPXPMLMLNHNFFHF17CC
中和區,建物,新北市中和區中山路二段332巷1~30號,0.0,工,,,1070507,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060118,122.38,2,1,1,有,無,有,25000,204,,0.0,0,,RPPQMLMLNHNFFHF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段148巷50弄61~90號,39.14,住,,,1070519,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051025,126.89,3,2,2,有,有,有,16000,126,坡道平面,24.19,0,,RPXPMLMLNHNFFEF86CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段151~180號,24.03,住,,,1070504,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,110.94,2,2,2,有,有,無,19500,176,坡道平面,29.92,0,,RPTQMLMLNHNFFEF56CC
淡水區,房地(土地+建物),新北市淡水區中正東路二段61~90號,2.68,住,,,1070521,土地1建物1車位0,三十層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880704,42.85,1,1,1,有,有,有,14500,338,,0.0,0,,RPORMLMLNHNFFEF78CC
淡水區,建物,新北市淡水區新市一路三段1~30號,0.0,住,,,1070510,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961005,98.63,2,2,1,有,有,有,14000,142,坡道平面,23.45,0,,RPRRMLMLNHNFFEF09CC
土城區,建物,新北市土城區清水路91~120號,0.0,商,,,1070505,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030110,134.4,3,2,2,有,有,有,25000,186,,0.0,0,,RPPTMLMLNHNFFAF68CC
土城區,建物,新北市土城區中央路三段151~180號,0.0,其他,,,1070506,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940120,83.71000000000001,2,2,1,有,有,無,17000,203,,0.0,0,,RPRTMLMLNHNFFAF88CC
五股區,建物,新北市五股區新城八路1~30號,0.0,商,,,1070428,土地0建物1車位1,十四層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060104,131.56,2,1,1,有,有,無,18000,137,坡道平面,0.0,0,,RPPNMLMLNHNFFBF18CC
五股區,建物,新北市五股區新城八路1~30號,0.0,商,,,1070501,土地0建物1車位1,九層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060104,131.56,3,2,1,有,有,無,18000,137,坡道平面,0.0,0,,RPSNMLMLNHNFFBF48CC
五股區,建物,新北市五股區芳洲五路61~90號,0.0,住,,,1070512,土地0建物1車位1,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021014,264.01,2,1,1,有,有,無,28000,106,坡道平面,0.0,0,,RPTNMLMLNHNFFBF58CC
