編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLLLNHNFFBF28CC,2,94.99,見其他登記事項,鋼筋混凝土造,105年6月16日,十三層,
RPRNMLLLNHNFFBF28CC,2,82.01,見其他登記事項,鋼筋混凝土造,105年6月16日,十四層,
RPXNMLLLNHNFFBF88CC,32,194.30,見其他登記事項,鋼筋混凝土造,74年11月25日,二層,
RPPNMLLLNHNFFAF97CC,7,98.25,住家用,鋼筋混凝土造,100年8月10日,十二層,
RPPNMLLLNHNFFAF97CC,7,18.17,見其他登記事項,鋼筋混凝土造,100年8月10日,十二層,
RPPNMLLLNHNFFAF97CC,7,65.38,見其他登記事項,鋼筋混凝土造,100年8月10日,十二層,
RPPNMLLLNHNFFEF38CC,3,63.38,住家用,鋼筋混凝土造,104年10月1日,十五層,
RPPNMLLLNHNFFEF38CC,3,28.28,見其他登記事項,鋼筋混凝土造,104年10月1日,十五層,
RPRNMLLLNHNFFCF38CC,5,62.37,住家用,鋼筋混凝土造,102年10月9日,十二層,
RPRNMLLLNHNFFCF38CC,5,26.69,見其他登記事項,鋼筋混凝土造,102年10月9日,十二層,
RPRNMLLLNHNFFCF38CC,5,12.55,見其他登記事項,鋼筋混凝土造,102年10月9日,十二層,
RPVPMLLLNHNFFHF86CC,34,80.66,住家用,鋼筋混凝土造,73年7月2日,五層,
RPQNMLLLNHNFFAF08CC,34,97.06,住家用,鋼筋混凝土造,73年6月25日,五層,
RPUPMLLLNHNFFHF76CC,29,264.90,工業用,鋼筋混凝土造,78年4月4日,五層,
RPUPMLLLNHNFFHF76CC,29,23.66,工業用,鋼筋混凝土造,78年4月4日,五層,
RPUPMLLLNHNFFHF76CC,29,77.80,共有部分,鋼筋混凝土造,78年4月4日,五層,
RPWOMLLLNHNFFHF86CC,19,127.63,住家用,鋼筋混凝土造,88年5月7日,十三層,
RPWOMLLLNHNFFHF86CC,19,28.63,共有部分,鋼筋混凝土造,88年5月7日,十三層,
RPSOMLLLNHNFFHF09CC,22,212.33,工業用,鋼筋混凝土造,85年3月6日,九層,
RPSOMLLLNHNFFHF09CC,22,74.05,共有部分,鋼筋混凝土造,85年3月6日,九層,
RPSOMLLLNHNFFHF09CC,22,199.07,工業用,鋼筋混凝土造,85年3月6日,九層,
RPSOMLLLNHNFFHF09CC,22,69.49,共有部分,鋼筋混凝土造,85年3月6日,九層,
RPROMLLLNHNFFGF88CC,37,84.00,住家用,鋼筋混凝土造,70年7月3日,五層,
RPQPMLLLNHNFFGF88CC,8,199.76,商業用,鋼筋混凝土造,99年3月26日,十四層,
RPQPMLLLNHNFFGF88CC,8,50.07,見其他登記事項,鋼筋混凝土造,99年3月26日,十四層,
RPVOMLLLNHNFFGF66CC,26,116.59,商業用,鋼筋混凝土造,81年1月6日,七層,
RPVOMLLLNHNFFGF66CC,26,24.79,共有部分,鋼筋混凝土造,81年1月6日,七層,
RPUOMLLLNHNFFDF88CC,33,93.78,住家用,鋼筋混凝土造,74年11月8日,五層,
RPTPMLLLNHNFFGF56CC,27,134.21,見其他登記事項,鋼筋混凝土造,80年5月7日,十層,
RPTPMLLLNHNFFGF56CC,27,134.31,見其他登記事項,鋼筋混凝土造,80年5月7日,十層,
RPTPMLLLNHNFFGF56CC,27,57.67,共有部分,鋼筋混凝土造,80年5月7日,十層,
RPQOMLLLNHNFFGF88DC,,101.04,住家用,加強磚造,,四層,
RPXNMLMLNHNFFIF07CC,,87.94,住家用,鋼筋混凝土造,,五層,
RPTOMLLLNHNFFIF66CC,6,141.42,見其他登記事項,鋼筋混凝土造,101年7月24日,二十八層,
RPWQMLMLNHNFFAF66EC,20,123.64,見其他登記事項,見其他登記事項,87年2月21日,二十一層,
RPWQMLMLNHNFFAF66EC,20,20.19,見其他登記事項,見其他登記事項,87年2月21日,二十一層,
RPWQMLMLNHNFFAF66EC,20,59.79,共有部份,見其他登記事項,87年2月21日,二十一層,
RPXQMLLLNHNFFGF07CC,5,486.27,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPXQMLLLNHNFFGF07CC,5,476.08,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPXQMLLLNHNFFGF07CC,5,367.47,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPXQMLLLNHNFFGF07CC,5,359.75,見其他登記事項,見其他登記事項,102年8月12日,十五層,
RPWNMLMLNHNFFGF76CC,12,133.30,住家用,鋼筋混凝土造,95年4月27日,八層,
RPWNMLMLNHNFFGF76CC,12,66.70,共有部分,鋼筋混凝土造,95年4月27日,八層,
RPSNMLMLNHNFFDF68CC,20,90.82,住家用,鋼筋混凝土造,87年9月3日,二十二層,
RPWPMLMLNHNFFGF96CC,10,122.04,住家用,鋼筋混凝土造,97年10月14日,四層,
RPWNMLMLNHNFFDF09CC,2,46.38,住家用,鋼筋混凝土造,105年1月22日,五層,
RPXPMLMLNHNFFEF86CC,2,126.89,住家用,鋼筋混凝土造,105年10月25日,十三層,
RPTNMLMLNHNFFHF56CC,45,85.32,住家用,鋼筋混凝土造,62年3月22日,四層,
RPQOMLMLNHNFFDF58CC,22,94.68,住家用,鋼筋混凝土造,85年6月25日,七層,
RPQOMLMLNHNFFDF58CC,22,3.46,見其他登記事項,鋼筋混凝土造,85年6月25日,七層,
RPQOMLMLNHNFFDF58CC,22,55.19,見其他登記事項,鋼筋混凝土造,85年6月25日,七層,
RPQOMLMLNHNFFDF58CC,22,4.35,見其他登記事項,鋼筋混凝土造,85年6月25日,七層,
RPTQMLMLNHNFFEF56CC,6,76.24,住家用,鋼筋混凝土造,101年11月1日,十四層,
RPTQMLMLNHNFFEF56CC,6,20.79,見其他登記事項,鋼筋混凝土造,101年11月1日,十四層,
RPTQMLMLNHNFFEF56CC,6,13.91,見其他登記事項,鋼筋混凝土造,101年11月1日,十四層,
RPPQMLMLNHNFFHF09CC,1,122.38,見其他登記事項,見其他登記事項,106年1月18日,十五層,
RPXPMLMLNHNFFHF17CC,9,35.20,住家用,鋼筋混凝土造,98年3月20日,十三層,
RPRRMLMLNHNFFEF09CC,11,53.62,住家用,鋼筋混凝土造,96年10月5日,十三層,
RPRRMLMLNHNFFEF09CC,11,10.42,共有部分,鋼筋混凝土造,96年10月5日,十三層,
RPRRMLMLNHNFFEF09CC,11,4.86,共有部分,鋼筋混凝土造,96年10月5日,十三層,
RPRRMLMLNHNFFEF09CC,11,29.73,共有部分,鋼筋混凝土造,96年10月5日,十三層,
RPORMLMLNHNFFEF78CC,19,31.76,住家用,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPORMLMLNHNFFEF78CC,19,2.81,共有部分,鋼骨鋼筋混凝土造,88年7月4日,二十六層,
RPORMLMLNHNFFEF78CC,19,8.28,共有部分,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPPTMLMLNHNFFAF68CC,4,92.86,住家用,鋼筋混凝土造,103年1月10日,十五層,
RPPTMLMLNHNFFAF68CC,4,28.01,見其他登記事項,鋼筋混凝土造,103年1月10日,十五層,
RPPTMLMLNHNFFAF68CC,4,13.53,見其他登記事項,鋼筋混凝土造,103年1月10日,十五層,
RPWPMLMLNHNFFHF07CC,39,60.42,住商用,鋼筋混凝土造,68年3月27日,四層,
RPRTMLMLNHNFFAF88CC,13,13.03,共有部分,鋼筋混凝土造,94年1月20日,十六層,
RPRTMLMLNHNFFAF88CC,13,56.49,住家用,鋼筋混凝土造,94年1月20日,十六層,
RPRTMLMLNHNFFAF88CC,13,14.19,共有部分,鋼筋混凝土造,94年1月20日,十六層,
RPPNMLMLNHNFFBF18CC,1,66.50,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPPNMLMLNHNFFBF18CC,1,50.17,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPPNMLMLNHNFFBF18CC,1,14.89,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPTNMLMLNHNFFBF58CC,5,168.11,見其他登記事項,鋼筋混凝土造,102年10月14日,十五層,
RPTNMLMLNHNFFBF58CC,5,95.90,見其他登記事項,鋼筋混凝土造,102年10月14日,十五層,
RPVNMLMLNHNFFBF78CC,1,58.79,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPVNMLMLNHNFFBF78CC,1,48.65,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPVNMLMLNHNFFBF78CC,1,13.08,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPSNMLMLNHNFFBF48CC,1,66.50,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPSNMLMLNHNFFBF48CC,1,50.17,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPSNMLMLNHNFFBF48CC,1,14.89,見其他登記事項,鋼筋混凝土造,106年1月4日,十九層,
RPPOMLMLNHNFFBF28CC,3,65.89,見其他登記事項,鋼筋混凝土造,104年5月14日,十二層,
RPPOMLMLNHNFFBF28CC,3,56.48,見其他登記事項,鋼筋混凝土造,104年5月14日,十五層,
RPWOMLMLNHNFFBF98CC,40,69.02,住家用,鋼筋混凝土造,67年2月1日,四層,
RPXNMLMLNHNFFBF98CC,5,152.28,見其他登記事項,鋼筋混凝土造,102年10月24日,十三層,
RPXNMLMLNHNFFBF98CC,5,43.50,見其他登記事項,鋼筋混凝土造,102年10月24日,十六層,
RPXNMLMLNHNFFBF98CC,5,4.62,見其他登記事項,鋼筋混凝土造,102年10月24日,十六層,
RPXNMLMLNHNFFBF98CC,5,23.60,見其他登記事項,鋼筋混凝土造,102年10月24日,十三層,
RPXNMLMLNHNFFBF98CC,5,7.02,見其他登記事項,鋼筋混凝土造,102年10月24日,十六層,
RPXNMLMLNHNFFBF98CC,5,90.46,見其他登記事項,鋼筋混凝土造,102年10月24日,十六層,
RPQPMLMLNHNFFBF48CC,,98.56,見其他登記事項,鋼筋混凝土造,106年11月17日,二十六層,
RPQPMLMLNHNFFBF48CC,,67.27,見其他登記事項,鋼筋混凝土造,106年11月17日,二十六層,
