編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLLLNHNFFBF28CC,芳洲段,.00,都市：住
RPXNMLLLNHNFFBF88CC,建國段,297.26,都市：工
RPPNMLLLNHNFFAF97CC,篤行段,.00,都市：住
RPPNMLLLNHNFFEF38CC,公司田段,17.21,都市：住
RPRNMLLLNHNFFCF38CC,北宜段,.00,都市：住
RPRNMLLLNHNFFCF38CC,北宜段,.00,都市：住
RPRNMLLLNHNFFCF38CC,北宜段,.00,都市：住
RPRNMLLLNHNFFCF38CC,北宜段,.00,都市：住
RPRNMLLLNHNFFCF38CC,北宜段,.00,都市：住
RPVPMLLLNHNFFHF86CC,國道段,.00,都市：住
RPQNMLLLNHNFFAF08CC,大庭段,.00,都市：住
RPUPMLLLNHNFFHF76CC,健康段,.00,都市：工
RPWOMLLLNHNFFHF86CC,保平段,.00,都市：住
RPSOMLLLNHNFFHF09CC,板南段,.00,都市：工
RPROMLLLNHNFFGF88CC,成功段,.00,都市：住
RPROMLLLNHNFFGF88CC,成功段,.00,都市：住
RPQPMLLLNHNFFGF88CC,重新段壹小段,.00,都市：商
RPVOMLLLNHNFFGF66CC,福德南段,.00,都市：商
RPVOMLLLNHNFFGF66CC,福德南段,.00,都市：住
RPUOMLLLNHNFFDF88CC,厚德段,.00,都市：住
RPTPMLLLNHNFFGF56CC,幸福段,.00,都市：工
RPQOMLLLNHNFFGF88DC,正義段,.00,都市：住
RPXNMLMLNHNFFIF07CC,安溪段,31.87,都市：住
RPXOMLMLNHNFFAF56EC,忠孝段,43.00,都市：住
RPTOMLLLNHNFFIF66CC,大學段一小段,11.62,都市：商
RPWQMLMLNHNFFAF66EC,樂利段,.00,都市：住
RPXQMLLLNHNFFGF07CC,興德段,.00,都市：工
RPWNMLMLNHNFFGF76CC,正義段,.00,都市：住
RPSNMLMLNHNFFDF68CC,智興段,.00,都市：商
RPSNMLMLNHNFFDF68CC,智興段,.00,都市：住
RPWPMLMLNHNFFGF96CC,正義段,.00,都市：住
RPWNMLMLNHNFFDF09CC,智興段,.00,都市：住
RPXPMLMLNHNFFEF86CC,淡海段,39.14,都市：住
RPTNMLMLNHNFFHF56CC,瓦段,.00,都市：商
RPTNMLMLNHNFFHF56CC,瓦段,.00,都市：商
RPTNMLMLNHNFFHF56CC,瓦段,.00,都市：商
RPQOMLMLNHNFFDF58CC,福德段,.00,都市：住
RPTQMLMLNHNFFEF56CC,公司田段,24.03,都市：住
RPPQMLMLNHNFFHF09CC,橋和段,.00,都市：工
RPXPMLMLNHNFFHF17CC,大華段,.00,都市：住
RPRRMLMLNHNFFEF09CC,公司田段,.00,都市：住
RPORMLMLNHNFFEF78CC,水仙段,2.26,都市：住
RPORMLMLNHNFFEF78CC,水仙段,.42,都市：住
RPPTMLMLNHNFFAF68CC,青雲段,.00,都市：商
RPWPMLMLNHNFFHF07CC,永利段,.00,都市：商
RPRTMLMLNHNFFAF88CC,永寧段,.00,都市：住
RPRTMLMLNHNFFAF88CC,永寧段,.00,都市：其他
RPRTMLMLNHNFFAF88CC,永寧段,.00,都市：其他
RPRTMLMLNHNFFAF88CC,永寧段,.00,都市：其他
RPPNMLMLNHNFFBF18CC,芳洲段,.00,都市：商
RPTNMLMLNHNFFBF58CC,芳洲段,.00,都市：住
RPVNMLMLNHNFFBF78CC,芳洲段,.00,都市：商
RPSNMLMLNHNFFBF48CC,芳洲段,.00,都市：商
RPPOMLMLNHNFFBF28CC,芳洲段,.00,都市：住
RPWOMLMLNHNFFBF98CC,泰山段一小段,.00,都市：住
RPXNMLMLNHNFFBF98CC,中原段,.00,都市：住
RPQPMLMLNHNFFBF48CC,建林段,.00,都市：住
RPUOMLMLNHNFFBF78CC,芳洲段,.00,都市：住
RPPRMLMLNHNFFBF58CC,黎明段,21.17,都市：住
RPPTMLNLNHNFFBF88CC,榮富段,.00,都市：住
RPSTMLNLNHNFFBF56CC,丹鳳段,.00,都市：住
RPVSMLNLNHNFFBF76CC,丹鳳段,.00,都市：住
RPSNMLNLNHNFFBF58CC,富國段,.00,都市：商
RPWTMLNLNHNFFBF96CC,建林段,10.90,都市：住
RPRNMLNLNHNFFHF09CC,長堤段,.00,都市：住
RPUNMLNLNHNFFEF09CC,新興段,.07,都市：住
RPUNMLNLNHNFFEF09CC,新興段,27.66,都市：住
RPOPMLNLNHNFFHF98CC,公園段,.00,都市：住
RPRNMLOLNHNFFIF66CC,大學段二小段,20.28,都市：住
RPXNMLNLNHNFFGF96CC,大同南段,.00,都市：商
RPPPMLNLNHNFFAF38CC,學成段,.00,都市：住
RPPOMLNLNHNFFIF09CC,大學段一小段,15.70,都市：商
RPWOMLOLNHNFFHF17CC,長堤段,.00,都市：住
RPTOMLOLNHNFFHF86CC,民權段,.00,都市：住
RPTRMLNLNHNFFGF96CC,保佑段,9.79,都市：住
RPXOMLOLNHNFFHF27CC,安樂段,.00,都市：住
RPXOMLOLNHNFFHF27CC,安樂段,.00,都市：住
RPOPMLOLNHNFFHF09CC,國光段,.00,都市：住
RPOPMLOLNHNFFHF09CC,國光段,.00,都市：住
RPQPMLOLNHNFFHF66CC,保健段,.00,都市：住
RPPPMLOLNHNFFHF56CC,瓦段,.00,都市：住
RPXOMLOLNHNFFEF96CC,新巿段,.00,非都市： ; 非都市編定：
RPWQMLOLNHNFFEF07CC,公司田段,28.78,都市：住
RPVPMLOLNHNFFEF86CC,大義段,.00,非都市： ; 非都市編定：
RPROMLPLNHNFFCF88CC,寶橋段,.00,都市：工
RPUNMLOLNHNFFCF98CC,中正段,.00,都市：住
RPUNMLOLNHNFFCF98CC,中正段,.00,都市：其他
RPUNMLOLNHNFFCF98CC,中華段,.00,都市：其他
RPUOMLPLNHNFFCF56CC,寶強段,.00,都市：住
