編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPRNMLLLNHNFFBF28CC,坡道平面,0,
RPPNMLLLNHNFFAF97CC,坡道平面,0,44.69
RPRNMLLLNHNFFCF38CC,升降機械,0,12.63
RPUPMLLLNHNFFHF76CC,坡道平面,0,
RPTOMLLLNHNFFIF66CC,坡道平面,0,34.77
RPWNMLMLNHNFFGF76CC,坡道平面,0,35.17
RPXPMLMLNHNFFEF86CC,坡道平面,0,24.19
RPQOMLMLNHNFFDF58CC,坡道平面,0,
RPTQMLMLNHNFFEF56CC,坡道平面,0,29.92
RPRRMLMLNHNFFEF09CC,坡道平面,0,23.45
RPPNMLMLNHNFFBF18CC,坡道平面,0,
RPTNMLMLNHNFFBF58CC,坡道平面,0,
RPVNMLMLNHNFFBF78CC,坡道平面,0,
RPSNMLMLNHNFFBF48CC,坡道平面,0,
RPPOMLMLNHNFFBF28CC,坡道平面,0,
RPXNMLMLNHNFFBF98CC,坡道平面,0,45.23
RPXNMLMLNHNFFBF98CC,坡道平面,0,45.23
RPQPMLMLNHNFFBF48CC,坡道平面,0,30.97
RPUOMLMLNHNFFBF78CC,坡道平面,0,
RPSTMLNLNHNFFBF56CC,坡道平面,0,39.78
RPVSMLNLNHNFFBF76CC,升降機械,2200,26.06
RPWTMLNLNHNFFBF96CC,坡道平面,0,
RPOPMLNLNHNFFHF98CC,升降機械,0,
RPRNMLOLNHNFFIF66CC,坡道平面,0,33.20
RPPOMLNLNHNFFIF09CC,坡道平面,0,39.03
RPXOMLOLNHNFFEF96CC,坡道平面,0,
RPWQMLOLNHNFFEF07CC,坡道平面,0,31.91
RPROMLPLNHNFFCF88CC,坡道平面,0,
RPROMLPLNHNFFCF88CC,坡道平面,0,
RPUNMLOLNHNFFCF98CC,坡道平面,0,25.97
RPSNMLPLNHNFFEF09CC,坡道平面,0,38.21
RPWNMLPLNHNFFEF86CC,坡道機械,0,15.42
RPVOMLPLNHNFFEF86CC,坡道平面,0,31.81
RPOSMLSLNHNFFBF56CC,坡道平面,0,43.64
RPPSMLSLNHNFFBF66CC,坡道平面,0,39.97
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPTSMLSLNHNFFBF07CC,坡道平面,0,
RPSSMLSLNHNFFBF96CC,坡道平面,0,41.78
RPQQMLSLNHNFFDF76CC,坡道平面,0,
RPQQMLSLNHNFFDF76CC,坡道平面,0,
RPQQMLSLNHNFFDF76CC,坡道平面,0,
RPTPMLSLNHNFFDF17EC,坡道平面,3000,42.69
RPWNMLTLNHNFFEF27CC,坡道平面,0,31.80
RPQOMLTLNHNFFEF76CC,坡道平面,0,29.20
RPPOMLTLNHNFFCF09CC,坡道平面,0,
RPTNMLKMNHNFFBF48CC,坡道平面,0,38.70
RPPNMLKMNHNFFBF08CC,坡道平面,0,39.78
RPXNMLKMNHNFFIF96CC,坡道平面,0,26.10
RPTQMLKMNHNFFAF88EC,坡道平面,0,
RPTQMLKMNHNFFAF88EC,坡道平面,0,
RPUOMLLMNHNFFEF09CC,坡道平面,0,25.69
RPSRMLLMNHNFFEF56CC,坡道平面,0,15.42
RPQRMLLMNHNFFEF98CC,坡道平面,0,30.14
