編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLNLNHNFFAG08CA,43,92.49,住家用,見其他登記事項,64年2月27日,四層,四層
RPTOMLPLNHNFFAG78CA,2,174.73,住家用,見其他登記事項,104年11月6日,三層,一層 二層 三層
RPQPMLSLNHNFFAG88CA,37,105.26,住家用,加強磚造,69年12月31日,二層,一層 二層
RPQPMLSLNHNFFAG88CA,37,104.10,住家用,加強磚造,69年12月30日,二層,一層 二層
RPROMLPLNHNFFAG58CA,37,207.90,住家用,鋼筋混凝土加強磚造,70年2月18日,三層,騎樓 一層 二層 三層
RPPNMLNLNHNFFAG08CA,41,137.97,住家用,鋼筋混凝土造,66年9月23日,三層,一層 二層 三層
RPPNMLSLNHNFFAG58CA,38,116.34,住家用,鋼筋混凝土造,69年10月24日,五層,四層
RPQOMLNLNHNFFAG28CA,22,82.36,住家用,鋼筋混凝土造,85年8月20日,四層,四層
RPQOMLNLNHNFFAG28CA,22,19.24,見其他登記事項,鋼筋混凝土造,85年8月20日,四層,
RPXNMLMLNHNFFAG78CA,22,39.46,住家用,鋼筋混凝土造,85年4月1日,八層,六層
RPXNMLMLNHNFFAG78CA,22,5.22,見其他登記事項,鋼筋混凝土造,85年4月1日,八層,
RPXNMLMLNHNFFAG78CA,22,4.37,見其他登記事項,鋼筋混凝土造,85年4月1日,八層,
RPPOMLMLNHNFFAG08CA,20,100.78,住家用,鋼筋混凝土造,86年12月24日,六層,五層
RPPOMLMLNHNFFAG08CA,20,11.88,見其他登記事項,鋼筋混凝土造,86年12月24日,六層,
RPPOMLMLNHNFFAG08CA,20,23.32,見其他登記事項,鋼筋混凝土造,86年12月24日,六層,
RPOOMLSJOHNFFAG48CA,2,175.45,住家用,見其他登記事項,104年12月29日,三層,一層 二層 三層 見其他登記事項
RPQOMLRJOHNFFAG58CA,22,57.85,住家用,鋼筋混凝土造,85年10月3日,十二層,二層
RPQOMLRJOHNFFAG58CA,22,11.56,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPQOMLRJOHNFFAG58CA,22,10.68,見其他登記事項,鋼筋混凝土造,85年10月3日,十二層,
RPTPMLRJOHNFFAG98CA,23,112.65,住家用,鋼筋混凝土造,83年12月27日,六層,五層
RPTPMLRJOHNFFAG98CA,23,17.24,見其他登記事項,鋼筋混凝土造,83年12月27日,六層,
RPWOMLOLNHNFFBG09CA,28,141.89,住家用,鋼筋混凝土造,79年7月30日,二層,一層 二層
RPWOMLRJOHNFFAG56CA,23,91.77,住家用,鋼筋混凝土造,84年3月21日,五層,一層
RPWOMLRJOHNFFAG56CA,23,13.55,見其他登記事項,鋼筋混凝土造,84年3月21日,五層,
RPPOMLPLNHNFFBG48CA,22,80.47,住家用,鋼筋混凝土造,84年12月12日,八層,三層
RPPOMLPLNHNFFBG48CA,22,28.57,共有部分,鋼筋混凝土造,84年12月12日,八層,
RPSOMLNLNHNFFBG58CA,35,67.84,住家用,鋼筋混凝土造,72年8月8日,四層,二層
RPSOMLNLNHNFFBG58CA,35,5.16,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPSOMLNLNHNFFBG58CA,35,4.95,共有部分,鋼筋混凝土造,72年8月8日,四層,
RPVPMLPLNHNFFBG56CA,,127.76,見其他登記事項,鋼筋混凝土造,107年1月23日,十四層,十二層
RPVPMLPLNHNFFBG56CA,,120.74,見其他登記事項,鋼筋混凝土造,107年1月23日,十四層,
