編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPOOMLNLNHNFFAG08CA,北成段,37.00,都市：住
RPOOMLNLNHNFFAG08CA,北成段,7.69,都市：住
RPRPMLSLNHNFFAG98CA,大吉一段,2654.71,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLPLNHNFFAG78CA,北富段,.12,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLPLNHNFFAG78CA,北富段,79.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLPLNHNFFAG78CA,北富段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQPMLSLNHNFFAG88CA,坪林段,45.21,都市：住
RPQPMLSLNHNFFAG88CA,坪林段,60.98,都市：住
RPQPMLSLNHNFFAG88CA,坪林段,67.70,都市：住
RPQPMLSLNHNFFAG88CA,坪林段,33.25,都市：住
RPQPMLSLNHNFFAG88CA,坪林段,12.12,都市：住
RPQPMLSLNHNFFAG88CA,坪林段,86.79,都市：住
RPROMLPLNHNFFAG58CA,群英段,80.09,都市：商
RPPNMLNLNHNFFAG08CA,東光段,60.00,都市：住
RPPNMLSLNHNFFAG58CA,興東段,33.20,都市：商
RPQOMLNLNHNFFAG28CA,富農段,36.20,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLMLNHNFFAG78CA,羅莊段,7.66,都市：住
RPPOMLMLNHNFFAG08CA,公正段,29.20,都市：住
RPQSMLKMNHNFFAG48CA,存仁段,35.05,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,80.66,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,70.18,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,69.37,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,57.40,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,41.94,都市：農
RPQSMLKMNHNFFAG48CA,存仁段,37.84,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,7.79,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,17.92,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,15.60,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,15.42,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,12.76,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,9.32,都市：農
RPTRMLKMNHNFFAG68CA,存仁段,8.41,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,7.79,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,17.92,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,15.60,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,15.42,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,12.76,都市：農
RPPQMLKMNHNFFAG18CA,存仁段,9.32,都市：農
