編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPPOMLMLNHNFFAG08CA,坡道平面,0,
RPWOMLRJOHNFFAG56CA,坡道平面,0,
RPVPMLPLNHNFFBG56CA,坡道平面,900000,31.40
RPVPMLPLNHNFFBG56CA,坡道平面,1100000,31.40
RPOPMLPLNHNFFBG48CA,坡道平面,1000000,31.40
RPRNMLSLNHNFFBG88CA,坡道平面,1000000,31.40
SPVNMLSLNHNFFBG76CA,坡道平面,1000000,31.40
RPPNMLSLNHNFFBG68CA,坡道平面,0,
RPUNMLSLNHNFFBG56CA,坡道平面,1000000,31.40
SPRNMLSLNHNFFBG98CA,坡道平面,1000000,31.40
RPVNMLSLNHNFFBG66CA,坡道平面,1000000,31.40
RPQQMLPLNHNFFBG78CA,坡道平面,1000000,31.40
RPQNMLSLNHNFFBG78CA,坡道平面,1200000,31.40
RPTNMLSLNHNFFBG09CA,坡道平面,1000000,31.40
RPSNMLSLNHNFFBG98CA,坡道平面,1000000,31.40
RPRQMLPLNHNFFBG88CA,坡道平面,1000000,31.40
RPSQMLPLNHNFFBG98CA,坡道平面,1000000,31.40
RPVOMLLMNHNFFBG78CA,坡道平面,0,
RPPPMLMLNHNFFBG48EA,坡道平面,0,
RPXNMLNLNHNFFAG88CA,坡道平面,0,27.23
RPPPMLOLNHNFFBG48CA,坡道平面,0,
RPQOMLTLNHNFFBG98CA,坡道平面,1100000,52.96
RPOOMLPLNHNFFBG38CA,坡道平面,0,
RPOOMLOJOHNFFAG08CA,一樓平面,0,
RPWNMLPLNHNFFBG09CA,坡道平面,0,
RPSOMLTLNHNFFBG56CA,坡道平面,1100000,52.96
RPSNMLPLOHNFFBG78CA,升降機械,0,
RPRNMLTLNHNFFBG56EA,坡道平面,0,
RPXRMLOJOHNFFBG76CA,坡道平面,1200000,29.66
RPPOMLQJOHNFFBG48CA,坡道平面,1100000,42.93
RPRNMLKMNHNFFBG18CA,一樓平面,0,
RPRSMLQLOHNFFBG66CA,坡道平面,1100000,55.29
RPQSMLQLOHNFFBG56CA,坡道平面,1100000,55.29
RPURMLQLOHNFFBG86CA,坡道平面,1100000,55.29
RPSSMLQLOHNFFBG76CA,坡道平面,1100000,55.29
RPPSMLQLOHNFFBG09CA,坡道平面,1100000,55.29
RPPTMLQLOHNFFBG56CA,坡道平面,1100000,55.29
RPXSMLQLOHNFFBG27CA,坡道平面,1100000,55.29
RPWNMLRLOHNFFBG76CA,坡道平面,1100000,55.29
RPVNMLRLOHNFFBG66CA,坡道平面,1000000,55.29
RPXOMLRLOHNFFBG96CA,坡道平面,1100000,55.29
RPUOMLTKOHNFFBG76CA,坡道平面,1100000,55.29
RPWOMLTKOHNFFBG96CA,坡道平面,1100000,55.29
RPUNMLMLOHNFFBG68CA,坡道平面,1100000,55.29
RPQQMLKLOHNFFBG38CA,坡道平面,1100000,55.29
RPOQMLLLOHNFFBG28CA,坡道平面,1100000,55.29
RPUOMLLLOHNFFBG68CA,坡道平面,1100000,55.29
RPVPMLLLOHNFFBG88CA,坡道平面,1100000,55.29
RPVOMLPJOHNFFBG98CA,坡道平面,1400000,30.64
RPSOMLQJOHNFFBG78CA,坡道平面,1100000,52.96
RPWNMLSJOHNFFBG66CA,坡道平面,0,
RPROMLOJOHNFFAG38CA,升降機械,0,
