鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
五結鄉,建物,宜蘭縣五結鄉清水路1~30號,12.87,住,,,1070516,土地0建物1車位0,二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960705,98.58,1,1,1,有,有,有,13000,132,坡道平面,28.56,0,,RPSNMLLLNHNFFAG38CC
羅東鎮,建物,宜蘭縣羅東鎮和平路91~120號,0.0,商,,,1070518,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830909,62.18,3,2,2,有,無,有,9000,145,,0.0,0,,RPSOMLLLNHNFFAG48CC
宜蘭市,建物,宜蘭縣宜蘭市女中路三段320巷1~30號,0.0,住,,,1070512,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850105,84.84,3,2,2,有,無,有,12000,141,,0.0,0,,RPQNMLLLNHNFFBG28CC
礁溪鄉,建物,宜蘭縣礁溪鄉匏杓崙路1~30號,0.0,住,,,1070424,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0830221,24.37,2,0,1,有,無,有,10106,415,,0.0,0,租賃三樓雅房1間、含四樓增建雅房1間約5坪,RPQOMLMLNHNFFBG48CC
宜蘭市,建物,宜蘭縣宜蘭市宜中路61~90號,0.0,住,,,1070518,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0790305,114.8,0,0,0,無,無,無,40500,353,,0.0,0,,RPUOMLMLNHNFFBG88CC
員山鄉,房地(土地+建物),宜蘭縣員山鄉永金二路217巷31~60號,1012.0,,特定農業區,農牧用地,1070518,土地1建物1車位0,見其他登記事項,2,農舍,農舍,鋼筋混凝土造,0950831,213.38,4,3,3,有,無,有,30000,,,0.0,0,,RPRNMLNLNHNFFBG58CC
宜蘭市,建物,宜蘭縣宜蘭市中山路二段121~150號,0.0,住,,,1070522,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890427,114.39,3,2,2,有,無,有,15000,131,,0.0,0,,RPSOMLSLNHNFFBG66CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路三段301~330號,10.89,商,,,1070501,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土加強磚造,0660614,20.12,1,0,1,有,無,有,8000,398,,0.0,0,,RPRRMLKMNHNFFAG68CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮康莊路61~90號,28.03,住,,,1070521,土地1建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1000211,34.0,1,1,1,有,無,有,6000,176,,0.0,0,,RPURMLKMNHNFFAG98CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中華路1~30號,14.0,住,,,1070522,土地1建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0850527,47.67,0,0,0,無,無,有,32000,671,,0.0,0,,RPVRMLKMNHNFFAG09CC
