編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLNLNHNFFBG58CC,12,213.38,農舍,鋼筋混凝土造,95年8月31日,二層,
RPSOMLSLNHNFFBG66CC,18,114.39,住家用,鋼筋混凝土造,89年4月27日,十二層,
RPURMLKMNHNFFAG98CC,7,34.00,見其他登記事項,鋼筋混凝土造,100年2月11日,五層,
RPRRMLKMNHNFFAG68CC,41,20.12,住商用,鋼筋混凝土加強磚造,66年6月14日,三層,
RPSOMLLLNHNFFAG48CC,24,62.18,住家用,鋼筋混凝土造,83年9月9日,七層,
RPQNMLLLNHNFFBG28CC,22,84.84,住家用,鋼筋混凝土造,85年1月5日,六層,
RPUOMLMLNHNFFBG88CC,28,114.80,住家用,鋼筋混凝土造,79年3月5日,四層,
RPSNMLLLNHNFFAG38CC,11,59.05,住家用,鋼筋混凝土造,96年7月5日,十四層,
RPSNMLLLNHNFFAG38CC,11,2.14,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPSNMLLLNHNFFAG38CC,11,.32,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPSNMLLLNHNFFAG38CC,11,28.56,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPSNMLLLNHNFFAG38CC,11,8.51,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,
RPVRMLKMNHNFFAG09CC,22,47.67,住家用,鋼筋混凝土造,85年5月27日,五層,
RPQOMLMLNHNFFBG48CC,24,24.37,住商用,鋼筋混凝土造,83年2月21日,三層,
