編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPRNMLNLNHNFFBG58CC,永同段,1012.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLSLNHNFFBG66CC,女中段,.00,都市：住
RPURMLKMNHNFFAG98CC,羅莊段,28.03,都市：住
RPRRMLKMNHNFFAG68CC,興東段,10.89,都市：商
RPSOMLLLNHNFFAG48CC,信義段,.00,都市：商
RPQNMLLLNHNFFBG28CC,金六結段金結小段,.00,都市：住
RPUOMLMLNHNFFBG88CC,金六結段七結小段,.00,都市：住
RPUOMLMLNHNFFBG88CC,金六結段七結小段,.00,都市：住
RPSNMLLLNHNFFAG38CC,隆昌段,12.87,都市：住
RPVRMLKMNHNFFAG09CC,興東段,14.00,都市：住
RPQOMLMLNHNFFBG48CC,保安段,.00,都市：住
