鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
桃園區,房地(土地+建物),桃園市桃園區青田街91~120號,31.8,住,,,1070424,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810507,110.63999999999999,3,2,2,有,無,3110000,28109,,0.0,0,,RPTNMLMLNHNFFAH48CA
桃園區,車位,桃園市桃園區同德一街1~30號,4.27,住,,,1070507,土地0建物0車位2,,,其他,,,,55.7,0,0,0,有,有,4000000,,坡道平面,55.7,4000000,,RPVOMLMLNHNFFAH78CA
桃園區,車位,桃園市桃園區同德一街1~30號,6.4,住,,,1070507,土地0建物0車位3,,,其他,,,,83.55,0,0,0,有,有,5850000,,坡道平面,83.55,5850000,,RPWOMLMLNHNFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德十二街361~390號,46.24,住,,,1070322,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030327,299.11,3,2,3,有,有,24920000,85432,坡道平面,29.07,1850000,,RPUOMLOLNHNFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區中山東路31~60號,3.43,其他,,,1070325,土地1建物1車位0,十一層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0800319,35.9,1,1,1,有,有,2680000,74652,,0.0,0,,RPQPMLNLNHNFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區天祥五街1~30號,8.9,住,,,1070414,土地1建物1車位0,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,91.4,3,2,1,有,有,5800000,63457,,0.0,0,,RPWPMLTLNHNFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段331~360號,20.19,住,,,1070409,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900223,182.75,4,2,2,有,有,10500000,57456,坡道平面,0.0,0,,RPTNMLLMNHNFFAH48CA
桃園區,土地,西門段1~30地號,58.84,其他,,,1070411,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1958352,33283,,0.0,0,,RPSPMLLJOHNFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥五街1~30號,14.77,住,,,1070324,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,186.81,3,2,2,有,有,10180000,54494,坡道平面,0.0,0,,RPQPMLPJOHNFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區正康三街211~240號,16.63,住,,,1070413,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820823,91.68,2,2,1,有,有,5000000,54538,,0.0,0,,RPVOMLRJOHNFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民生路55巷1~30號,21.0,商,,,1070410,土地2建物2車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980410,154.81,2,2,1,有,有,9700000,62653,坡道平面,0.0,0,,RPRPMLRJOHNFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區福元街121~150號,35.12,住,,,1070412,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900823,162.9,4,2,3,有,無,8000000,49110,,0.0,0,,RPOOMLLKOHNFFAH97CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹仁三街15巷1~30號,21.4,住,,,1070421,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030110,163.19,3,2,2,有,有,9200000,56376,坡道平面,29.26,0,,RPTPMLLKOHNFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路43巷31~60號,29.79,住,,,1070403,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070206,230.39000000000001,3,2,2,有,有,12150000,73313,坡道平面,91.26,1950000,,RPWOMLNKOHNFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路43巷31~60號,31.31,住,,,1060610,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070206,196.51,4,2,2,有,有,10350000,62343,坡道平面,48.94,1150000,,RPOPMLNKOHNFFAH28CA
桃園區,房地(土地+建物),桃園市桃園區敬三街209巷31~60號,18.47,住,,,1070316,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830801,93.5,3,0,3,有,有,4390000,46952,,0.0,0,,RPRNMLOKOHNFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔八街61~90號,54.02,住,,,1070501,土地1建物1車位3,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060322,393.08,0,0,0,無,有,34680000,95417,坡道平面,81.5,4950000,,RPVNMLTKOHNFFAH76CA
中壢區,房地(土地+建物)+車位,桃園市中壢區青峰路一段31~60號,15.21,商,,,1070412,土地1建物1車位1,六層,十四層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1051010,120.46000000000001,0,1,1,有,有,12500000,116502,坡道平面,26.47,1550000,,RPPUMLLLNHNFFBH78CA
中壢區,房地(土地+建物),桃園市中壢區民族路二段211~240號,834.0,住,,,1070323,土地9建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0660906,978.19,4,5,4,有,無,109500000,111941,,0.0,0,,RPQUMLLLNHNFFBH88CA
中壢區,房地(土地+建物),桃園市中壢區永康三街1~30號,24.92,住,,,1070331,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700409,89.79,4,3,2,有,無,2950000,32854,,0.0,0,含增建或未登記建物。,RPRUMLLLNHNFFBH98CA
觀音區,土地,坑尾段451~480地號,1240.0,,特定農業區,農牧用地,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4310000,3476,,0.0,0,,RPXNMLMLNHNFFBH98CA
觀音區,土地,坑尾段421~450地號,1326.0,,特定農業區,農牧用地,1070426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4610000,3477,,0.0,0,,RPPOMLMLNHNFFBH28CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環溪三街1~30號,24.98,住,,,1070429,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051003,171.49,3,2,2,有,有,9500000,60466,坡道平面,31.08,1010000,,RPSOMLMLNHNFFBH58CA
中壢區,房地(土地+建物),桃園市中壢區富強西街1~30號,27.93,住,,,1070427,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700827,98.26,3,2,1,有,無,3800000,38673,,0.0,0,,RPORMLMLNHNFFBH48CA
中壢區,房地(土地+建物)+車位,桃園市中壢區松義路61~90號,16.19,商,,,1070416,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,164.24,3,2,2,有,有,7480000,52940,坡道平面,36.17,700000,,RPURMLMLNHNFFBH09CA
中壢區,房地(土地+建物)+車位,桃園市中壢區松義路61~90號,13.84,商,,,1070501,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,147.94,2,2,2,有,有,6900000,53652,坡道平面,32.37,700000,,RPVRMLMLNHNFFBH56CA
中壢區,房地(土地+建物),桃園市中壢區慈惠三街30巷1~30號,17.2,住,,,1070422,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720207,80.0,2,2,1,有,無,4400000,55000,,0.0,0,,RPWRMLMLNHNFFBH66CA
中壢區,房地(土地+建物),桃園市中壢區新生路571~600號,143.0,住,,,1070404,土地2建物1車位0,全,三層,透天厝,住商用,加強磚造,0720923,236.17,7,2,2,有,無,19800000,83838,,0.0,0,含增建或未登記建物。,RPXRMLMLNHNFFBH76CA
中壢區,房地(土地+建物)+車位,桃園市中壢區松義路61~90號,14.11,商,,,1070414,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,153.13,2,2,2,有,有,7000000,54517,坡道平面,37.57,700000,,RPOSMLMLNHNFFBH58CA
中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段226巷1~30號,10.47,住,,,1070506,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980703,120.34,3,2,2,有,有,7550000,62739,坡道平面,0.0,0,,RPRSMLMLNHNFFBH88CA
中壢區,房地(土地+建物)+車位,桃園市中壢區松義路61~90號,13.54,商,,,1040207,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050125,142.63,2,2,2,有,有,6520000,54044,坡道平面,34.93,700000,,RPUSMLMLNHNFFBH56CA
中壢區,房地(土地+建物),桃園市中壢區仁慈路1~30號,112.29,住,,,1070327,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0790802,365.17,7,1,5,有,無,17600000,48197,,0.0,0,,RPRNMLNLNHNFFBH48CA
中壢區,房地(土地+建物)+車位,桃園市中壢區長樂二街1~30號,23.77,住,,,1070506,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040118,197.45,3,2,2,有,有,9150000,46341,坡道平面,0.0,0,,RPTNMLNLNHNFFBH68CA
中壢區,土地,石頭段31~60地號,3.0,其他,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,783000,261000,,0.0,0,政府機關工程用地協議價購,RPXPMLPLNHNFFBH86CA
中壢區,土地,石頭段31~60地號,0.75,其他,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195750,0,,0.0,0,政府機關工程用地協議價購,RPOQMLPLNHNFFBH68CA
中壢區,土地,石頭段31~60地號,0.75,其他,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195750,0,,0.0,0,政府機關工程用地協議價購,RPPQMLPLNHNFFBH78CA
中壢區,土地,石頭段31~60地號,0.75,其他,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195750,0,,0.0,0,政府機關工程用地協議價購,RPQQMLPLNHNFFBH88CA
中壢區,土地,石頭段31~60地號,0.75,其他,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195750,0,,0.0,0,政府機關工程用地協議價購,RPRQMLPLNHNFFBH98CA
中壢區,房地(土地+建物),桃園市中壢區福安二街31~60號,21.7,住,,,1070501,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,127.22999999999999,3,2,1,有,有,5500000,43229,,0.0,0,,RPUQMLPLNHNFFBH66CA
