編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLMLNHNFFAH88CA,4,83.55,見其他登記事項,鋼筋混凝土造,103年3月1日,二十七層,
RPVOMLMLNHNFFAH78CA,4,55.70,見其他登記事項,鋼筋混凝土造,103年3月1日,二十七層,
RPQPMLPJOHNFFAH58CA,19,125.14,住家用,鋼筋混凝土造,88年1月11日,二十二層,八層
RPQPMLPJOHNFFAH58CA,19,16.60,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPQPMLPJOHNFFAH58CA,19,8.46,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPQPMLPJOHNFFAH58CA,19,.09,見其他登記事項,鋼筋混凝土造,88年1月11日,二十二層,
RPQPMLPJOHNFFAH58CA,19,36.52,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPQPMLPJOHNFFAH58CA,19,.01,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPUOMLOLNHNFFAH88CA,4,183.74,住家用,鋼筋混凝土造,103年3月27日,二十一層,四層
RPUOMLOLNHNFFAH88CA,4,45.96,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
RPUOMLOLNHNFFAH88CA,4,40.35,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
RPUOMLOLNHNFFAH88CA,4,29.07,見其他登記事項,鋼筋混凝土造,103年3月27日,二十一層,
RPQPMLNLNHNFFAH48CA,27,23.40,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,十一層
RPQPMLNLNHNFFAH48CA,27,3.89,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPQPMLNLNHNFFAH48CA,27,4.53,共有部份,鋼筋混凝土造,80年3月19日,十三層,
RPQPMLNLNHNFFAH48CA,27,4.09,見其他登記事項,鋼筋混凝土造,80年3月19日,十三層,
