編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPWOMLMLNHNFFAH88CA,新埔段,6.40,都市：住
RPVOMLMLNHNFFAH78CA,新埔段,4.27,都市：住
RPSPMLLJOHNFFAH38CA,埔子段埔子小段,.65,都市：其他
RPSPMLLJOHNFFAH38CA,埔子段埔子小段,5.60,都市：其他
RPSPMLLJOHNFFAH38CA,西門段,8.17,都市：其他
RPSPMLLJOHNFFAH38CA,西門段,37.44,都市：其他
RPSPMLLJOHNFFAH38CA,西門段,3.45,都市：其他
RPSPMLLJOHNFFAH38CA,西門段,3.53,都市：其他
RPQPMLPJOHNFFAH58CA,同安段,14.77,都市：住
RPUOMLOLNHNFFAH88CA,富國段,46.24,都市：住
RPQPMLNLNHNFFAH48CA,東國段,3.43,都市：其他
RPTNMLMLNHNFFAH48CA,大樹林段,13.80,都市：住
RPTNMLMLNHNFFAH48CA,大樹林段,18.00,都市：住
RPTNMLLMNHNFFAH48CA,和平段,20.18,都市：住
RPTNMLLMNHNFFAH48CA,和平段,.01,都市：住
RPTPMLLKOHNFFAH58CA,桃鶯段,21.40,都市：住
RPOOMLLKOHNFFAH97CA,忠義段,35.12,都市：住
RPWPMLTLNHNFFAH07CA,同安段,8.90,都市：住
RPVNMLTKOHNFFAH76CA,新埔段,54.02,都市：住
RPOPMLNKOHNFFAH28CA,忠義段,31.31,都市：住
RPWOMLNKOHNFFAH98CA,忠義段,29.79,都市：住
RPVOMLRJOHNFFAH56CA,埔子段埔子小段,16.63,都市：住
RPPUMLLLNHNFFBH78CA,青昇段,15.21,都市：商
RPRUMLLLNHNFFBH98CA,普義段,18.60,都市：住
RPRUMLLLNHNFFBH98CA,普義段,4.31,都市：住
RPRUMLLLNHNFFBH98CA,普義段,2.01,都市：住
RPRPMLRJOHNFFAH88CA,桃園段武陵小段,17.80,都市：商
RPRPMLRJOHNFFAH88CA,桃園段武陵小段,3.20,都市：商
RPRNMLOKOHNFFAH48CA,西埔段,18.47,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,119.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,542.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,32.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,25.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,6.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,46.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,54.00,都市：住
RPQUMLLLNHNFFBH88CA,三座屋段三座屋小段,5.00,都市：住
