編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPWOMLMLNHNFFAH88CA,坡道平面,1950000,27.85
RPWOMLMLNHNFFAH88CA,坡道平面,1950000,27.85
RPWOMLMLNHNFFAH88CA,坡道平面,1950000,27.85
RPVOMLMLNHNFFAH78CA,坡道平面,2000000,27.85
RPVOMLMLNHNFFAH78CA,坡道平面,2000000,27.85
RPQPMLPJOHNFFAH58CA,坡道平面,0,
RPUOMLOLNHNFFAH88CA,坡道平面,1850000,29.07
RPTNMLLMNHNFFAH48CA,坡道平面,0,
RPTPMLLKOHNFFAH58CA,坡道平面,0,29.26
RPVNMLTKOHNFFAH76CA,坡道平面,0,24.08
RPVNMLTKOHNFFAH76CA,坡道平面,0,28.71
RPVNMLTKOHNFFAH76CA,坡道平面,0,28.71
RPOPMLNKOHNFFAH28CA,坡道平面,1150000,48.94
RPWOMLNKOHNFFAH98CA,坡道平面,900000,42.32
RPWOMLNKOHNFFAH98CA,坡道平面,1050000,48.94
RPPUMLLLNHNFFBH78CA,坡道平面,1550000,26.47
RPRPMLRJOHNFFAH88CA,坡道平面,0,
RPSOMLMLNHNFFBH58CA,坡道平面,1010000,31.08
RPVRMLMLNHNFFBH56CA,坡道平面,700000,32.37
RPRSMLMLNHNFFBH88CA,坡道平面,0,
RPOSMLMLNHNFFBH58CA,坡道平面,700000,37.57
RPURMLMLNHNFFBH09CA,坡道平面,700000,36.17
RPUSMLMLNHNFFBH56CA,坡道平面,700000,34.93
RPTNMLNLNHNFFBH68CA,坡道平面,0,
RPTNMLNLNHNFFBH68CA,坡道平面,0,
RPPPMLOLNHNFFCH68CA,坡道平面,1200000,34.74
RPOPMLPLNHNFFCH68CA,坡道平面,1200000,45.13
RPSNMLLLOHNFFCH58CA,坡道平面,0,
RPSNMLLKOHNFFCH48CA,坡道平面,0,
RPTNMLPJOHNFFDH98CA,坡道平面,1000000,35.98
RPQNMLOJOHNFFDH58CA,坡道平面,1200000,31.70
RPRNMLOJOHNFFDH68CA,坡道平面,1200000,31.70
RPQQMLMLNHNFFEH88CA,坡道平面,0,
RPPPMLNLNHNFFEH78CA,坡道平面,0,25.96
RPPPMLNLNHNFFEH78CA,坡道平面,0,25.96
RPSPMLPJOHNFFEH56CA,坡道平面,1000000,29.05
RPWNMLSJOHNFFEH07CA,坡道平面,1300000,33.80
RPOOMLSJOHNFFEH98CA,坡道平面,1300000,23.50
RPVNMLSJOHNFFEH96CA,坡道平面,1350000,24.64
RPPOMLSJOHNFFEH09CA,坡道平面,1400000,33.80
RPPOMLSJOHNFFEH09CA,坡道平面,1400000,32.67
RPQOMLSJOHNFFEH56CA,坡道平面,1300000,23.50
RPROMLSJOHNFFEH66CA,坡道平面,1350000,24.64
RPRNMLNLNHNFFFH88CA,坡道平面,0,
RPTOMLSLNHNFFFH07CA,坡道平面,900000,37.13
RPXOMLPKOHNFFEH07CA,坡道平面,1350000,24.64
RPSOMLSJOHNFFFH86CA,坡道平面,0,
RPTOMLMLNHNFFGH56CA,坡道平面,0,
RPROMLPKOHNFFFH56CA,坡道平面,1050000,42.50
RPWOMLKLOHNFFDH09CA,坡道平面,0,23.21
