鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1061203,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5700000,49583,坡道平面,43.65,1300000,,RPTQMLLLNHNFFBH88CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1070108,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5900000,51273,坡道平面,43.65,1350000,,RPWQMLLLNHNFFBH56CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1070102,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5870000,50935,坡道平面,43.65,1350000,,RPORMLLLNHNFFBH48CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1061230,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5870000,51499,坡道平面,43.65,1300000,,RPPRMLLLNHNFFBH58CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1070130,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5800000,50710,坡道平面,43.65,1300000,,RPQRMLLLNHNFFBH68CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1070208,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5850000,50710,坡道平面,43.65,1350000,,RPSRMLLLNHNFFBH88CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,22.64,住,,,1070207,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.39,2,2,1,有,無,5880000,51611,坡道平面,43.65,1300000,,RPURMLLLNHNFFBH09CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,23.24,住,,,1061030,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.91,2,2,1,有,無,6060000,51611,坡道平面,43.65,1350000,,RPOSMLLLNHNFFBH58CB
中壢區,房地(土地+建物)+車位,復興段1351~1380地號,23.24,住,,,1070105,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.91,2,2,1,有,無,5960000,50515,坡道平面,43.65,1350000,,RPQSMLLLNHNFFBH78CB
