編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPTQMLLLNHNFFBH88CB,復興段,22.64,都市：住
RPWQMLLLNHNFFBH56CB,復興段,22.64,都市：住
RPORMLLLNHNFFBH48CB,復興段,22.64,都市：住
RPQRMLLLNHNFFBH68CB,復興段,22.64,都市：住
RPQSMLLLNHNFFBH78CB,復興段,23.24,都市：住
RPSSMLLLNHNFFBH98CB,復興段,23.24,都市：住
RPOSMLLLNHNFFBH58CB,復興段,23.24,都市：住
RPSRMLLLNHNFFBH88CB,復興段,22.64,都市：住
RPURMLLLNHNFFBH09CB,復興段,22.64,都市：住
RPUSMLLLNHNFFBH56CB,復興段,22.94,都市：住
RPPRMLLLNHNFFBH58CB,復興段,22.64,都市：住
RPTSMLLLNHNFFBH09CB,復興段,22.94,都市：住
RPVSMLLLNHNFFBH66CB,復興段,22.94,都市：住
RPWSMLLLNHNFFBH76CB,復興段,22.94,都市：住
RPPTMLLLNHNFFBH78CB,復興段,22.94,都市：住
RPSTMLLLNHNFFBH09CB,復興段,36.05,都市：住
RPOTMLLLNHNFFBH68CB,復興段,22.94,都市：住
RPRTMLLLNHNFFBH98CB,復興段,22.94,都市：住
RPQTMLLLNHNFFBH88CB,復興段,22.94,都市：住
