編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPTQMLLLNHNFFBH88CB,坡道平面,1300000,43.65
RPWQMLLLNHNFFBH56CB,坡道平面,1350000,43.65
RPORMLLLNHNFFBH48CB,坡道平面,1350000,43.65
RPQRMLLLNHNFFBH68CB,坡道平面,1300000,43.65
RPQSMLLLNHNFFBH78CB,坡道平面,1350000,43.65
RPSSMLLLNHNFFBH98CB,坡道平面,1350000,43.65
RPOSMLLLNHNFFBH58CB,坡道平面,1350000,43.65
RPSRMLLLNHNFFBH88CB,坡道平面,1350000,43.65
RPURMLLLNHNFFBH09CB,坡道平面,1300000,43.65
RPUSMLLLNHNFFBH56CB,坡道平面,1370000,44.89
RPPRMLLLNHNFFBH58CB,坡道平面,1300000,43.65
RPTSMLLLNHNFFBH09CB,坡道平面,1320000,44.89
RPVSMLLLNHNFFBH66CB,坡道平面,1320000,44.89
RPWSMLLLNHNFFBH76CB,坡道平面,1350000,43.65
RPPTMLLLNHNFFBH78CB,坡道平面,1300000,43.65
RPOTMLLLNHNFFBH68CB,坡道平面,1350000,43.65
RPRTMLLLNHNFFBH98CB,坡道平面,1350000,43.65
RPQTMLLLNHNFFBH88CB,坡道平面,1370000,44.89
