鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中壢區,建物,桃園市中壢區環中東路181~210號,0.0,住,,,1070501,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960716,25.3,2,2,2,有,無,有,5500,217,,0.0,0,( 分租房間 ),RPTNMLLLNHNFFBH68CC
中壢區,建物,桃園市中壢區興仁路二段648巷1~30號,0.0,其他,,,1070511,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,88.45,2,1,1,有,有,無,13000,147,,0.0,0,,RPWNMLLLNHNFFBH98CC
中壢區,建物,桃園市中壢區忠孝路345巷1~30號,0.0,住,,,1070514,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661215,74.34,2,1,2,有,無,有,17000,229,,0.0,0,,RPXNMLLLNHNFFBH09CC
中壢區,建物,桃園市中壢區中華路一段601~630號,0.0,住,,,1070503,土地0建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070125,145.98000000000002,0,0,0,無,無,無,80000,548,,0.0,0,,RPQOMLLLNHNFFBH48CC
中壢區,建物,桃園市中壢區中華路一段601~630號,0.0,住,,,1070510,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070125,163.39,0,0,0,無,無,無,30000,184,,0.0,0,( 供辦公室使用 ),RPROMLLLNHNFFBH58CC
中壢區,建物,桃園市中壢區興仁路二段91~120號,0.0,住,,,1070501,土地0建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850118,32.43,1,1,1,有,有,無,6000,185,,0.0,0,,RPWOMLLLNHNFFBH09CC
中壢區,建物,桃園市中壢區興仁路二段91~120號,0.0,住,,,1070501,土地0建物1車位0,六層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950520,31.65,1,1,1,有,有,無,5500,174,,0.0,0,,RPOPMLLLNHNFFBH38CC
中壢區,建物,桃園市中壢區中山東路二段511~540號,0.0,其他,,,1070515,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0680713,52.46,1,1,1,有,無,有,7500,143,,0.0,0,( 分租房間 ),RPRPMLLLNHNFFBH68CC
中壢區,房地(土地+建物)+車位,桃園市中壢區正光二街61~90號,22.38,住,,,1070520,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020525,158.86,3,2,2,有,有,有,17600,111,坡道平面,30.76,0,,RPPQMLLLNHNFFBH58CC
龜山區,房地(土地+建物),桃園市龜山區南上路520巷33弄1~30號,30.14,工,,,1070501,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0820525,111.7,4,1,2,有,有,有,12000,107,,0.0,0,,RPQOMLLLNHNFFHH09CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區新龍路105巷1~30號,3786.84,住,,,1070520,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030929,188.43,3,2,2,有,有,有,22000,117,坡道平面,0.0,0,,RPTNMLLLNHNFFCH88DC
大園區,房地(土地+建物)+車位,桃園市大園區領航南路四段181~210號,47.88,住,,,1070519,土地1建物2車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990728,247.11,3,2,2,有,有,無,20000,81,坡道平面,30.83,0,,RPRPMLLLNHNFFEH09DC
八德區,房地(土地+建物),桃園市八德區介壽路二段490巷17弄4衖1~30號,24.4,,鄉村區,乙種建築用地,1070506,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730310,88.68,3,2,1,有,無,有,11000,124,,0.0,0,,RPPNMLLLNHNFFFH78DC
桃園區,建物,桃園市桃園區慈德街151~180號,0.0,住,,,1070227,土地0建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930720,124.28999999999999,4,2,2,有,有,有,19000,153,坡道平面,0.0,0,,RPUOMLLLNHNFFAH98EC
桃園區,房地(土地+建物),桃園市桃園區龍華街1~30號,71.79,住,,,1070205,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0620920,62.56,5,2,3,有,無,有,15000,240,,0.0,0,,RPRPMLLLNHNFFAH78EC
桃園區,房地(土地+建物),桃園市桃園區介壽路391~420號,48.36,住,,,1070226,土地1建物1車位0,一層,2,店面(店鋪),商業用,加強磚造,0581205,44.38,0,0,1,有,無,無,20000,451,,0.0,0,,RPSNMLMLNHNFFAH78EC
平鎮區,土地,新勢段301~330地號,284.25,商,,,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,3800,13,,0.0,0,,RPUOMLMLNHNFFGH96DC
八德區,房地(土地+建物),桃園市八德區義勇街121~150號,23.67,住,,,1070418,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840710,126.82000000000001,3,1,2,有,有,有,11000,87,,0.0,0,,RPSNMLMLNHNFFFH56DC
八德區,房地(土地+建物)+車位,桃園市八德區豐德路301~330號,42.55,住,,,1070521,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020503,206.89,2,2,2,有,有,無,18000,87,坡道平面,35.87,0,,RPTNMLMLNHNFFFH66DC
龍潭區,房地(土地+建物),桃園市龍潭區梅龍一街63巷1~30號,79.01,,鄉村區,乙種建築用地,1070521,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0710226,75.0,3,2,2,有,無,有,7500,100,,0.0,0,,RPRNMLMLNHNFFCH78DC
龜山區,建物,桃園市龜山區龍新街61~90號,0.0,住,,,1070513,土地0建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040618,165.53,3,2,2,有,有,有,22000,133,坡道平面,28.9,0,,RPTNMLMLNHNFFHH76CC
平鎮區,建物,桃園市平鎮區文心路121~150號,0.0,商,,,1070501,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060817,93.41,3,2,2,有,有,有,13000,139,,0.0,0,,RPPNMLMLNHNFFGH88CC
平鎮區,建物,桃園市平鎮區新德街121~150號,0.0,住,,,1070504,土地0建物1車位0,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840221,115.83,3,2,2,有,有,無,11000,95,,0.0,0,,RPQNMLMLNHNFFGH98CC
大園區,建物,桃園市大園區致遠一路1~30號,0.0,住,,,1070513,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030325,179.51,5,2,3,有,有,無,18000,100,,0.0,0,,RPRNMLMLNHNFFEH88CC
八德區,建物,桃園市八德區介壽路二段901巷1~30號,0.0,,鄉村區,乙種建築用地,1070505,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0760709,160.3,4,1,3,有,無,無,14000,87,,0.0,0,,RPPNMLMLNHNFFFH78CC
中壢區,建物,桃園市中壢區健行路97巷19弄1~30號,0.0,住,,,1070505,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770606,131.91,4,2,2,有,有,無,10000,76,,0.0,0,,RPQNMLMLNHNFFBH48CC
中壢區,建物,桃園市中壢區興仁路二段648巷31~60號,0.0,住,,,1070501,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000711,145.03,3,2,2,有,有,無,19000,131,坡道平面,30.21,0,,RPRNMLMLNHNFFBH58CC
中壢區,建物,桃園市中壢區中山路181~210號,0.0,商,,,1070501,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831209,37.19,1,1,1,有,有,無,6500,175,,0.0,0,,RPTNMLMLNHNFFBH78CC
中壢區,建物,桃園市中壢區永嘉街31~60號,0.0,商,,,1070511,土地0建物1車位1,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041207,239.16,6,2,4,有,有,有,26000,109,坡道平面,0.0,0,,RPROMLMLNHNFFBH68CC
中壢區,建物,桃園市中壢區中北路1~30號,0.0,住,,,1070514,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691211,24.5,8,8,8,有,有,有,3500,143,,0.0,0,( 分租房間 ),RPUOMLMLNHNFFBH98CC
中壢區,建物,桃園市中壢區成功路122巷75弄31~60號,0.0,住,,,1070511,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0630807,22.56,2,2,2,有,有,有,5000,222,,0.0,0,( 分租房間 ),RPVOMLMLNHNFFBH09CC
中壢區,房地(土地+建物),桃園市中壢區仁德街63巷6弄1~30號,33.75,住,,,1070520,土地1建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0681001,31.34,0,2,1,有,無,無,4000,128,,0.0,0,,RPPPMLMLNHNFFBH58CC
中壢區,房地(土地+建物),桃園市中壢區仁德街63巷6弄1~30號,33.75,住,,,1070520,土地1建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0681001,31.34,2,0,1,有,無,無,4000,128,,0.0,0,,RPQPMLMLNHNFFBH68CC
中壢區,建物,桃園市中壢區中山路61~90號,0.0,商,,,1070516,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840728,113.74000000000001,3,2,2,有,有,有,13000,114,,0.0,0,,RPRPMLMLNHNFFBH78CC
中壢區,房地(土地+建物),桃園市中壢區仁德街63巷6弄1~30號,33.75,住,,,1070520,土地1建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0681001,31.34,2,0,1,有,無,無,4000,128,,0.0,0,,RPSPMLMLNHNFFBH88CC
