編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLLNHNFFBH09CC,40,74.34,住家用,加強磚造,66年12月15日,二層,
RPWNMLLLNHNFFBH98CC,5,63.14,見其他登記事項,鋼筋混凝土造,102年4月30日,十二層,
RPWNMLLLNHNFFBH98CC,5,25.31,見其他登記事項,鋼筋混凝土造,102年4月30日,十二層,
RPQOMLLLNHNFFBH48CC,,85.39,見其他登記事項,鋼筋混凝土造,107年1月25日,四層,
RPQOMLLLNHNFFBH48CC,,60.59,見其他登記事項,鋼筋混凝土造,107年1月25日,四層,
RPROMLLLNHNFFBH58CC,,130.34,見其他登記事項,鋼筋混凝土造,107年1月25日,四層,
RPROMLLLNHNFFBH58CC,,33.05,見其他登記事項,鋼筋混凝土造,107年1月25日,四層,
RPTNMLLLNHNFFBH68CC,11,25.30,見其他登記事項,鋼筋混凝土造,96年7月16日,四層,
RPRPMLLLNHNFFBH68CC,39,52.46,住商用,鋼筋混凝土造,68年7月13日,四層,
RPOPMLLLNHNFFBH38CC,12,20.00,住家用,鋼筋混凝土造,95年5月20日,十層,
RPOPMLLLNHNFFBH38CC,12,2.54,共有部分,鋼筋混凝土造,95年5月20日,十層,
RPOPMLLLNHNFFBH38CC,12,6.52,共有部分,鋼筋混凝土造,95年5月20日,十層,
RPOPMLLLNHNFFBH38CC,12,2.59,共有部分,鋼筋混凝土造,95年5月20日,十層,
RPPQMLLLNHNFFBH58CC,5,70.82,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPPQMLLLNHNFFBH58CC,5,88.04,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPTNMLLLNHNFFCH88DC,4,188.43,見其他登記事項,鋼筋混凝土造,103年9月29日,十五層,
RPWOMLLLNHNFFBH09CC,22,20.59,住家用,鋼筋混凝土造,85年1月18日,十二層,
RPWOMLLLNHNFFBH09CC,21,2.56,住家用,鋼筋混凝土造,86年1月9日,四層,
RPWOMLLLNHNFFBH09CC,22,6.65,住家用,鋼筋混凝土造,85年3月21日,四層,
RPWOMLLLNHNFFBH09CC,21,2.63,見其他登記事項,鋼筋混凝土造,86年4月26日,五層,
RPQOMLLLNHNFFHH09CC,25,88.67,見其他登記事項,鋼筋混凝土造,82年5月25日,五層,
RPQOMLLLNHNFFHH09CC,25,10.18,共有部份,鋼筋混凝土造,82年5月25日,五層,
RPQOMLLLNHNFFHH09CC,25,12.85,共有部份,鋼筋混凝土造,82年5月25日,八層,
RPSNMLMLNHNFFAH78EC,48,44.38,商業用,加強磚造,58年12月5日,二層,
RPRPMLLLNHNFFEH09DC,8,139.98,住家用,鋼筋混凝土造,99年7月28日,九層,
RPRPMLLLNHNFFEH09DC,8,35.07,共有部份,鋼筋混凝土造,99年7月28日,九層,
RPRPMLLLNHNFFEH09DC,8,12.09,共有部份,鋼筋混凝土造,99年7月28日,九層,
RPRPMLLLNHNFFEH09DC,8,29.05,共有部份,鋼筋混凝土造,99年7月28日,九層,
RPRPMLLLNHNFFEH09DC,8,.09,見其他登記事項,鋼筋混凝土造,99年7月28日,九層,
RPRPMLLLNHNFFEH09DC,8,30.83,共有部份,鋼筋混凝土造,99年7月28日,九層,
RPSNMLMLNHNFFFH56DC,23,100.31,住家用,鋼筋混凝土造,84年7月10日,八層,
RPSNMLMLNHNFFFH56DC,23,26.51,共有部分,鋼筋混凝土造,84年7月10日,八層,
RPUOMLLLNHNFFAH98EC,14,93.83,住家用,鋼筋混凝土造,93年7月20日,十三層,
RPUOMLLLNHNFFAH98EC,14,10.74,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPUOMLLLNHNFFAH98EC,14,19.72,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPPNMLLLNHNFFFH78DC,34,88.68,住家用,鋼筋混凝土造,73年3月10日,四層,
RPRPMLLLNHNFFAH78EC,44,62.56,住家用,加強磚造,62年9月20日,二層,
RPTNMLMLNHNFFFH66DC,5,206.89,住家用,鋼筋混凝土造,102年5月3日,十五層,
RPQNMLMLNHNFFGH98CC,23,90.91,住家用,鋼筋混凝土造,84年2月21日,十六層,
RPQNMLMLNHNFFGH98CC,23,9.58,共有部份,鋼筋混凝土造,84年2月21日,十六層,
RPQNMLMLNHNFFGH98CC,23,15.34,共有部份,鋼筋混凝土造,84年2月21日,十六層,
RPTNMLMLNHNFFHH76CC,3,96.47,住家用,鋼筋混凝土造,104年6月18日,九層,
RPTNMLMLNHNFFHH76CC,3,54.36,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPTNMLMLNHNFFHH76CC,3,14.70,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPRNMLMLNHNFFCH78DC,36,75.00,住家用,加強磚造,71年2月26日,二層,
RPPNMLMLNHNFFFH78CC,31,160.30,住家用,鋼筋混凝土造,76年7月9日,三層,
RPQNMLMLNHNFFBH48CC,30,131.91,住家用,鋼筋混凝土造,77年6月6日,五層,
RPTNMLMLNHNFFBH78CC,23,27.54,住家用,鋼筋混凝土造,83年12月9日,十層,
RPTNMLMLNHNFFBH78CC,23,7.55,共有部分,鋼筋混凝土造,83年12月9日,十層,
RPTNMLMLNHNFFBH78CC,23,2.10,共有部分,鋼筋混凝土造,83年12月9日,十層,
RPPNMLMLNHNFFGH88CC,1,63.26,住家用,鋼筋混凝土造,106年8月17日,十五層,
RPPNMLMLNHNFFGH88CC,1,30.15,共有部份,鋼筋混凝土造,106年8月17日,十五層,
RPUOMLMLNHNFFBH98CC,37,24.50,住家用,鋼筋混凝土造,69年12月11日,五層,
RPRNMLMLNHNFFBH58CC,7,86.62,住家用,鋼筋混凝土造,100年7月11日,十二層,
RPRNMLMLNHNFFBH58CC,7,58.41,見其他登記事項,鋼筋混凝土造,100年7月11日,十二層,
RPRNMLMLNHNFFEH88CC,4,125.59,住家用,鋼筋混凝土造,103年3月25日,十一層,
RPRNMLMLNHNFFEH88CC,4,20.27,共有部份,鋼筋混凝土造,103年3月25日,十一層,
RPRNMLMLNHNFFEH88CC,4,33.65,共有部份,鋼筋混凝土造,103年3月25日,十一層,
RPWPMLMLNHNFFBH66CC,40,62.50,住家用,加強磚造,67年1月4日,二層,
RPVOMLMLNHNFFBH09CC,44,22.56,住家用,加強磚造,63年8月7日,二層,
RPROMLMLNHNFFBH68CC,2,134.38,見其他登記事項,鋼筋混凝土造,104年12月7日,十二層,
RPROMLMLNHNFFBH68CC,2,104.78,見其他登記事項,鋼筋混凝土造,104年12月7日,十四層,
RPQPMLMLNHNFFBH68CC,39,31.34,住家用,加強磚造,68年10月1日,二層,
RPRPMLMLNHNFFBH78CC,23,65.50,見其他登記事項,鋼筋混凝土造,84年7月28日,十二層,
