編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPXNMLLLNHNFFBH09CC,忠孝段,.00,都市：住
RPWNMLLLNHNFFBH98CC,榮民段,.00,都市：其他
RPQOMLLLNHNFFBH48CC,復興段,.00,都市：住
RPROMLLLNHNFFBH58CC,復興段,.00,都市：住
RPTNMLLLNHNFFBH68CC,環東段,.00,都市：住
RPTNMLLLNHNFFBH68CC,環東段,.00,都市：住
RPRPMLLLNHNFFBH68CC,普仁段,.00,都市：其他
RPRPMLLLNHNFFBH68CC,普仁段,.00,都市：其他
RPOPMLLLNHNFFBH38CC,遠東段,.00,都市：住
RPPQMLLLNHNFFBH58CC,三座屋段三座屋小段,22.38,都市：住
RPTNMLLLNHNFFCH88DC,南龍段,3786.84,都市：住
RPWOMLLLNHNFFBH09CC,遠東段,.00,都市：住
RPQOMLLLNHNFFHH09CC,南上段,30.14,都市：工
RPSNMLMLNHNFFAH78EC,玉山段,48.36,都市：住
RPRPMLLLNHNFFEH09DC,青峰段,47.88,都市：住
RPSNMLMLNHNFFFH56DC,同福段,23.67,都市：住
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：商
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：住
RPUOMLLLNHNFFAH98EC,慈文段,.00,都市：住
RPPNMLLLNHNFFFH78DC,大庄段,24.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLMLNHNFFGH96DC,新勢段,284.25,都市：商
RPRPMLLLNHNFFAH78EC,大興段,43.81,都市：住
RPRPMLLLNHNFFAH78EC,大興段,27.98,都市：其他
RPTNMLMLNHNFFFH66DC,豐田段,42.55,都市：住
RPQNMLMLNHNFFGH98CC,新榮段,.00,都市：住
RPTNMLMLNHNFFHH76CC,迴龍段,.00,都市：住
RPRNMLMLNHNFFCH78DC,梅龍段,79.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLNHNFFFH78CC,瑞豐段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMLNHNFFBH48CC,健行段,.00,都市：住
RPQNMLMLNHNFFBH48CC,健行段,.00,都市：住
RPTNMLMLNHNFFBH78CC,興南段中壢老小段,.00,都市：商
RPPNMLMLNHNFFGH88CC,平鎮段,.00,都市：商
RPUOMLMLNHNFFBH98CC,中北段,.00,都市：住
RPRNMLMLNHNFFBH58CC,榮民段,.00,都市：住
RPRNMLMLNHNFFEH88CC,青山段,.00,都市：住
RPWPMLMLNHNFFBH66CC,仁美段,45.00,都市：住
RPVOMLMLNHNFFBH09CC,成功段,.00,都市：住
