鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市文雅街116巷1~30號,3.26,住,,,1070410,土地1建物1車位1,,,華廈(10層含以下有電梯),,,,21.09,0,0,0,有,有,700000,0,坡道平面,21.09,700000,,RPVNMLNLNHNFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市永福一街1~30號,9.88,商,,,1070508,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821102,76.56,2,1,1,有,有,2100000,27429,,0.0,0,,RPROMLNLNHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市仁愛路331~360號,4.1,商,,,1070507,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850130,41.61,1,1,1,有,無,1200000,28839,,0.0,0,,RPWNMLPLNHNFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市臺林街117巷1~30號,11.32,住,,,1070422,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850401,57.66,2,1,1,有,有,2400000,41623,,0.0,0,,RPTNMLQLNHNFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路269巷91~120號,73.0,住,,,1070420,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650211,88.24,3,2,2,有,無,3900000,44198,,0.0,0,,RPXNMLKMNHNFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街12巷31~60號,14.87,住,,,1070411,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,88.99000000000001,2,2,1,有,有,2700000,30340,,0.0,0,,RPOOMLLMNHNFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市杭州五街91~120號,104.0,住,,,1070420,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070222,208.79,4,3,5,有,無,16000000,76632,,0.0,0,,RPSNMLLMNHNFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路37巷1~30號,92.5,住,,,1070504,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1041021,194.95,4,2,3,有,無,11800000,60528,,0.0,0,,RPRPMLLMNHNFFAI58CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市大同路451~480號,23.41,住,,,1070409,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830824,166.46,3,2,2,有,有,4500000,27034,坡道機械,0.0,0,,RPSPMLLMNHNFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市義教街22巷1~30號,66.0,住,,,1070424,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670517,95.32,3,3,4,有,無,3600000,37768,,0.0,0,房屋內有漏水及壁癌瑕疵，由買受人自行修繕。,RPPOMLQJOHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市民權路91~120號,24.48,住,,,1070321,土地4建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680403,84.14,3,1,1,有,無,1700000,20204,,0.0,0,,RPPOMLOKOHNFFAI48CA
嘉義市,房地(土地+建物),嘉義市嘉義市博東路1~30號,10.0,住,,,1070507,土地2建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830525,65.11,0,0,0,無,無,2300000,35325,,0.0,0,,RPPOMLLLNHNFFAI28DA
嘉義市,房地(土地+建物),嘉義市嘉義市西區劉厝里玉山路369巷1~30號,81.0,住,,,1070501,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650419,105.41,3,2,4,有,無,4480000,42501,,0.0,0,,RPOOMLTLNHNFFAI98DA
嘉義市,土地,盧厝段271~300地號,26.0,農,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,204360,7860,,0.0,0,,RPPNMLMLNHNFFAI38EA
嘉義市,土地,盧厝段271~300地號,150.0,農,,,1070427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1179620,7864,,0.0,0,,RPQNMLMLNHNFFAI48EA
