編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLNLNHNFFAI88CA,22,21.09,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPROMLNLNHNFFAI58CA,25,54.78,住家用,鋼筋混凝土造,82年11月2日,八層,六層
RPROMLNLNHNFFAI58CA,25,21.78,共有部份,鋼筋混凝土造,82年11月2日,八層,
RPPOMLOKOHNFFAI48CA,39,84.14,住家用,鋼筋混凝土造,68年4月3日,五層,三層
RPWNMLPLNHNFFAI56CA,22,32.90,住家用,鋼筋混凝土造,85年1月30日,十四層,十三層
RPWNMLPLNHNFFAI56CA,22,8.71,共有部份,鋼筋混凝土造,85年1月31日,十四層,
RPTNMLQLNHNFFAI98CA,22,42.18,住家用,鋼筋混凝土造,85年4月1日,十一層,八層
RPTNMLQLNHNFFAI98CA,22,15.48,共有部份,鋼筋混凝土造,85年4月1日,十一層,
RPXNMLKMNHNFFAI88CA,42,88.24,住家用,鋼筋混凝土加強磚造,65年2月11日,二層,一層 二層
RPPOMLQJOHNFFAI58CA,40,95.32,住家用,鋼筋混凝土加強磚造,67年5月17日,二層,一層 二層
RPPOMLLLNHNFFAI28DA,24,54.76,住家用,鋼筋混凝土造,83年5月25日,十二層,十一層
RPPOMLLLNHNFFAI28DA,24,10.35,共有部份,鋼筋混凝土造,83年5月25日,十二層,
RPWNMLNLNHNFFAI56EA,21,87.76,住家用,鋼筋混凝土造,86年1月31日,十四層,四層
RPWNMLNLNHNFFAI56EA,21,9.59,共有部份,鋼筋混凝土造,86年1月31日,十四層,
RPWNMLNLNHNFFAI56EA,21,11.95,共有部份,鋼筋混凝土造,86年1月31日,十四層,
RPRPMLLMNHNFFAI58CA,3,194.95,見其他登記事項,見其他登記事項,104年10月21日,四層,一層 二層 三層 四層
RPSPMLLMNHNFFAI68CA,24,120.23,住家用,鋼筋混凝土造,83年8月24日,八層,四層
RPSPMLLMNHNFFAI68CA,24,19.60,共有部份,鋼筋混凝土造,83年8月24日,八層,
RPSPMLLMNHNFFAI68CA,24,26.63,共有部份,鋼筋混凝土造,83年8月24日,八層,
RPOOMLLMNHNFFAI18CA,27,73.17,住家用,鋼筋混凝土造,79年10月15日,七層,五層
RPOOMLLMNHNFFAI18CA,27,15.82,共有部份,鋼筋混凝土造,79年10月15日,七層,
RPOOMLTLNHNFFAI98DA,42,105.41,住家用,鋼筋混凝土加強磚造,65年4月19日,二層,一層 二層
RPSNMLLMNHNFFAI48CA,,208.79,見其他登記事項,見其他登記事項,107年2月22日,三層,一層 二層 三層 見其他登記事項
RPVOMLQJOHNFFAI56CA,24,125.06,住家用,鋼筋混凝土造,83年7月1日,十四層,二層
RPVOMLQJOHNFFAI56CA,24,20.67,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPVOMLQJOHNFFAI56CA,24,15.11,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPRNMLRJOHNFFAI98EA,28,165.39,住家用,加強磚造,79年4月26日,二層,一層 二層 夾層
RPPNMLKKOHNFFAI97CA,25,73.03,住家用,鋼筋混凝土造,82年2月27日,十四層,十四層
RPPNMLKKOHNFFAI97CA,25,18.34,共有部份,鋼筋混凝土造,82年2月27日,十四層,
RPPNMLLLOHNFFAI18CA,25,14.33,商業用,鋼筋混凝土造,82年1月5日,十二層,
RPPNMLLLOHNFFAI18CA,25,3.43,共有部份,鋼筋混凝土造,82年1月5日,十二層,
RPSNMLRJOHNFFAI09EA,34,109.26,住家用,鋼筋混凝土加強磚造,73年3月16日,二層,一層 二層
RPTNMLRJOHNFFAI56EA,26,177.71,住家用,鋼筋混凝土造,81年7月31日,四層,一層 二層 三層 四層
RPVNMLLMNHNFFAI78CA,34,223.58,見其他登記事項,見其他登記事項,73年8月4日,二層,一層 二層 騎樓
RPROMLMJOHNFFAI38CA,29,117.82,住商用,加強磚造,78年7月27日,二層,一層 二層
RPTOMLMJOHNFFAI58CA,50,47.36,住家用,木造,57年3月1日,一層,一層
RPRNMLTLNHNFFAI09CA,25,108.28,住家用,鋼筋混凝土造,82年2月27日,十四層,八層
RPRNMLTLNHNFFAI09CA,25,27.79,共有部份,鋼筋混凝土造,82年2月27日,十四層,
RPPOMLPLNHNFFAI58CA,23,23.41,住家用,鋼筋混凝土造,84年7月24日,十四層,六層
RPPOMLPLNHNFFAI58CA,23,5.89,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPPOMLPLNHNFFAI58CA,23,4.28,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPPOMLLMNHNFFAI28CA,25,92.46,住家用,鋼筋混凝土造,82年5月26日,九層,九層
RPPOMLLMNHNFFAI28CA,25,5.00,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPPOMLLMNHNFFAI28CA,25,3.50,共有部份,鋼筋混凝土造,82年5月26日,九層,
RPVPMLSLNHNFFAI96CA,26,53.42,住家用,鋼筋混凝土造,81年8月28日,十層,三層
RPVPMLSLNHNFFAI96CA,26,7.70,共有部份,鋼筋混凝土造,81年8月28日,十層,
RPTNMLKMNHNFFAI48CA,25,91.59,住家用,鋼筋混凝土造,81年11月19日,七層,六層
RPTNMLKMNHNFFAI48CA,25,51.81,共有部份,鋼筋混凝土造,81年11月19日,七層,
RPTNMLKMNHNFFAI48CA,25,13.78,見其他登記事項,鋼筋混凝土造,81年11月19日,七層,
RPXNMLPLNHNFFAI66CA,5,.11,見其他登記事項,見其他登記事項,102年6月5日,一層,
RPXNMLPLNHNFFAI66CA,5,.00,見其他登記事項,見其他登記事項,102年6月5日,一層,
RPXNMLPLNHNFFAI66CA,5,415.84,見其他登記事項,見其他登記事項,102年6月5日,五層,一層 二層 三層 四層 五層
RPXNMLPLNHNFFAI66CA,5,2.94,見其他登記事項,見其他登記事項,102年6月5日,一層,
RPXNMLPLNHNFFAI66CA,5,.10,見其他登記事項,見其他登記事項,102年6月5日,一層,
RPROMLPLNHNFFAI78CA,11,225.57,住家用,鋼筋混凝土造,95年11月1日,四層,一層 二層 三層 四層
RPXNMLOJOHNFFAI09CA,26,121.96,住家用,鋼筋混凝土造,81年6月23日,七層,七層
RPXNMLOJOHNFFAI09CA,26,14.89,共有部份,鋼筋混凝土造,81年6月23日,000,
RPTOMLOJOHNFFAI78CA,23,35.21,商業用,鋼筋混凝土造,84年7月24日,十四層,十層
RPTOMLOJOHNFFAI78CA,23,10.82,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPTOMLOJOHNFFAI78CA,23,20.94,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPTOMLOJOHNFFAI78CA,23,.58,商業用,鋼筋混凝土造,84年7月24日,十四層,
RPUPMLLMNHNFFAI88CA,42,51.67,住家用,磚造,65年5月1日,一層,一層
RPPNMLPLNHNFFAI68EA,31,182.30,住家用,鋼筋混凝土造,76年1月12日,四層,一層 二層 三層 四層
RPTNMLLMNHNFFAI58CA,24,105.29,住家用,鋼筋混凝土造,82年11月18日,十二層,六層
RPTNMLLMNHNFFAI58CA,24,9.72,共有部份,鋼筋混凝土造,82年11月18日,十二層,
RPTNMLLMNHNFFAI58CA,24,16.69,共有部份,鋼筋混凝土造,82年11月18日,十二層,
RPQNMLQJOHNFFAI58CA,17,63.21,住家用,鋼筋混凝土造,90年4月3日,二層,一層 二層
RPSOMLMJOHNFFAI48CA,13,115.36,住家用,鋼筋混凝土造,93年11月3日,十四層,八層
RPSOMLMJOHNFFAI48CA,13,89.47,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPRNMLOLNHNFFAI58CA,20,75.11,住家用,鋼筋混凝土造,87年2月26日,十二層,十一層
RPRNMLOLNHNFFAI58CA,20,11.29,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPRNMLOLNHNFFAI58CA,20,12.71,共有部份,鋼筋混凝土造,87年2月26日,十二層,
RPPNMLOLNHNFFAI58EA,,440.39,見其他登記事項,見其他登記事項,106年12月14日,五層,一層 二層 三層 四層 五層
RPROMLPKOHNFFAI78CA,35,49.40,住家用,鋼筋混凝土造,71年11月16日,五層,五層
RPROMLPKOHNFFAI78CA,35,7.05,共有部份,鋼筋混凝土造,71年11月16日,五層,
RPOOMLQJOHNFFAI48CA,24,31.51,住家用,鋼筋混凝土造,83年3月22日,九層,八層
RPOOMLQJOHNFFAI48CA,24,16.08,共有部份,鋼筋混凝土造,83年3月22日,九層,
RPXNMLTKOHNFFAI27EA,24,89.86,住家用,鋼筋混凝土造,83年7月18日,十二層,五層
RPXNMLTKOHNFFAI27EA,24,31.20,共有部份,鋼筋混凝土造,83年7月18日,十二層,
RPQOMLQJOHNFFAI68CA,6,183.23,住家用,見其他登記事項,101年2月20日,三層,一層 二層 三層
RPPOMLLJOHNFFAI08CA,23,384.23,商業用,鋼筋混凝土造,83年11月9日,十二層,十二層
RPPOMLLJOHNFFAI08CA,23,122.83,共有部份,鋼筋混凝土造,83年11月9日,十二層,
RPVNMLMJOHNFFAI68CA,38,97.87,住家用,鋼筋混凝土加強磚造,69年6月20日,三層,一層 二層 三層
RPPOMLMJOHNFFAI18CA,22,27.06,住家用,鋼筋混凝土造,85年6月18日,九層,九層
RPPOMLMJOHNFFAI18CA,22,11.00,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPVNMLKMNHNFFAI68CA,28,178.33,住家用,鋼筋混凝土造,79年6月29日,三層,一層 二層 三層
RPQOMLKMNHNFFAI28CA,50,33.00,住家用,木造,57年1月6日,一層,一層
RPPNMLTLNHNFFAI88CA,29,59.46,住家用,鋼筋混凝土造,78年2月3日,七層,六層
RPPNMLTLNHNFFAI88CA,29,17.84,共有部份,鋼筋混凝土造,78年2月3日,七層,
RPQOMLOJOHNFFAI48CA,18,78.11,住家用,鋼筋混凝土造,88年11月29日,十二層,七層 夾層
RPQOMLOJOHNFFAI48CA,18,10.33,共有部份,鋼筋混凝土造,88年11月29日,十二層,
RPQOMLOJOHNFFAI48CA,18,19.12,共有部份,鋼筋混凝土造,88年11月29日,十二層,
RPQOMLOJOHNFFAI48CA,18,.14,見其他登記事項,鋼筋混凝土造,88年11月29日,十二層,
RPQOMLOJOHNFFAI48CA,18,.02,共有部份,鋼筋混凝土造,88年11月29日,十二層,
RPROMLLJOHNFFAI28CA,41,197.66,住商用,鋼筋混凝土加強磚造,66年5月24日,三層,一層 二層 三層 騎樓 地下層
RPSOMLPLNHNFFAI88CA,24,106.46,住家用,鋼筋混凝土造,82年11月18日,十二層,九層
RPSOMLPLNHNFFAI88CA,24,16.85,共有部份,鋼筋混凝土造,82年11月18日,十二層,
RPSOMLPLNHNFFAI88CA,24,12.61,共有部份,鋼筋混凝土造,82年11月18日,十二層,
RPOPMLSLNHNFFAI88CA,1,159.06,住家用,見其他登記事項,107年1月23日,三層,一層 二層 三層
RPVOMLPLNHNFFAI56CA,3,200.70,見其他登記事項,見其他登記事項,104年5月13日,四層,一層 二層 三層 四層
RPVOMLPLNHNFFAI56CA,3,.63,見其他登記事項,見其他登記事項,104年5月13日,一層,
RPROMLQJOHNFFAI78CA,26,399.64,商業用,鋼造,81年1月29日,二層,一層 二層 騎樓
RPQNMLTLNHNFFAI98CA,17,225.04,住商用,鋼筋混凝土造,90年5月17日,五層,一層 二層 三層 四層 五層
RPXNMLLJOHNFFAI78CA,27,126.00,住家用,鋼筋混凝土造,80年5月8日,十層,五層
RPXNMLLJOHNFFAI78CA,27,24.00,共有部份,鋼筋混凝土造,80年5月8日,十層,
RPXNMLLJOHNFFAI78CA,27,20.07,共有部份,鋼筋混凝土造,80年5月8日,十層,
