編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPVNMLNLNHNFFAI88CA,盧厝段,3.26,都市：住
RPROMLNLNHNFFAI58CA,港子坪段港坪小段,9.88,都市：商
RPPOMLOKOHNFFAI48CA,中山段五小段,.09,都市：住
RPPOMLOKOHNFFAI48CA,中山段五小段,.36,都市：住
RPPOMLOKOHNFFAI48CA,中山段五小段,23.49,都市：住
RPPOMLOKOHNFFAI48CA,中山段五小段,.54,都市：住
RPWNMLPLNHNFFAI56CA,新富段八小段,3.98,都市：商
RPWNMLPLNHNFFAI56CA,末廣段一小段,.12,都市：商
RPTNMLQLNHNFFAI98CA,台斗坑段,11.32,都市：住
RPXNMLKMNHNFFAI88CA,盧厝段,73.00,都市：住
RPPOMLQJOHNFFAI58CA,後庄段,66.00,都市：住
RPPOMLLLNHNFFAI28DA,盧厝段,2.91,都市：住
RPPOMLLLNHNFFAI28DA,太平段,7.09,都市：住
RPWNMLNLNHNFFAI56EA,興村段,13.00,都市：住
RPRPMLLMNHNFFAI58CA,堀川段,73.00,都市：住
RPRPMLLMNHNFFAI58CA,堀川段,19.50,都市：其他
RPSPMLLMNHNFFAI68CA,港子坪段港坪小段,23.41,都市：住
RPPOMLPKOHNFFAI78EA,溪東段,12.91,都市：住
RPOOMLLMNHNFFAI18CA,台斗坑段,14.87,都市：住
RPSOMLOKOHNFFAI78CA,竹圍子段,28.00,都市：住
RPOOMLTLNHNFFAI98DA,劉厝段劉厝小段,81.00,都市：住
RPSNMLLMNHNFFAI48CA,車店段車店小段,104.00,都市：住
RPVOMLQJOHNFFAI56CA,竹圍子段二小段,10.76,都市：住
RPRNMLRJOHNFFAI98EA,頂庄段,61.00,都市：住
RPRNMLRJOHNFFAI98EA,頂庄段,60.00,都市：住
RPPNMLKKOHNFFAI97CA,南門段六小段,1.70,都市：商
RPPNMLKKOHNFFAI97CA,元段六小段,4.65,都市：商
RPPNMLKKOHNFFAI97CA,元段六小段,6.74,都市：商
RPPNMLMLNHNFFAI38EA,盧厝段,26.00,都市：農
RPPNMLLLOHNFFAI18CA,西門段四小段,1.17,都市：商
RPPNMLLLOHNFFAI18CA,西門段四小段,1.58,都市：商
RPPNMLLLOHNFFAI18CA,西門段四小段,.57,都市：商
RPQNMLMLNHNFFAI48EA,盧厝段,150.00,都市：農
RPSNMLRJOHNFFAI09EA,盧東段,84.42,都市：住
RPTNMLRJOHNFFAI56EA,北園段,60.00,都市：住
RPVNMLLMNHNFFAI78CA,檜段五小段,143.00,都市：商
RPROMLMJOHNFFAI38CA,湖子內段湖內小段,89.00,都市：住
RPTOMLMJOHNFFAI58CA,榮段五小段,48.00,都市：商
RPVNMLQLNHNFFAI56CA,埤子頭段新厝小段,83.00,都市：住
RPVNMLQLNHNFFAI56CA,埤子頭段新厝小段,83.00,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,36.44,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,2.19,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.18,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.42,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,1.42,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,1.48,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.01,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.14,都市：其他
RPSNMLTLNHNFFAI56CA,埤子頭段,.27,都市：其他
RPSNMLTLNHNFFAI56CA,埤子頭段,49.29,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.15,都市：其他
RPSNMLTLNHNFFAI56CA,埤子頭段,.06,都市：其他
RPSNMLTLNHNFFAI56CA,埤子頭段,.09,都市：住
RPSNMLTLNHNFFAI56CA,埤子頭段,.06,都市：住
RPUOMLPLNHNFFAI09CA,湖東段,51.00,都市：住
RPOOMLPLNHNFFAI48CA,後庄段,315.00,都市：農
RPOOMLPLNHNFFAI48CA,後庄段,653.00,都市：農
RPOOMLPLNHNFFAI48CA,後庄段,1.00,都市：農
RPOOMLPLNHNFFAI48CA,後庄段,6.00,都市：農
