鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興一路31~60號,21.29,商,,,1070325,土地1建物1車位2,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030728,236.26,4,2,2,有,有,15600000,78926,坡道平面,66.48,2200000,,RPUPMLMLNHNFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強北路331~360號,30.35,住,,,1070413,土地1建物1車位1,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051214,190.81,3,2,2,有,有,13300000,81481,坡道平面,42.31,1200000,,RPWPMLMLNHNFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段241~270號,37.94,住,,,1070325,土地1建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,262.26,4,2,2,有,有,20300000,83744,坡道平面,34.78,1250000,,RPXPMLMLNHNFFBJ76CA
新埔鎮,土地,正興段1051~1080地號,195.66,工,,,1070403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10650000,54431,,0.0,0,,RPQQMLMLNHNFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口二路12巷1~30號,31.22,住,,,1070409,土地1建物1車位3,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000720,226.54000000000002,4,2,2,有,有,14750000,65107,坡道機械,0.0,0,,RPRQMLMLNHNFFBJ88CA
關西鎮,房地(土地+建物),新竹縣關西鎮新城61~90號,212.0,,山坡地保育區,丙種建築用地,1070417,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800608,213.99,3,2,2,有,無,5300000,24768,,0.0,0,,RPXQMLMLNHNFFBJ86CA
竹北市,房地(土地+建物),新竹縣竹北市光明五街331~360號,6.88,住,,,1070316,土地1建物1車位0,三層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850130,42.11,1,1,1,有,有,2800000,66493,,0.0,0,,RPXRMLMLNHNFFBJ96CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強三路211~240號,39.2,住,,,1061224,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010410,259.0,2,2,2,有,有,19300000,74517,坡道平面,58.6,0,,RPOTMLMLNHNFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉仁街31~60號,33.24,住,,,1070414,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961012,228.34999999999997,4,2,2,有,有,12670000,58735,坡道平面,48.39,2100000,含增建物。,RPPTMLMLNHNFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政三街61~90號,17.89,商,,,1070415,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861104,133.87,3,2,2,有,有,7700000,57518,坡道平面,0.0,0,,RPQTMLMLNHNFFBJ09CA
竹北市,土地,永興段601~630地號,93.64,住,,,1070328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15550000,166062,,0.0,0,,RPROMLNLNHNFFBJ78CA
竹北市,土地,蓮華段241~270地號,1053.99,,特定農業區,農牧用地,1061231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,10911,,0.0,0,,RPVOMLNLNHNFFBJ56CA
竹北市,房地(土地+建物),新竹縣竹北市福興路839巷16弄1~30號,74.29,住,,,1070402,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870819,214.73,4,2,3,有,無,10800000,50296,,0.0,0,,RPRPMLNLNHNFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路三段181~210號,79.83,住,,,1070227,土地1建物1車位4,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,604.9,3,2,4,有,有,59360000,98132,坡道平面,120.76,0,,RPUNMLOLNHNFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路三段181~210號,77.95,住,,,1070419,土地1建物1車位4,二十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,598.13,3,2,4,有,有,58360000,97571,坡道平面,112.58,0,,RPVNMLOLNHNFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路三段181~210號,72.38,住,,,1070419,土地1建物1車位3,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,550.05,3,2,4,有,有,53650000,97537,坡道平面,102.85,0,,RPWNMLOLNHNFFBJ66CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路三段181~210號,79.83,住,,,1070423,土地1建物1車位4,二十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,604.9,3,2,4,有,有,63000000,104149,坡道平面,120.76,0,,RPXNMLOLNHNFFBJ76CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興東路二段121~150號,28.14,住,,,1070211,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061020,192.73000000000002,3,2,2,有,有,16300000,97591,坡道平面,37.49,1150000,,RPWOMLOLNHNFFBJ76CA
竹北市,房地(土地+建物),新竹縣竹北市縣政二路31~60號,5.76,商,,,1070502,土地1建物1車位0,六層,十層,套房(1房1廳1衛),商業用,鋼骨鋼筋混凝土造,0961228,45.089999999999996,1,1,1,有,有,3550000,78731,,0.0,0,,RPRNMLPLNHNFFBJ88CA
竹北市,房地(土地+建物),新竹縣竹北市莊敬六街1~30號,3.87,商,,,1070422,土地1建物1車位0,十三層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941114,37.980000000000004,1,1,1,有,有,2630000,69247,,0.0,0,,RPWOMLPLNHNFFBJ86CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街121~150號,27.47,住,,,1070430,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991231,156.54,3,2,2,有,有,9150000,61719,坡道機械,18.01,600000,,RPQNMLRLNHNFFBJ98CA
竹北市,房地(土地+建物),新竹縣竹北市中正東路211~240號,15.62,住,,,1070429,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841028,137.89000000000001,3,2,2,有,有,6500000,47139,,0.0,0,,RPPNMLSLNHNFFBJ98CA
