編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXPMLMLNHNFFBJ76CA,6,154.63,住家用,鋼筋混凝土造,101年9月24日,二十五層,十六層
RPXPMLMLNHNFFBJ76CA,6,73.70,見其他登記事項,鋼筋混凝土造,101年9月24日,二十五層,
RPXPMLMLNHNFFBJ76CA,6,33.93,見其他登記事項,鋼筋混凝土造,101年9月24日,二十五層,
RPWPMLMLNHNFFBJ66CA,1,101.52,住家用,鋼筋混凝土造,105年12月14日,二十層,二十層
RPWPMLMLNHNFFBJ66CA,1,89.29,見其他登記事項,鋼筋混凝土造,105年12月14日,二十層,
RPRQMLMLNHNFFBJ88CA,7,.20,見其他登記事項,鋼筋混凝土造,100年7月20日,十三層,
RPRQMLMLNHNFFBJ88CA,7,66.49,見其他登記事項,鋼筋混凝土造,100年7月20日,十三層,
RPRQMLMLNHNFFBJ88CA,7,115.69,住家用,鋼筋混凝土造,100年7月20日,十三層,六層
RPRQMLMLNHNFFBJ88CA,7,17.65,見其他登記事項,鋼筋混凝土造,100年7月20日,十三層,
RPRQMLMLNHNFFBJ88CA,7,26.51,見其他登記事項,鋼筋混凝土造,100年7月20日,十三層,
RPXQMLMLNHNFFBJ86CA,27,213.99,住家用,鋼筋混凝土造,80年6月8日,三層,一層 二層 三層
RPUPMLMLNHNFFBJ09CA,4,118.79,住家用,鋼筋混凝土造,103年7月28日,二十四層,十九層
RPUPMLMLNHNFFBJ09CA,4,25.48,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPUPMLMLNHNFFBJ09CA,4,25.50,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPUPMLMLNHNFFBJ09CA,4,.04,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPUPMLMLNHNFFBJ09CA,4,66.44,見其他登記事項,鋼筋混凝土造,103年7月28日,二十四層,
RPXRMLMLNHNFFBJ96CA,22,28.24,住家用,鋼筋混凝土造,85年1月30日,八層,三層
RPXRMLMLNHNFFBJ96CA,22,13.87,共用部分,鋼筋混凝土造,85年1月30日,八層,
RPQTMLMLNHNFFBJ09CA,20,85.95,住家用,鋼筋混凝土造,86年11月4日,九層,七層
RPQTMLMLNHNFFBJ09CA,20,10.13,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPQTMLMLNHNFFBJ09CA,20,10.44,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPQTMLMLNHNFFBJ09CA,20,.15,住家用,鋼筋混凝土造,86年11月4日,九層,
RPQTMLMLNHNFFBJ09CA,20,27.20,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPPTMLMLNHNFFBJ98CA,11,134.64,住家用,鋼筋混凝土造,96年10月12日,十五層,十三層
RPPTMLMLNHNFFBJ98CA,11,93.71,共用部分,鋼筋混凝土造,96年10月12日,十五層,
RPOTMLMLNHNFFBJ88CA,6,140.79,住家用,鋼筋混凝土造,101年4月10日,十四層,十一層
RPOTMLMLNHNFFBJ88CA,6,118.21,見其他登記事項,鋼筋混凝土造,101年4月10日,十四層,
RPUNMLOLNHNFFBJ09CA,2,323.20,住家用,鋼筋混凝土造,104年12月14日,二十六層,二十一層
RPUNMLOLNHNFFBJ09CA,2,182.85,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPUNMLOLNHNFFBJ09CA,2,26.10,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPUNMLOLNHNFFBJ09CA,2,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWOMLOLNHNFFBJ76CA,,104.75,住家用,鋼筋混凝土造,106年10月20日,十五層,十一層
RPWOMLOLNHNFFBJ76CA,,21.73,見其他登記事項,鋼筋混凝土造,106年10月20日,十五層,
RPWOMLOLNHNFFBJ76CA,,10.65,見其他登記事項,鋼筋混凝土造,106年10月20日,十五層,
RPWOMLOLNHNFFBJ76CA,,55.60,見其他登記事項,鋼筋混凝土造,106年10月20日,十五層,
RPVNMLOLNHNFFBJ56CA,2,322.21,住家用,鋼筋混凝土造,104年12月14日,二十六層,二十層
RPVNMLOLNHNFFBJ56CA,2,25.61,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPVNMLOLNHNFFBJ56CA,2,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPVNMLOLNHNFFBJ56CA,2,177.56,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLOLNHNFFBJ76CA,2,182.85,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLOLNHNFFBJ76CA,2,323.20,住家用,鋼筋混凝土造,104年12月14日,二十六層,二十三層
RPXNMLOLNHNFFBJ76CA,2,26.10,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLOLNHNFFBJ76CA,2,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLOLNHNFFBJ66CA,2,300.35,住家用,鋼筋混凝土造,104年12月14日,二十六層,二十一層
RPWNMLOLNHNFFBJ66CA,2,23.88,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLOLNHNFFBJ66CA,2,65.82,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLOLNHNFFBJ66CA,2,160.00,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPPNMLSLNHNFFBJ98CA,23,107.65,住家用,鋼筋混凝土造,84年10月28日,十二層,五層
RPPNMLSLNHNFFBJ98CA,23,15.89,共用部分,鋼筋混凝土造,84年10月28日,十二層,
RPPNMLSLNHNFFBJ98CA,23,14.34,共用部分,鋼筋混凝土造,84年10月28日,十二層,
RPPNMLQLNHNFFBJ78CA,1,114.45,住家用,鋼筋混凝土造,106年1月9日,十四層,九層
RPPNMLQLNHNFFBJ78CA,1,25.18,見其他登記事項,鋼筋混凝土造,106年1月9日,十四層,
RPPNMLQLNHNFFBJ78CA,1,60.43,見其他登記事項,鋼筋混凝土造,106年1月9日,十四層,
RPPNMLQLNHNFFBJ78CA,1,.10,見其他登記事項,鋼筋混凝土造,106年1月9日,十四層,
RPQNMLRLNHNFFBJ98CA,7,94.60,住家用,鋼筋混凝土造,99年12月31日,十二層,二層
RPQNMLRLNHNFFBJ98CA,7,23.48,見其他登記事項,鋼筋混凝土造,99年12月31日,十二層,
RPQNMLRLNHNFFBJ98CA,7,38.46,見其他登記事項,鋼筋混凝土造,99年12月31日,十二層,
RPQQMLSLNHNFFBJ76CA,2,25.61,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPQQMLSLNHNFFBJ76CA,2,322.21,住家用,鋼筋混凝土造,104年12月14日,二十六層,十四層
RPQQMLSLNHNFFBJ76CA,2,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPQQMLSLNHNFFBJ76CA,2,177.74,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPRPMLNLNHNFFBJ88CA,20,213.16,住家用,鋼筋混凝土造,87年8月19日,四層,一層 二層 三層 四層
RPRPMLNLNHNFFBJ88CA,20,1.57,共用部分,鋼筋混凝土造,87年8月19日,地下層,
RPWOMLPLNHNFFBJ86CA,12,28.46,住家用,鋼筋混凝土造,94年11月14日,十五層,十三層
RPWOMLPLNHNFFBJ86CA,12,3.52,共用部分,鋼筋混凝土造,94年11月14日,十五層,
