編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定
The serial number,land sector position,land shifting area (square meter),the use zoning or compiles and checks
RPQQMLMLNHNFFBJ78CA,正興段,190.80,都市：工
RPQQMLMLNHNFFBJ78CA,正興段,4.86,都市：工
RPXPMLMLNHNFFBJ76CA,隘興段,37.94,都市：住
RPWPMLMLNHNFFBJ66CA,莊敬段,30.35,都市：住
RPRQMLMLNHNFFBJ88CA,隘興段,31.22,都市：住
RPXQMLMLNHNFFBJ86CA,新城段,212.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUPMLMLNHNFFBJ09CA,台科段,21.29,都市：商
RPXRMLMLNHNFFBJ96CA,縣華段,6.88,都市：住
RPQTMLMLNHNFFBJ09CA,縣福段,17.89,都市：商
RPPTMLMLNHNFFBJ98CA,翰林段,33.24,都市：住
RPOTMLMLNHNFFBJ88CA,自強段,39.20,都市：住
RPROMLNLNHNFFBJ78CA,永興段,93.64,都市：住
RPVOMLNLNHNFFBJ56CA,蓮華段,1053.99,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLOLNHNFFBJ09CA,家興段,79.83,都市：住
RPWOMLOLNHNFFBJ76CA,永興段,28.14,都市：住
RPVNMLOLNHNFFBJ56CA,家興段,77.95,都市：住
RPXNMLOLNHNFFBJ76CA,家興段,79.83,都市：住
RPWNMLOLNHNFFBJ66CA,家興段,72.38,都市：住
RPPNMLSLNHNFFBJ98CA,豆子埔段,15.62,都市：住
RPPNMLQLNHNFFBJ78CA,中正段,36.81,都市：住
RPQNMLRLNHNFFBJ98CA,隘興段,27.47,都市：住
RPQQMLSLNHNFFBJ76CA,家興段,77.95,都市：住
RPRPMLNLNHNFFBJ88CA,府前段,70.16,都市：住
RPRPMLNLNHNFFBJ88CA,台科段,4.13,都市：住
RPWOMLPLNHNFFBJ86CA,大學段,3.87,都市：商
RPRQMLPLNHNFFBJ56CA,家興段,9.32,都市：住
RPRNMLPLNHNFFBJ88CA,縣福段,5.76,都市：商
RPROMLOJOHNFFBJ78CA,永興段,45.82,都市：商
RPVPMLLMNHNFFBJ56CA,莊敬段,23.05,都市：商
